"event","experiment time","system time","system time text"
"START",0.000000000E0,1781280186.393,"2026-06-12 18:03:06.393 UTC+02:00"
"PAUSE",1.800227615E2,1781280366.416,"2026-06-12 18:06:06.416 UTC+02:00"
