"event","experiment time","system time","system time text"
"START",0.000000000E0,1781279702.721,"2026-06-12 17:55:02.721 UTC+02:00"
"PAUSE",1.800383661E2,1781279882.759,"2026-06-12 17:58:02.759 UTC+02:00"
