"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780845332675717E9,"2026-06-07 17:15:32.676 UTC+02:00"
"PAUSE",1.805657652083319E2,1.780845513242358E9,"2026-06-07 17:18:33.242 UTC+02:00"
