"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781438109030368E9,"2026-06-14 13:55:09.030 UTC+02:00"
"PAUSE",1.805334861666779E2,1.781438289564993E9,"2026-06-14 13:58:09.565 UTC+02:00"
"START",1.805334861666779E2,1.781438320940793E9,"2026-06-14 13:58:40.941 UTC+02:00"
"PAUSE",3.610678302916931E2,1.781438501476289E9,"2026-06-14 14:01:41.476 UTC+02:00"
