"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781443829012723E9,"2026-06-14 15:30:29.013 UTC+02:00"
"PAUSE",1.805398817083333E2,1.781444009553672E9,"2026-06-14 15:33:29.554 UTC+02:00"
