"Time (s)","X (hPa)"
-5.617828750E-1,1.021621170E3
4.401981250E-1,1.021620941E3
1.442204125E0,1.021620636E3
2.444164125E0,1.021605759E3
3.446171125E0,1.021605072E3
3.801947125E0,1.021599274E3
4.870779125E0,1.021592789E3
5.939622125E0,1.021592789E3
7.008458125E0,1.021591492E3
8.077261125E0,1.021584930E3
9.146061125E0,1.021584396E3
1.021482312E1,1.021580734E3
1.128361112E1,1.021580734E3
1.235238812E1,1.021580734E3
1.342116912E1,1.021580734E3
1.448994012E1,1.021580734E3
1.555873412E1,1.021581879E3
1.662748112E1,1.021584549E3
1.769628512E1,1.021585159E3
1.876507012E1,1.021589355E3
1.983384212E1,1.021589355E3
2.090266312E1,1.021590118E3
2.197147212E1,1.021587143E3
2.304027812E1,1.021586838E3
2.410908712E1,1.021583481E3
2.517792912E1,1.021581650E3
2.624679112E1,1.021581650E3
2.731569112E1,1.021578903E3
2.838456612E1,1.021578903E3
2.945339112E1,1.021578903E3
3.052226012E1,1.021575241E3
3.159108412E1,1.021575089E3
3.265992412E1,1.021575089E3
3.372881012E1,1.021572189E3
3.479763712E1,1.021572189E3
3.586650912E1,1.021572189E3
3.693541012E1,1.021572113E3
3.800433912E1,1.021565857E3
3.907322512E1,1.021565781E3
4.014215212E1,1.021564560E3
4.121104112E1,1.021558075E3
4.227995812E1,1.021558075E3
4.334890212E1,1.021557770E3
4.441785412E1,1.021554642E3
4.548679112E1,1.021554642E3
4.655570512E1,1.021557693E3
4.762459712E1,1.021561890E3
4.869340612E1,1.021563263E3
4.976229112E1,1.021569138E3
5.083117512E1,1.021572418E3
5.189997812E1,1.021573410E3
5.296880712E1,1.021573410E3
5.403763812E1,1.021571579E3
5.510649012E1,1.021571579E3
5.617531312E1,1.021571579E3
5.724415912E1,1.021573181E3
5.831301412E1,1.021568146E3
5.938188212E1,1.021561890E3
6.045077012E1,1.021551971E3
6.151962512E1,1.021531677E3
6.258848312E1,1.021517639E3
6.365737012E1,1.021509247E3
6.472624312E1,1.021509247E3
6.579507312E1,1.021509476E3
6.686386912E1,1.021521606E3
6.793268112E1,1.021521606E3
6.900154512E1,1.021518936E3
7.007045212E1,1.021501160E3
7.113932512E1,1.021500778E3
7.220817412E1,1.021500778E3
7.327703612E1,1.021517868E3
7.434590112E1,1.021524811E3
7.541476512E1,1.021539993E3
7.648365112E1,1.021539993E3
7.755247812E1,1.021526947E3
7.862130312E1,1.021483154E3
7.969015112E1,1.021434937E3
8.075896912E1,1.021417847E3
8.182782812E1,1.021417847E3
8.289667112E1,1.021428833E3
8.396557112E1,1.021469803E3
8.503443912E1,1.021521683E3
8.610334312E1,1.021546402E3
8.717226512E1,1.021571350E3
8.824117612E1,1.021583786E3
8.931010412E1,1.021597443E3
9.037902812E1,1.021622925E3
9.144792312E1,1.021636353E3
9.251677212E1,1.021647263E3
9.358561212E1,1.021665344E3
9.465446612E1,1.021678467E3
9.572336012E1,1.021678925E3
9.679222712E1,1.021684494E3
9.786109112E1,1.021686707E3
9.892994512E1,1.021687088E3
9.999884212E1,1.021687088E3
1.010677301E2,1.021693802E3
1.021365741E2,1.021695328E3
1.032054051E2,1.021702271E3
1.042742561E2,1.021703110E3
1.053431071E2,1.021703110E3
1.064119901E2,1.021698837E3
1.074809451E2,1.021698837E3
1.085498871E2,1.021703949E3
1.096188531E2,1.021705399E3
1.106877991E2,1.021705399E3
1.117567201E2,1.021699677E3
1.128256431E2,1.021690445E3
1.138945611E2,1.021674194E3
1.149634881E2,1.021663513E3
1.160323351E2,1.021649857E3
1.171012001E2,1.021640320E3
1.181700881E2,1.021634064E3
1.192390571E2,1.021633377E3
1.203080081E2,1.021629791E3
1.213769021E2,1.021629791E3
1.224457991E2,1.021629791E3
1.235147221E2,1.021629028E3
1.245837111E2,1.021609802E3
1.256526491E2,1.021593018E3
1.267215701E2,1.021576538E3
1.277905141E2,1.021559753E3
1.288594291E2,1.021553879E3
1.299283431E2,1.021553879E3
1.309972861E2,1.021559753E3
1.320662261E2,1.021567459E3
1.331351591E2,1.021567459E3
1.342040791E2,1.021556320E3
1.352729861E2,1.021550293E3
1.363418751E2,1.021546249E3
1.374107771E2,1.021543350E3
1.384797361E2,1.021543350E3
1.395486871E2,1.021546707E3
1.406176681E2,1.021546707E3
1.416866631E2,1.021540756E3
1.427556121E2,1.021535110E3
1.438245861E2,1.021522217E3
1.448935151E2,1.021515884E3
1.459624171E2,1.021513214E3
1.470313421E2,1.021512756E3
1.481002701E2,1.021512756E3
1.491692171E2,1.021525650E3
1.502381741E2,1.021530304E3
1.513071061E2,1.021536636E3
1.523760481E2,1.021538010E3
1.534449521E2,1.021541290E3
1.545138621E2,1.021541290E3
1.555827411E2,1.021541595E3
1.566516661E2,1.021542206E3
1.577206011E2,1.021541595E3
1.587895031E2,1.021540298E3
1.598584431E2,1.021534653E3
1.609273741E2,1.021529160E3
1.619962231E2,1.021528625E3
1.630651401E2,1.021528625E3
1.641340991E2,1.021537170E3
1.652030051E2,1.021554947E3
1.662719681E2,1.021566620E3
1.673408531E2,1.021573639E3
1.684097811E2,1.021575546E3
1.694787041E2,1.021575546E3
1.705475931E2,1.021569214E3
1.716164821E2,1.021569214E3
1.726854281E2,1.021573792E3
1.737543701E2,1.021580582E3
1.748232911E2,1.021590652E3
1.758921871E2,1.021599579E3
1.769610851E2,1.021599579E3
