"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.386874993E-3,2.684247196E-1,-6.025506854E-1,8.073973656E-2
1.436187499E-2,3.270320296E-1,-5.269727707E-1,8.148845285E-2
2.433687498E-2,3.715747297E-1,-4.441785812E-1,5.503740534E-2
3.431187500E-2,3.818362355E-1,-3.274638057E-1,2.149418555E-2
4.428687500E-2,3.571873307E-1,-2.322531044E-1,2.925827168E-3
5.426187499E-2,3.246439695E-1,-2.293537706E-1,4.686030559E-3
6.423687498E-2,2.844243944E-1,-2.947708666E-1,6.522546522E-3
7.421187501E-2,2.489237934E-1,-3.688045144E-1,-3.928702790E-3
8.418687500E-2,2.053901702E-1,-4.191741943E-1,-2.844709530E-2
9.416287500E-2,1.840342134E-1,-4.420309663E-1,-4.936742038E-2
1.041378750E-1,1.944991052E-1,-4.160441160E-1,-4.213081300E-2
1.141128750E-1,1.783069372E-1,-3.842468262E-1,-3.419541568E-2
1.240878750E-1,1.343480051E-1,-4.424808323E-1,-4.177104309E-2
1.340628750E-1,1.070287749E-1,-5.650162101E-1,-3.069600649E-2
1.440378750E-1,9.403494745E-2,-7.251701951E-1,1.089005265E-2
1.540128750E-1,9.295451641E-2,-8.971113563E-1,7.284080982E-2
1.639878750E-1,1.096876860E-1,-1.046456337E0,1.220775992E-1
1.739628750E-1,1.437286735E-1,-1.197506785E0,1.345453262E-1
1.839378750E-1,1.742588878E-1,-1.330062389E0,1.290669441E-1
1.939128750E-1,2.130221874E-1,-1.358029127E0,1.206088364E-1
2.038878750E-1,2.605004907E-1,-1.277751923E0,9.282220900E-2
2.138628750E-1,2.779893875E-1,-1.157688737E0,3.138849884E-2
2.238388750E-1,2.438732386E-1,-1.024645209E0,-3.680120781E-2
2.338138750E-1,1.815740168E-1,-8.988938332E-1,-1.007453203E-1
2.437888750E-1,1.141153425E-1,-8.287107348E-1,-1.531281024E-1
2.537638750E-1,4.328443110E-2,-8.373409510E-1,-1.854967475E-1
2.637388750E-1,-2.237074636E-2,-9.110593796E-1,-1.800156981E-1
2.737138750E-1,-8.450810611E-2,-1.039919734E0,-1.444775909E-1
2.836888750E-1,-1.272321343E-1,-1.217371225E0,-8.742683381E-2
2.936638750E-1,-1.527636647E-1,-1.390481591E0,-3.349314258E-2
3.036388750E-1,-1.649561375E-1,-1.514471412E0,1.245597471E-2
3.136138750E-1,-1.496575177E-1,-1.566481709E0,5.479909852E-2
3.235888750E-1,-1.099127755E-1,-1.596317887E0,1.003551334E-1
3.335638750E-1,-5.784887448E-2,-1.635354877E0,1.428387165E-1
3.435388750E-1,-2.785635553E-2,-1.686999202E0,1.715001911E-1
3.535138750E-1,-2.929272875E-2,-1.745608568E0,1.869816780E-1
3.634898750E-1,-4.756360874E-2,-1.764007568E0,1.858895123E-1
3.734648750E-1,-7.453156263E-2,-1.746851683E0,1.663384885E-1
3.834393750E-1,-1.167631745E-1,-1.707302451E0,1.292699426E-1
3.934143750E-1,-1.474736780E-1,-1.659845233E0,9.692773968E-2
4.033893750E-1,-1.650068611E-1,-1.641341567E0,6.864150614E-2
4.133643750E-1,-1.854032874E-1,-1.656502485E0,2.837862819E-2
4.233393750E-1,-2.112623155E-1,-1.674211144E0,-1.381037012E-2
4.333143750E-1,-2.356233001E-1,-1.657265425E0,-5.829337984E-2
4.432893750E-1,-2.530382574E-1,-1.594728351E0,-1.098290160E-1
4.532643750E-1,-2.607827485E-1,-1.493920803E0,-1.628579348E-1
4.632393750E-1,-2.282540947E-1,-1.307176232E0,-2.085652351E-1
4.732143750E-1,-1.478131562E-1,-1.139525771E0,-2.352044880E-1
4.831893750E-1,-5.324244127E-2,-1.030474901E0,-2.314584851E-1
4.931643750E-1,1.936266012E-2,-9.827150106E-1,-2.056961805E-1
5.031393750E-1,7.087245584E-2,-9.575142860E-1,-1.707104892E-1
5.131153750E-1,8.636843413E-2,-9.368898869E-1,-1.394575238E-1
5.230903750E-1,8.143892139E-2,-9.115923047E-1,-1.202284321E-1
5.330653750E-1,7.305842638E-2,-9.083743095E-1,-1.083306223E-1
5.430403750E-1,6.087419391E-2,-9.184312224E-1,-9.993766993E-2
5.530153750E-1,4.515958950E-2,-9.668580294E-1,-1.127138436E-1
5.629903750E-1,-1.260730345E-2,-1.013324976E0,-1.431577802E-1
5.729653750E-1,-1.117612496E-1,-1.045907259E0,-1.814661473E-1
5.829403750E-1,-2.058312744E-1,-1.089082479E0,-2.229155898E-1
5.929153750E-1,-2.586324513E-1,-1.178064227E0,-2.386881113E-1
6.028903750E-1,-2.551716566E-1,-1.259069085E0,-2.449766397E-1
6.128653750E-1,-2.073048502E-1,-1.325018048E0,-2.492143512E-1
6.228403750E-1,-1.706272513E-1,-1.408384323E0,-2.565079629E-1
6.328153750E-1,-2.035022229E-1,-1.491235733E0,-2.649458647E-1
6.427903750E-1,-2.928022742E-1,-1.545085073E0,-2.724666297E-1
6.527663750E-1,-3.839147389E-1,-1.553011656E0,-2.723214626E-1
6.627413750E-1,-4.240443110E-1,-1.581078410E0,-2.678755522E-1
6.727163750E-1,-4.221906364E-1,-1.605384111E0,-2.681302428E-1
6.826913750E-1,-4.175364971E-1,-1.620017171E0,-2.707915306E-1
6.926663750E-1,-4.235499799E-1,-1.641081810E0,-2.751147747E-1
7.026413750E-1,-4.343491197E-1,-1.678203702E0,-2.833074331E-1
7.126163750E-1,-4.658942223E-1,-1.664583445E0,-3.199202716E-1
7.225913750E-1,-5.526219010E-1,-1.568356752E0,-3.734317124E-1
7.325663750E-1,-6.857740879E-1,-1.491929531E0,-3.781339228E-1
7.425413750E-1,-8.196967244E-1,-1.456202745E0,-3.098707199E-1
7.525163750E-1,-8.718594313E-1,-1.431745052E0,-2.091242671E-1
7.624913750E-1,-8.151320219E-1,-1.371701121E0,-1.397390664E-1
7.724663750E-1,-7.223296165E-1,-1.335551500E0,-1.360585690E-1
7.824413750E-1,-6.498903036E-1,-1.376621127E0,-1.330752969E-1
7.924163750E-1,-6.104324460E-1,-1.440435767E0,-1.413377225E-1
8.023923750E-1,-6.297872663E-1,-1.491710186E0,-1.925974488E-1
8.123673750E-1,-7.060814500E-1,-1.550380468E0,-2.502492070E-1
8.223423750E-1,-7.975940704E-1,-1.538903594E0,-3.312023878E-1
8.323173750E-1,-9.043356776E-1,-1.465879679E0,-4.155510366E-1
8.422923750E-1,-1.032495260E0,-1.379640579E0,-5.139633417E-1
8.522673750E-1,-1.172244668E0,-1.311747193E0,-5.961415768E-1
8.622423750E-1,-1.279510379E0,-1.311401248E0,-6.170215607E-1
8.722173750E-1,-1.327758670E0,-1.451267242E0,-5.995726585E-1
8.821923750E-1,-1.358740330E0,-1.686971903E0,-5.848115683E-1
8.921673750E-1,-1.451885462E0,-1.864287019E0,-5.892436504E-1
9.021423750E-1,-1.654665947E0,-1.862934351E0,-5.768463612E-1
9.121173750E-1,-1.863792896E0,-1.702093959E0,-5.504546762E-1
9.220923750E-1,-1.968688250E0,-1.460725904E0,-5.378627181E-1
9.320673750E-1,-2.007770300E0,-1.174263954E0,-5.689065456E-1
9.420423750E-1,-2.064228296E0,-9.552503824E-1,-6.537202597E-1
9.520183750E-1,-2.155752897E0,-8.196739554E-1,-7.704913020E-1
9.619933750E-1,-2.270537853E0,-6.458874941E-1,-8.831036091E-1
9.719683750E-1,-2.450656414E0,-3.205774426E-1,-9.872044325E-1
9.819433750E-1,-2.757647753E0,-4.780025780E-2,-1.057377696E0
9.919183750E-1,-3.023235321E0,7.058390230E-2,-1.160157919E0
1.001893375E0,-3.089823008E0,4.094051942E-2,-1.321094871E0
1.011868375E0,-3.111634493E0,2.267952710E-1,-1.503913641E0
1.021843375E0,-3.033390760E0,5.299602151E-1,-1.676486731E0
1.031818375E0,-2.837184191E0,6.318737864E-1,-1.734755874E0
1.041793375E0,-2.620394230E0,3.605091572E-1,-1.685666442E0
1.051768375E0,-2.490174770E0,-1.003035530E-1,-1.584028721E0
1.061743375E0,-2.432869434E0,-2.744860053E-1,-1.490122199E0
1.071718375E0,-2.422405243E0,-1.785313524E-2,-1.433142185E0
1.081693375E0,-2.439698458E0,5.263600945E-1,-1.491530895E0
1.091668375E0,-2.461210489E0,1.120844245E0,-1.546028852E0
1.101643375E0,-2.434839725E0,1.512846351E0,-1.590813398E0
1.111619375E0,-2.349797964E0,1.706824899E0,-1.617698550E0
1.121594375E0,-2.269954205E0,1.694383979E0,-1.596742392E0
1.131569375E0,-2.143469810E0,1.575908899E0,-1.517107248E0
1.141544375E0,-2.087930441E0,1.385936022E0,-1.443678260E0
1.151519375E0,-2.052762508E0,1.348135710E0,-1.350972652E0
1.161494375E0,-2.047108650E0,1.469944358E0,-1.269778728E0
1.171469375E0,-2.041787863E0,1.558798909E0,-1.241956234E0
1.181444375E0,-1.986876369E0,1.509274960E0,-1.196321130E0
1.191419375E0,-1.922992468E0,1.316371083E0,-1.147649407E0
1.201394375E0,-1.878334284E0,1.174305201E0,-1.100365520E0
1.211369375E0,-1.814751267E0,1.171469927E0,-1.024924755E0
1.221344375E0,-1.745682955E0,1.229031682E0,-9.386638403E-1
1.231319375E0,-1.666089892E0,1.251875162E0,-8.482906818E-1
1.241294375E0,-1.574390888E0,1.217484713E0,-7.922838926E-1
1.251269375E0,-1.506258607E0,1.101707339E0,-7.751526833E-1
1.261244375E0,-1.461966991E0,1.023971558E0,-7.389701605E-1
1.271220375E0,-1.423213363E0,1.002923012E0,-7.012630105E-1
1.281195375E0,-1.386778355E0,1.030187368E0,-6.497468352E-1
1.291170375E0,-1.343844414E0,1.000542760E0,-5.928571224E-1
1.301145375E0,-1.300937176E0,9.270610809E-1,-5.329245329E-1
1.311120375E0,-1.278163433E0,8.275582194E-1,-5.007328987E-1
1.321095375E0,-1.244049430E0,6.927703023E-1,-4.857465029E-1
