"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780840202550156E9,"2026-06-07 15:50:02.550 UTC+02:00"
"PAUSE",1.806477677083167E2,1.780840383198642E9,"2026-06-07 15:53:03.199 UTC+02:00"
