"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.468608730E-1,-1.676061451E-1,-1.704314053E-1,-2.840523422E-2
7.568608730E-1,-7.841982692E-2,-3.365867436E-1,1.527163084E-3
7.668608730E-1,9.926559869E-4,-4.563163519E-1,2.412917651E-2
7.768608730E-1,6.940956414E-2,-4.630358517E-1,4.489859566E-2
7.868608730E-1,7.857254148E-2,-2.883284092E-1,6.078109145E-2
7.968604390E-1,9.017898142E-2,-1.429424733E-1,3.329215571E-2
8.068607050E-1,1.555415690E-1,-1.600466967E-1,2.779436857E-2
8.168607050E-1,1.378264725E-1,-1.673770845E-1,3.268129006E-2
8.268607050E-1,1.005636901E-1,-1.747074574E-1,2.840523422E-2
8.368607050E-1,7.551821321E-2,-1.802052408E-1,2.596177347E-2
8.468607050E-1,5.352706835E-2,-1.698205322E-1,1.618792862E-2
8.568604380E-1,1.626428775E-2,-1.386664063E-1,1.924225502E-2
8.668604380E-1,-8.781188168E-3,-1.227839142E-1,1.435533352E-2
8.768604380E-1,1.565342210E-2,-1.649336219E-1,2.107485011E-2
8.868604380E-1,3.397937864E-2,-1.918116808E-1,2.474004216E-2
8.968604380E-1,4.192062840E-2,-2.083050460E-1,2.840523422E-2
9.068604380E-1,5.169447139E-2,-2.193006277E-1,2.962696366E-2
9.168604380E-1,5.902485549E-2,-2.162462920E-1,2.840523422E-2
9.268604380E-1,6.757696718E-2,-2.089159191E-1,2.779436857E-2
9.368604380E-1,7.490734756E-2,-1.966986060E-1,2.596177347E-2
9.468607040E-1,7.490734756E-2,-1.728748679E-1,2.229658142E-2
9.568607040E-1,7.551821321E-2,-1.661553532E-1,1.802052557E-2
9.668607040E-1,7.612907887E-2,-1.643227488E-1,1.740965992E-2
9.768607040E-1,6.757696718E-2,-1.649336219E-1,1.863138936E-2
9.868607040E-1,5.719225854E-2,-1.600466967E-1,1.618792862E-2
9.968604040E-1,5.352706835E-2,-1.631010175E-1,1.313360315E-2
1.006860404E0,4.986187443E-2,-1.624901593E-1,1.313360315E-2
1.016860404E0,4.680754989E-2,-1.569923609E-1,7.024950348E-3
1.026860404E0,4.253149405E-2,-1.478293836E-1,2.748893574E-3
1.036860404E0,3.886630014E-2,-1.356120855E-1,-9.162978968E-4
1.046860404E0,3.459024429E-2,-1.276708394E-1,-3.359758761E-3
1.056860670E0,3.214678168E-2,-1.111774743E-1,-1.069014147E-2
1.066860670E0,3.275764734E-2,-9.346238524E-2,-1.863138936E-2
1.076860670E0,3.275764734E-2,-7.696902007E-2,-2.901609987E-2
1.086860670E0,2.848159149E-2,-4.825835302E-2,-3.756821156E-2
1.096861103E0,1.809688285E-2,-8.552113548E-3,-5.039638281E-2
1.106860836E0,1.137736533E-2,2.809980139E-2,-5.894849449E-2
1.116860469E0,9.544769302E-3,5.803219974E-2,-7.116580009E-2
1.126860469E0,1.992947794E-2,7.330382615E-2,-8.216137439E-2
1.136860469E0,2.542726509E-2,8.002334833E-2,-8.704829961E-2
1.146860469E0,3.153591976E-2,8.368854225E-2,-8.827003092E-2
1.156860469E0,3.947716579E-2,9.040805697E-2,-8.765916526E-2
1.166860469E0,4.864014685E-2,1.026253626E-1,-8.949175477E-2
1.176860469E0,5.597052723E-2,1.233947799E-1,-9.376781434E-2
1.186860469E0,5.719225854E-2,1.466076523E-1,-1.004873365E-1
1.196860769E0,5.841398984E-2,1.685988009E-1,-1.029307917E-1
1.206860769E0,6.207918003E-2,1.826487035E-1,-1.059851199E-1
1.216860769E0,6.574437022E-2,1.850921661E-1,-1.047633886E-1
1.226860769E0,6.085744873E-2,1.869247705E-1,-9.926560521E-2
1.236860769E0,4.986187443E-2,1.869247705E-1,-9.254608303E-2
1.246860502E0,4.619668424E-2,1.893682331E-1,-8.888089657E-2
1.256860502E0,4.619668424E-2,1.954768747E-1,-8.216137439E-2
1.266860502E0,4.253149405E-2,2.070833147E-1,-7.605272532E-2
1.276860502E0,4.802928120E-2,2.247984111E-1,-7.422012836E-2
1.286860502E0,5.963572115E-2,2.376265824E-1,-7.360926270E-2
1.296860502E0,7.796167582E-2,2.528982162E-1,-7.483099401E-2
1.306860768E0,8.284860104E-2,2.626720667E-1,-7.910704613E-2
1.316860768E0,8.284860104E-2,2.626720667E-1,-7.788532227E-2
1.326860268E0,7.490734756E-2,2.626720667E-1,-7.666359097E-2
1.336860268E0,5.658139288E-2,2.608394623E-1,-7.422012836E-2
1.346860534E0,4.069889709E-2,2.626720667E-1,-6.933320314E-2
1.356860267E0,2.054034360E-2,2.571742535E-1,-6.444628537E-2
1.366860267E0,-3.283400787E-3,2.516764700E-1,-5.772676691E-2
1.376860267E0,-2.344195358E-2,2.516764700E-1,-5.467243865E-2
1.386860267E0,-4.543310404E-2,2.553416789E-1,-5.222897977E-2
1.396860267E0,-6.253732741E-2,2.681698501E-1,-5.100724846E-2
1.406860267E0,-7.841982692E-2,2.748893499E-1,-5.039638281E-2
1.416860633E0,-8.025242388E-2,2.663372457E-1,-4.978551716E-2
1.426860633E0,-8.086328954E-2,2.590068579E-1,-4.978551716E-2
1.436860633E0,-7.903069258E-2,2.492330223E-1,-5.345070735E-2
1.446860933E0,-7.903069258E-2,2.394591719E-1,-5.772676691E-2
1.456860933E0,-8.147415519E-2,2.327396572E-1,-6.933320314E-2
1.466860933E0,-8.147415519E-2,2.193006277E-1,-7.483099401E-2
1.476860933E0,-7.597636431E-2,1.985312104E-1,-8.399397135E-2
1.486860933E0,-7.231117040E-2,1.838704348E-1,-9.132435173E-2
1.496860633E0,-7.475463301E-2,1.869247705E-1,-9.926560521E-2
1.506860633E0,-7.353290170E-2,2.009746730E-1,-1.127046347E-1
1.516860633E0,-6.620252132E-2,2.235766798E-1,-1.200350225E-1
1.526860633E0,-5.826127157E-2,2.510656118E-1,-1.243110746E-1
1.536860633E0,-6.375905871E-2,2.651155293E-1,-1.237002090E-1
1.546860633E0,-6.986771524E-2,2.602286041E-1,-1.224784851E-1
1.556860899E0,-6.314819306E-2,2.443460971E-1,-1.194241568E-1
1.566860899E0,-4.665483162E-2,2.388483137E-1,-1.200350225E-1
1.576860899E0,-3.932445124E-2,2.406809032E-1,-1.279762685E-1
1.586860899E0,-4.054617882E-2,2.186897546E-1,-1.395827085E-1
1.596860899E0,-4.787656292E-2,1.936442852E-1,-1.475239545E-1
1.606860632E0,-5.093089119E-2,1.863138974E-1,-1.572978050E-1
1.616860632E0,-4.665483162E-2,1.936442852E-1,-1.676825136E-1
1.626861132E0,-3.871358559E-2,2.150245607E-1,-1.811215430E-1
1.636861132E0,-1.488984004E-2,2.186897546E-1,-1.908953935E-1
1.646860865E0,4.864014685E-2,1.881465018E-1,-1.860084683E-1
1.656860865E0,9.445504099E-2,1.557706445E-1,-1.805106848E-1
1.666860865E0,1.427133977E-1,1.203404516E-1,-1.725694388E-1
1.676860865E0,1.842522323E-1,8.368854225E-2,-1.566869318E-1
1.686860865E0,2.147954851E-1,4.276056588E-2,-1.365283877E-1
1.696861165E0,2.282345295E-1,5.497787148E-3,-1.114829108E-1
1.706861165E0,2.245693356E-1,-1.649336144E-2,-7.971791178E-2
1.716861165E0,2.056325078E-1,-3.054326214E-2,-4.612032697E-2
1.726861165E0,1.787544489E-1,-4.520402849E-2,-1.007927675E-2
1.736861165E0,1.457677186E-1,-5.986479297E-2,2.596177347E-2
1.746860865E0,1.140027270E-1,-7.635815442E-2,6.444628537E-2
1.756860865E0,8.651378751E-2,-1.038470939E-1,1.029307917E-1
1.766860865E0,6.207918003E-2,-1.258382350E-1,1.444696337E-1
1.776861398E0,4.314235970E-2,-1.459967941E-1,1.731802970E-1
1.786861398E0,3.886630014E-2,-1.710422635E-1,1.792889535E-1
1.796861398E0,5.108360574E-2,-1.905899495E-1,1.695151031E-1
1.806861664E0,7.124216110E-2,-1.973094791E-1,1.414152980E-1
1.816861664E0,9.628763795E-2,-1.942551434E-1,1.035416573E-1
1.826861664E0,1.219439730E-1,-1.795943826E-1,6.811147183E-2
1.836861664E0,1.408807933E-1,-1.643227488E-1,3.695734590E-2
1.846861664E0,1.488220394E-1,-1.374446750E-1,1.435533352E-2
1.856861397E0,1.402699351E-1,-9.773843735E-2,-9.162978968E-4
1.866861397E0,1.225548387E-1,-5.375614017E-2,-9.468411095E-3
1.876861397E0,9.201157838E-2,-1.588249579E-2,-1.313360315E-2
1.886861663E0,5.535966158E-2,2.443460980E-3,-1.313360315E-2
1.896861663E0,1.504255645E-2,-1.160643995E-2,-1.069014147E-2
1.906861663E0,-1.427897532E-2,-4.948008433E-2,-6.414085161E-3
1.916861663E0,-3.504839167E-2,-8.674286306E-2,5.192354787E-3
1.926861663E0,-4.298964143E-2,-1.105666086E-1,1.557706390E-2
1.936861663E0,-3.688098863E-2,-1.160643995E-1,2.779436857E-2
1.946861929E0,-1.733330078E-2,-9.712757170E-2,3.451388702E-2
1.956861929E0,8.323038928E-3,-6.719517708E-2,3.940080851E-2
1.966861929E0,2.725986205E-2,-3.359758854E-2,4.062253982E-2
1.976861929E0,3.947716579E-2,6.719517522E-3,4.001167417E-2
1.986861929E0,4.680754989E-2,5.070181563E-2,3.634648025E-2
1.996861629E0,5.963572115E-2,9.651670605E-2,3.329215571E-2
2.006861629E0,6.207918003E-2,1.576032341E-1,3.329215571E-2
2.016861629E0,6.574437022E-2,1.667662114E-1,4.123340547E-2
2.026861629E0,7.002042979E-2,1.472185254E-1,4.917465150E-2
2.036861629E0,6.940956414E-2,1.160643995E-1,5.955936015E-2
