"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.326250015E-3,-1.106994867E0,-1.614924949E0,2.043849792E0
1.530125001E-2,-2.461832156E0,-1.883789865E0,1.728746849E0
2.527625000E-2,-3.767950444E0,-1.284025168E0,1.128426082E0
3.525225000E-2,-4.416091495E0,-5.752227634E-1,-1.486561390E-1
4.522725000E-2,-4.506942024E0,-1.913553947E-1,-1.539143865E0
5.520325000E-2,-4.400198178E0,6.201264560E-2,-2.446325340E0
6.517825002E-2,-4.055244030E0,3.388578415E-1,-2.926564178E0
7.515424999E-2,-3.229790257E0,9.700127310E-1,-3.043140117E0
8.512925002E-2,-1.973891366E0,1.783831129E0,-2.647074287E0
9.510525002E-2,-7.308493316E-1,2.058225172E0,-1.741520677E0
1.050802500E-1,9.394370556E-2,1.867121208E0,-7.527820913E-1
1.150552500E-1,2.164376110E-1,1.291529485E0,-2.890314511E-1
1.250312500E-1,-1.877084863E-1,5.164114684E-1,-4.603091884E-1
1.350062500E-1,-7.117944252E-1,-1.633448929E-1,-8.286346579E-1
1.449822500E-1,-1.262066535E0,-5.322562534E-1,-1.003704972E0
1.549572500E-1,-1.780137443E0,-6.673123169E-1,-9.025634904E-1
1.649322500E-1,-2.070089757E0,-8.344052750E-1,-6.397109739E-1
1.749082500E-1,-2.198905088E0,-9.652975363E-1,-3.238724510E-1
1.848832500E-1,-2.171463520E0,-9.503918141E-1,-1.580617873E-1
1.948592500E-1,-1.958048919E0,-8.272547150E-1,-2.887610905E-1
2.048342500E-1,-1.714196053E0,-5.257804620E-1,-5.342589247E-1
2.148102500E-1,-1.363241200E0,-3.165963221E-1,-7.605904631E-1
2.247852500E-1,-9.493448702E-1,-1.908905411E-1,-7.603670995E-1
2.347602500E-1,-3.533264843E-1,-1.318617296E-1,-6.916376111E-1
2.447362500E-1,5.123517466E-1,-1.683916247E-1,-4.590394655E-1
2.547112500E-1,1.029308760E0,-3.624414164E-1,1.295941794E-1
2.646872500E-1,1.058096357E0,-6.444403481E-1,8.902093470E-1
2.746622500E-1,1.141802465E0,-8.858859158E-1,1.345637426E0
2.846382500E-1,1.400582103E0,-1.184925388E0,1.122278466E0
2.946132500E-1,1.487790694E0,-1.482606552E0,5.419975685E-1
3.045882500E-1,1.419556611E0,-1.518709016E0,4.222283193E-1
3.145642500E-1,1.359170953E0,-1.320997113E0,9.910211921E-1
3.245392500E-1,1.310903065E0,-9.953422844E-1,1.564311743E0
3.345152500E-1,1.395782124E0,-7.153109407E-1,1.524298662E0
3.444902500E-1,1.653715963E0,-6.519768244E-1,8.113584745E-1
3.544662500E-1,2.010132408E0,-7.543615705E-1,8.532110900E-2
3.644412500E-1,2.252860563E0,-1.016521484E0,-1.981220850E-1
3.744162500E-1,2.428601845E0,-1.242188340E0,3.279907912E-2
3.843922500E-1,2.541481466E0,-1.382765345E0,5.797982097E-1
3.943672500E-1,2.597178826E0,-1.325873106E0,1.066462846E0
4.043432500E-1,2.622379741E0,-1.160282882E0,1.129530036E0
4.143182500E-1,2.517478061E0,-8.425375825E-1,1.032269059E0
4.242942500E-1,2.487595865E0,-5.028710711E-1,8.017678714E-1
4.342692500E-1,2.801973169E0,-3.439472580E-1,4.625615358E-1
4.442442500E-1,3.601058046E0,-3.632495016E-1,2.766785502E-2
4.542202500E-1,4.431728704E0,-3.845918387E-1,-3.439460886E-1
4.641952500E-1,4.550518691E0,-3.266488552E-2,-3.721451631E-1
4.741712500E-1,4.515463756E0,6.919805503E-1,2.071183187E-1
4.841462500E-1,4.226791981E0,1.557726316E0,1.190236999E0
4.941222500E-1,3.928011833E0,2.141151554E0,1.854947012E0
5.040972500E-1,3.749588433E0,2.211825095E0,1.644127991E0
5.140722500E-1,3.665451385E0,2.233442252E0,1.267997658E0
5.240482500E-1,3.721526768E0,2.178497136E0,1.166416904E0
5.340232500E-1,3.583151825E0,1.626358010E0,1.383927479E0
5.439992500E-1,3.044603090E0,6.240803432E-1,1.896622750E0
5.539742500E-1,2.300216285E0,-2.026183015E-1,2.272037822E0
5.639492500E-1,1.610255948E0,-6.585695601E-1,2.235140283E0
5.739252500E-1,1.111275614E0,-7.751378971E-1,1.893347139E0
5.839002500E-1,8.305291557E-1,-6.443339288E-1,1.456903215E0
5.938762500E-1,7.229740092E-1,1.691880155E-1,1.412244960E0
6.038512500E-1,6.695944852E-1,1.860093439E0,2.299132065E0
6.138272500E-1,6.655403182E-1,3.596749232E0,3.362168881E0
6.238022500E-1,6.484035909E-1,5.051313123E0,3.550119442E0
6.337772500E-1,6.498244643E-1,6.248562688E0,2.721592373E0
6.437532500E-1,5.140451002E-1,7.260254372E0,1.429873292E0
6.537282500E-1,1.753322697E-1,7.989600969E0,5.761998332E-1
6.637042500E-1,-4.932541555E-1,8.264416596E0,5.420918548E-1
6.736792500E-1,-1.102572618E0,7.868272414E0,1.106676779E0
6.836552500E-1,-1.188951196E0,6.540053989E0,1.578316702E0
6.936302500E-1,-7.202465755E-1,4.514072118E0,1.572738458E0
7.036052500E-1,-1.439520174E-1,2.478347617E0,8.586180103E-1
7.135812500E-1,7.863160193E-2,7.840771204E-1,1.986533046E-2
7.235562500E-1,-9.605455041E-2,-7.469180650E-1,-6.764047372E-1
7.335322500E-1,-5.342039609E-1,-1.826316413E0,-1.266430897E0
7.435072500E-1,-1.176665611E0,-2.505255919E0,-1.605941287E0
