"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.326250015E-3,-4.189309478E-1,-7.338368893E-1,-3.872348964E-1
1.530125001E-2,-3.621209264E-1,-7.744199634E-1,-6.084605455E-1
2.527625000E-2,-2.087657452E-1,-7.732220888E-1,-7.997199893E-1
3.525225000E-2,-4.023898393E-3,-6.220265627E-1,-9.247815609E-1
4.522725000E-2,2.235959470E-1,-2.876437604E-1,-1.023429275E0
5.520325000E-2,4.400835931E-1,1.366918087E-1,-1.096640587E0
6.517825002E-2,6.459177136E-1,5.580728650E-1,-1.157855392E0
7.515424999E-2,8.355264068E-1,8.334647417E-1,-1.163101077E0
8.512925002E-2,9.548581243E-1,7.723201513E-1,-1.134258509E0
9.510525002E-2,9.570823908E-1,2.587891221E-1,-1.119917274E0
1.050802500E-1,8.268665671E-1,-5.717507005E-1,-1.101570725E0
1.150552500E-1,5.939069390E-1,-1.371322632E0,-1.033187628E0
1.250312500E-1,3.321464956E-1,-1.890997767E0,-9.255106449E-1
1.350062500E-1,1.232971027E-1,-2.068627596E0,-8.176432252E-1
1.449822500E-1,7.569972891E-3,-2.008572817E0,-7.140516043E-1
1.549572500E-1,-1.539732981E-2,-1.848345876E0,-5.999743938E-1
1.649322500E-1,2.548405901E-2,-1.677444696E0,-5.087425113E-1
1.749082500E-1,8.766726404E-2,-1.564762115E0,-4.599166214E-1
1.848832500E-1,1.431169510E-1,-1.485172749E0,-4.698432684E-1
1.948592500E-1,1.854485571E-1,-1.368737698E0,-5.289172530E-1
2.048342500E-1,2.078824937E-1,-1.197367311E0,-5.901257396E-1
2.148102500E-1,2.220198065E-1,-1.003770590E0,-6.581987143E-1
2.247852500E-1,2.341936529E-1,-8.647416234E-1,-7.226940393E-1
2.347602500E-1,2.341425866E-1,-7.632231116E-1,-7.989729047E-1
2.447362500E-1,2.312237620E-1,-6.769329309E-1,-8.886492848E-1
2.547112500E-1,2.431800365E-1,-5.981702209E-1,-9.399681687E-1
2.646872500E-1,2.373927087E-1,-6.675309539E-1,-9.111216068E-1
2.746622500E-1,2.026716769E-1,-8.517797589E-1,-8.277123570E-1
2.846382500E-1,1.645589173E-1,-8.980612159E-1,-7.577005029E-1
2.946132500E-1,1.341674477E-1,-7.463896275E-1,-7.155216336E-1
3.045882500E-1,1.052010506E-1,-6.336545348E-1,-6.773720980E-1
3.145642500E-1,5.340497196E-2,-7.726653218E-1,-6.236601472E-1
3.245392500E-1,-3.083880246E-2,-1.145293355E0,-5.273352265E-1
3.345152500E-1,-1.354612112E-1,-1.481019974E0,-4.001772702E-1
3.444902500E-1,-2.347947210E-1,-1.575291872E0,-2.848975658E-1
3.544662500E-1,-3.070837259E-1,-1.417634249E0,-2.180425376E-1
3.644412500E-1,-3.465496302E-1,-1.147102714E0,-2.016494423E-1
3.744162500E-1,-3.548714519E-1,-9.398981929E-1,-2.152263224E-1
3.843922500E-1,-3.385822475E-1,-8.910366297E-1,-2.380179167E-1
3.943672500E-1,-3.106387854E-1,-9.544818997E-1,-2.562501431E-1
4.043432500E-1,-2.702521980E-1,-1.009669185E0,-2.499227077E-1
4.143182500E-1,-2.171612978E-1,-1.011450529E0,-1.931172162E-1
4.242942500E-1,-1.717189699E-1,-9.438014030E-1,-1.106955707E-1
4.342692500E-1,-1.445394754E-1,-8.213163614E-1,-7.299575955E-2
4.442442500E-1,-1.617685407E-1,-7.068347931E-1,-1.564333886E-1
4.542202500E-1,-2.004453540E-1,-5.620732307E-1,-2.744281888E-1
4.641952500E-1,-2.220284194E-1,-4.262951314E-1,-3.244410157E-1
4.741712500E-1,-2.160075456E-1,-4.169686735E-1,-2.688238621E-1
4.841462500E-1,-1.891274601E-1,-6.009321213E-1,-9.679591656E-2
4.941222500E-1,-1.632272303E-1,-8.439155817E-1,1.460015178E-1
5.040972500E-1,-1.734071672E-1,-9.415595531E-1,3.938667178E-1
5.140722500E-1,-2.118885517E-1,-8.866339326E-1,6.448531151E-1
5.240482500E-1,-2.888842523E-1,-7.970587611E-1,8.811335564E-1
5.340232500E-1,-4.172346592E-1,-7.657336593E-1,1.113725781E0
5.439992500E-1,-6.225869656E-1,-8.661609292E-1,1.340307593E0
5.539742500E-1,-9.173722863E-1,-1.089483380E0,1.574382067E0
5.639492500E-1,-1.261958361E0,-1.306136131E0,1.841910124E0
5.739252500E-1,-1.635128617E0,-1.399693966E0,2.154655457E0
5.839002500E-1,-2.195878029E0,-1.274473667E0,2.514196873E0
5.938762500E-1,-2.737196922E0,-1.041759014E0,2.875033140E0
6.038512500E-1,-2.902170420E0,-1.013282061E0,3.157452822E0
6.138272500E-1,-2.758592606E0,-1.224994540E0,3.327788115E0
6.238022500E-1,-2.413953066E0,-1.393399596E0,3.347822428E0
6.337772500E-1,-1.991147637E0,-1.227745891E0,3.173317671E0
6.437532500E-1,-1.628745198E0,-7.426459193E-1,2.862855673E0
6.537282500E-1,-1.469912291E0,-1.319303215E-1,2.479494572E0
6.637042500E-1,-1.567355275E0,3.640424013E-1,2.148158789E0
6.736792500E-1,-1.661070347E0,5.487920642E-1,2.028611898E0
6.836552500E-1,-1.563458800E0,4.200460613E-1,2.018954992E0
6.936302500E-1,-1.294784665E0,1.674777865E-1,1.953604221E0
7.036052500E-1,-9.185028672E-1,3.751898929E-2,1.820445895E0
7.135812500E-1,-5.998475552E-1,6.221671402E-2,1.683393240E0
7.235562500E-1,-4.293956757E-1,2.200561464E-1,1.581782222E0
7.335322500E-1,-4.037623107E-1,5.283734202E-1,1.514888525E0
7.435072500E-1,-4.339953065E-1,9.068205953E-1,1.451049685E0
7.534832500E-1,-4.756603539E-1,1.264152884E0,1.370019794E0
7.634582500E-1,-5.052425265E-1,1.469113708E0,1.271573424E0
7.734332500E-1,-5.003988743E-1,1.433742642E0,1.176934481E0
7.834092500E-1,-4.376329482E-1,1.260408998E0,1.103040814E0
7.933842500E-1,-2.920966744E-1,1.067632556E0,1.082650185E0
8.033602500E-1,-1.288438141E-1,8.991625309E-1,1.090985060E0
8.133352500E-1,-1.823119819E-4,8.207045794E-1,1.093249202E0
8.233102500E-1,6.682894379E-2,8.379653096E-1,1.052093506E0
8.332859167E-1,6.628386676E-2,8.763415813E-1,9.262271523E-1
8.432609167E-1,3.770096600E-2,7.850079536E-1,7.060686946E-1
8.532369167E-1,1.763736829E-2,5.424785614E-1,4.100242853E-1
8.632119167E-1,1.123166736E-2,2.194091529E-1,1.015082747E-1
8.731879167E-1,2.169183083E-2,-3.773033246E-2,-1.435127854E-1
8.831629167E-1,5.193495378E-2,-1.444368064E-1,-3.226641715E-1
8.931379167E-1,8.890441805E-2,-1.774803996E-1,-5.154970288E-1
9.031139167E-1,1.255274117E-1,-2.405219525E-1,-7.097026706E-1
9.130889167E-1,1.810638905E-1,-3.734381497E-1,-8.775752783E-1
9.230649167E-1,2.113536298E-1,-5.017564297E-1,-1.014485955E0
9.330399167E-1,1.932067871E-1,-5.472227931E-1,-1.139511228E0
9.430149167E-1,1.719289422E-1,-5.333082676E-1,-1.246270418E0
9.529909167E-1,1.341298819E-1,-5.878906250E-1,-1.319291592E0
9.629659167E-1,4.421198368E-2,-7.083813548E-1,-1.308228374E0
9.729419167E-1,-1.112816632E-1,-9.287076592E-1,-1.154645562E0
9.829169167E-1,-3.211294413E-1,-1.252876163E0,-8.360614181E-1
9.928929167E-1,-5.327520967E-1,-1.589098573E0,-4.821523726E-1
1.002867917E0,-7.088064551E-1,-1.707527518E0,-1.884222329E-1
1.012842917E0,-7.877782583E-1,-1.555276752E0,1.990382746E-2
1.022818917E0,-6.590493321E-1,-1.223514557E0,1.309283376E-1
1.032793917E0,-1.750028729E-1,-2.548836470E-1,2.041363120E-1
