"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781438587061485E9,"2026-06-14 14:03:07.061 UTC+02:00"
"PAUSE",1.805706379582989E2,1.781438767633276E9,"2026-06-14 14:06:07.633 UTC+02:00"
