"Time (s)","X (hPa)"
-5.749092500E-1,1.017551193E3
4.272327500E-1,1.017552032E3
1.429365750E0,1.017552795E3
2.431476750E0,1.017552795E3
3.433631750E0,1.017548828E3
3.789284750E0,1.017548828E3
4.858198750E0,1.017546005E3
5.927121750E0,1.017546005E3
6.996001750E0,1.017539902E3
8.064947750E0,1.017536469E3
9.133872750E0,1.017531738E3
1.020279675E1,1.017527542E3
1.127174275E1,1.017523651E3
1.234067475E1,1.017523651E3
1.340964375E1,1.017528152E3
1.447862175E1,1.017533188E3
1.554761575E1,1.017536697E3
1.661661275E1,1.017540741E3
1.768558475E1,1.017540741E3
1.875452075E1,1.017535934E3
1.982352675E1,1.017529755E3
2.089250175E1,1.017524796E3
2.196142375E1,1.017517624E3
2.303037075E1,1.017514267E3
2.409939775E1,1.017511063E3
2.516838375E1,1.017511063E3
2.623737375E1,1.017511063E3
2.730635075E1,1.017511520E3
2.837530175E1,1.017512283E3
2.944426575E1,1.017511520E3
3.051332475E1,1.017509537E3
3.158234775E1,1.017507706E3
3.265133675E1,1.017506256E3
3.372037875E1,1.017505798E3
3.478940175E1,1.017505798E3
3.585846375E1,1.017505112E3
3.692749675E1,1.017502213E3
3.799650875E1,1.017487259E3
3.906552075E1,1.017473526E3
4.013457275E1,1.017460709E3
4.120362775E1,1.017451477E3
4.227264975E1,1.017443237E3
4.334168375E1,1.017437363E3
4.441067275E1,1.017432098E3
4.547970275E1,1.017424164E3
4.654869175E1,1.017408981E3
4.761769675E1,1.017391663E3
4.868673475E1,1.017374039E3
4.975574075E1,1.017354660E3
5.082468675E1,1.017334671E3
5.189366775E1,1.017313156E3
5.296267875E1,1.017291718E3
5.403161975E1,1.017274628E3
5.510058775E1,1.017261429E3
5.616952075E1,1.017251434E3
5.723853275E1,1.017250443E3
5.830757275E1,1.017250443E3
5.937654275E1,1.017252121E3
6.044554175E1,1.017255249E3
6.151451175E1,1.017259293E3
6.258347475E1,1.017264099E3
6.365241075E1,1.017269821E3
6.472142375E1,1.017272110E3
6.579044975E1,1.017272110E3
6.685946075E1,1.017266846E3
6.792844075E1,1.017253342E3
6.899745875E1,1.017239227E3
7.006645375E1,1.017239227E3
7.113544175E1,1.017242432E3
7.220436675E1,1.017251968E3
7.327327775E1,1.017271347E3
7.434221375E1,1.017292709E3
7.541114275E1,1.017306213E3
7.648014475E1,1.017315979E3
7.754908475E1,1.017326889E3
7.861804975E1,1.017333374E3
7.968694775E1,1.017342682E3
8.075583175E1,1.017352600E3
8.182477675E1,1.017356796E3
8.289368075E1,1.017360687E3
8.396256775E1,1.017362213E3
8.503145275E1,1.017362595E3
8.610030975E1,1.017365112E3
8.716920175E1,1.017367325E3
8.823812975E1,1.017372055E3
8.930709575E1,1.017378235E3
9.037606975E1,1.017381134E3
9.144504475E1,1.017382431E3
9.251398975E1,1.017385330E3
9.358295675E1,1.017386246E3
9.465188875E1,1.017386398E3
9.572081775E1,1.017387924E3
9.678978975E1,1.017387924E3
9.785871875E1,1.017386398E3
9.892764875E1,1.017385406E3
9.999654675E1,1.017382050E3
1.010654607E2,1.017379684E3
1.021344377E2,1.017379684E3
1.032033437E2,1.017382050E3
1.042722827E2,1.017385559E3
1.053411507E2,1.017392578E3
1.064100817E2,1.017400970E3
1.074790737E2,1.017407532E3
1.085480277E2,1.017412109E3
1.096170428E2,1.017412109E3
1.106860507E2,1.017411880E3
1.117550787E2,1.017408600E3
1.128241317E2,1.017406845E3
1.138930987E2,1.017405853E3
1.149621177E2,1.017405853E3
1.160311668E2,1.017408142E3
1.171001807E2,1.017411957E3
1.181692027E2,1.017415543E3
1.192382317E2,1.017420349E3
1.203072967E2,1.017420959E3
1.213763297E2,1.017420959E3
1.224453707E2,1.017418900E3
1.235143897E2,1.017414856E3
1.245834207E2,1.017410889E3
1.256524317E2,1.017409439E3
1.267214188E2,1.017409439E3
1.277904388E2,1.017409210E3
1.288594448E2,1.017408600E3
1.299284537E2,1.017408600E3
1.309974797E2,1.017415237E3
1.320665177E2,1.017415237E3
1.331355717E2,1.017416916E3
1.342045737E2,1.017416916E3
1.352736257E2,1.017420807E3
1.363426707E2,1.017422791E3
1.374116638E2,1.017425842E3
1.384806727E2,1.017438278E3
1.395496617E2,1.017449417E3
1.406186627E2,1.017463684E3
1.416876777E2,1.017474289E3
1.427566627E2,1.017483215E3
1.438256387E2,1.017489166E3
1.448946238E2,1.017489166E3
1.459636058E2,1.017487717E3
1.470326648E2,1.017486038E3
1.481017407E2,1.017481003E3
1.491707817E2,1.017476273E3
1.502398357E2,1.017473984E3
1.513088577E2,1.017471924E3
1.523778678E2,1.017467422E3
1.534468958E2,1.017462845E3
1.545158778E2,1.017458420E3
1.555848627E2,1.017454224E3
1.566538818E2,1.017450256E3
1.577229137E2,1.017445221E3
1.587919538E2,1.017444916E3
1.598610087E2,1.017444916E3
1.609299927E2,1.017446594E3
1.619990027E2,1.017450256E3
1.630680157E2,1.017455444E3
1.641369948E2,1.017460098E3
1.652059538E2,1.017460098E3
1.662749337E2,1.017453613E3
1.673439227E2,1.017439117E3
1.684129437E2,1.017422256E3
1.694819957E2,1.017396698E3
1.705510137E2,1.017372284E3
1.716199478E2,1.017355194E3
1.726888998E2,1.017344818E3
1.737578427E2,1.017337341E3
1.748267907E2,1.017337341E3
1.758957628E2,1.017337646E3
1.769646727E2,1.017339096E3
