"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.188935100E-2,-2.635119855E-1,9.474520087E-1,-6.612616181E-1
3.388935100E-2,-5.872705579E-1,5.925393105E-1,-6.618725061E-1
4.388935100E-2,-6.862307191E-1,5.338962078E-1,-6.918048859E-1
5.388935100E-2,-6.031530499E-1,4.282165468E-1,-6.844745278E-1
6.388935100E-2,-4.205043614E-1,3.732386529E-1,-6.349944472E-1
7.388935100E-2,-2.910009325E-1,5.210680366E-1,-6.178901792E-1
8.388935100E-2,-5.701663494E-1,1.053131700E0,-5.323690772E-1
9.389068400E-2,-1.001437187E0,1.318247199E0,-2.006692290E-1
1.038906840E-1,-8.450556993E-1,1.194852471E0,-1.017090604E-1
1.138906840E-1,-1.101848185E-1,1.121548533E0,-1.353066564E-1
1.238906840E-1,6.063601375E-1,9.737191796E-1,-1.435533352E-2
1.338906840E-1,9.166796803E-1,7.892379165E-1,1.328631938E-1
1.438906840E-1,7.743480802E-1,7.990117669E-1,1.798998117E-1
1.538906840E-1,3.723987341E-1,8.747590184E-1,1.927279830E-1
1.638906840E-1,-1.614975035E-1,7.751879692E-1,2.397646159E-1
1.738906840E-1,-6.227007508E-1,4.825835526E-1,3.943135142E-1
1.838906840E-1,-8.914814591E-1,1.844813079E-1,5.946773291E-1
1.938906840E-1,-1.020374060E0,-3.054326167E-3,7.925976515E-1
2.038912130E-1,-1.155375242E0,-1.343903542E-1,9.526443481E-1
2.138912130E-1,-1.325806618E0,-2.962696552E-1,1.071763039E0
2.238912130E-1,-1.435762405E0,-4.550946057E-1,1.071152210E0
2.338912130E-1,-1.431486368E0,-5.448917747E-1,9.746354818E-1
2.438905930E-1,-1.370399833E0,-5.668829679E-1,7.925976515E-1
2.538905930E-1,-1.245783329E0,-5.607742667E-1,5.592471361E-1
2.638905930E-1,-1.087569237E0,-6.157521605E-1,4.566217661E-1
2.738905930E-1,-9.226356149E-1,-6.872233748E-1,4.688390791E-1
2.838906330E-1,-8.902597427E-1,-5.852088928E-1,5.238169432E-1
2.938906330E-1,-1.018541455E0,-1.918116808E-1,4.908302128E-1
3.038906330E-1,-9.660070539E-1,5.375614017E-2,3.106249869E-1
3.138906330E-1,-7.864126563E-1,1.172861308E-1,5.772676691E-2
3.238906330E-1,-5.493969321E-1,-5.436700583E-2,-2.226603776E-1
3.338906330E-1,-3.074942827E-1,-3.940080702E-1,-4.780020416E-1
3.438909330E-1,-1.169043332E-1,-7.397578359E-1,-6.484334469E-1
3.538909330E-1,-5.887213722E-2,-1.075733662E0,-7.162395120E-1
3.638909330E-1,-1.120174155E-1,-1.345736146E0,-6.484334469E-1
3.738909330E-1,-2.433534414E-1,-1.492343783E0,-5.183191895E-1
