"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.291891987E0,-2.528276920E0,-8.712799072E0,1.831564307E0
1.301891987E0,-2.753331900E0,-9.557952881E0,1.551442742E0
1.311891987E0,-2.923320293E0,-1.101602173E1,2.317587137E0
1.321891987E0,-2.930502892E0,-1.160499477E1,2.542642117E0
1.331891987E0,-2.217030764E0,-1.167442703E1,2.834734917E0
1.341892287E0,-1.836352706E0,-1.086997509E1,2.999934673E0
1.351892287E0,-6.655880809E-1,-9.931447983E0,1.003170490E0
1.361892287E0,-7.709329724E-1,-8.846874237E0,2.513911724E-1
1.371892287E0,-1.675941199E-1,-7.132626057E0,3.687070608E-1
1.381892287E0,6.943184882E-2,-6.349722385E0,2.681505978E-1
1.391892020E0,3.040636182E-1,-5.789478779E0,8.690952063E-1
1.401892020E0,-1.556231081E-1,-6.004957199E0,1.508347094E-1
1.411892020E0,-1.419761658E0,-6.936301708E0,-1.723825186E-1
1.421892020E0,-2.183511972E0,-7.455843449E0,-5.817909837E-1
1.431892020E0,-2.892195702E0,-8.942642212E0,-5.075707436E-1
1.441892020E0,-2.726995707E0,-9.593865395E0,-8.164227605E-1
1.451892286E0,-2.008735180E0,-1.009425354E1,-7.374141216E-1
1.461892286E0,-1.702277422E0,-9.991303444E0,-5.506663918E-1
1.471892286E0,-1.515529633E0,-9.531616211E0,-2.920926213E-1
1.481892286E0,-1.505952835E0,-9.455001831E0,1.628057212E-1
1.491892286E0,-1.936909199E0,-9.232340813E0,3.830722570E-1
1.501891986E0,-2.260126352E0,-9.364022255E0,1.556231081E-1
1.511891986E0,-2.997540474E0,-9.890746117E0,2.394201607E-2
1.521891986E0,-3.452438831E0,-1.018044472E1,3.016694188E-1
1.531892052E0,-3.976768970E0,-1.037437534E1,1.149216771E0
1.541892052E0,-4.029441357E0,-1.017805099E1,1.632845521E0
1.551892052E0,-3.572149038E0,-9.684844971E0,1.690306425E0
1.561892318E0,-3.835511208E0,-9.098265648E0,1.994369984E0
1.571892318E0,-3.572149038E0,-8.119037628E0,2.784456491E0
1.581892318E0,-3.926490784E0,-7.194875240E0,2.489969730E0
1.591892584E0,-2.707842112E0,-7.314585686E0,4.906018734E0
1.601892584E0,-1.788468719E0,-8.171710014E0,5.415983677E0
1.611892584E0,-1.865083098E0,-7.893982410E0,3.004723072E0
1.621892584E0,-2.027888775E0,-7.522881031E0,1.357512355E0
1.631892584E0,-2.343923569E0,-7.783848763E0,1.386242747E0
1.641892284E0,-2.655169725E0,-8.095095634E0,1.529894829E0
1.651892284E0,-2.348711967E0,-9.426271439E0,1.288080573E0
1.661892284E0,-2.039859772E0,-9.964966774E0,1.798045516E0
1.671892550E0,-1.505952835E0,-1.051563358E1,3.191470861E0
1.681892550E0,-1.089361787E0,-1.030973148E1,3.883395195E0
1.691892550E0,-2.250549644E-1,-8.403946877E0,4.517858505E0
1.701892850E0,-6.847416759E-1,-7.228394032E0,3.780444384E0
1.711892850E0,-1.405396342E0,-5.087977886E0,2.683900118E0
1.721892850E0,-2.846705914E0,-4.778826714E0,-1.125274777E0
1.731892850E0,-3.924096584E0,-7.103895664E0,-4.367023945E0
1.741892850E0,-3.734954596E0,-1.036479855E1,-4.831499100E0
1.751892583E0,-3.895366192E0,-1.706407356E1,-2.616862535E0
1.761892583E0,-3.849876404E0,-1.952052498E1,-9.816226959E-1
1.771892583E0,-3.988739967E0,-1.975755119E1,-1.798045516E0
1.781892783E0,-4.683058739E0,-1.824441528E1,-2.774879694E0
1.791892783E0,-4.546588898E0,-1.649185944E1,-4.462791920E0
1.801892783E0,-3.821146011E0,-1.563712978E1,-4.831499100E0
1.811892783E0,-4.604049683E0,-1.273266411E1,-4.094084740E0
1.821892783E0,-5.214870453E0,-1.130571938E1,-3.177105665E0
1.831892783E0,-4.273650169E0,-1.012537861E1,-5.506663918E-1
1.841893049E0,-4.503493309E0,-8.523657799E0,6.057330370E-1
1.851893049E0,-4.367023945E0,-6.452672958E0,2.099714994E0
1.861892782E0,-4.560954094E0,-5.787084579E0,2.142810583E0
1.871892782E0,-4.225766182E0,-5.368099689E0,3.655946016E0
1.881892782E0,-3.299209833E0,-5.365705490E0,4.213795185E0
1.891892082E0,-1.079784989E0,-6.804620743E0,2.935291290E0
1.901892082E0,-5.865794420E-1,-7.111078262E0,2.461239338E0
1.911892082E0,-4.070143029E-2,-7.300220490E0,9.504981041E-1
1.921892082E0,-3.519476354E-1,-6.953061104E0,5.243301988E-1
1.931892082E0,-9.648633003E-1,-6.859687328E0,-4.932055473E-1
1.941892082E0,-3.926490843E-1,-7.486968040E0,-1.410184860E0
1.951892382E0,-3.926490843E-1,-8.269871712E0,-3.179499865E0
1.961892382E0,-4.572925270E-1,-8.571541786E0,-3.373430252E0
1.971892115E0,-3.854664862E-1,-9.850045204E0,-3.277662039E0
1.981892115E0,-5.937620401E-1,-1.037198067E1,-2.375048161E0
1.991892115E0,-9.457096457E-1,-1.052999878E1,-1.070208192E0
2.001891815E0,-1.197100878E0,-1.053239250E1,-5.147533417E-1
2.011891815E0,-1.663970232E0,-1.007988834E1,4.548983276E-1
2.021891815E0,-1.776497602E0,-9.811738014E0,7.924807668E-1
2.031891815E0,-1.838746905E0,-9.366415977E0,1.783680320E0
2.041891815E0,-1.980004787E0,-9.143755913E0,2.511517525E0
2.051891815E0,-2.875436306E0,-7.582736015E0,3.593696833E0
2.061891815E0,-3.665522814E0,-5.528511047E0,4.723760128E0
2.071891815E0,-3.876212597E0,-4.431667328E0,8.564358711E0
2.081891915E0,-4.177882195E0,-5.973832607E0,5.691316605E0
2.091892181E0,-3.430891037E0,-7.771877766E0,-3.351882473E-2
2.101892181E0,-7.740753174E0,-6.979397297E0,-9.433154464E-1
2.111892181E0,-4.027047157E0,-1.031451988E1,4.232948780E0
2.121892181E0,-4.357447147E0,-8.006509781E0,6.371270180E0
2.131892181E0,-2.351106167E0,-9.162909508E0,3.366247654E0
2.141891914E0,-2.145204782E0,-1.023311710E1,2.997540474E0
2.151891914E0,-2.425326347E0,-1.124347019E1,3.114856482E0
2.161891914E0,-3.406949043E0,-1.102799225E1,2.877830505E0
2.171891914E0,-4.153939724E0,-1.042704773E1,2.415749550E0
2.181891914E0,-4.295197964E0,-9.763854027E0,1.276109457E0
2.191892347E0,-4.843470097E0,-1.035043335E1,-9.576807022E-1
2.201892647E0,-4.901230335E0,-1.196891403E1,-2.264914751E0
2.211892647E0,-2.592920542E0,-1.709041023E1,-4.757278919E0
2.221892647E0,4.788403213E-2,-1.948700523E1,-5.894824028E0
2.231892647E0,3.500322819E0,-1.875916862E1,-5.339369297E0
2.241892647E0,4.146757126E0,-1.591964531E1,-3.962403774E0
2.251892347E0,3.593696833E0,-1.141824722E1,-6.368576288E-1
2.261892347E0,2.892195702E0,-9.703998566E0,1.900996208E0
2.271892347E0,-2.609679997E-1,-7.391200066E0,3.074155092E0
2.281892347E0,-1.833958507E0,-6.881235123E0,2.185906172E0
2.291892347E0,-3.562572241E0,-7.704840183E0,1.474828243E0
2.301892347E0,-4.240131378E0,-8.475772858E0,1.216254473E0
2.311892347E0,-3.785232782E0,-9.732728958E0,2.442085743E0
2.321892347E0,-3.272873640E0,-1.019959831E1,3.122039080E0
2.331892347E0,-2.035071373E0,-1.048690319E1,2.765302896E0
2.341892647E0,-1.022324085E0,-1.065210247E1,2.341529369E0
2.351892647E0,-8.858546615E-2,-1.076702404E1,9.935936928E-1
2.361892647E0,4.429273009E-1,-1.089152241E1,-3.327940404E-1
2.371892647E0,9.265560508E-1,-9.407117844E0,-1.666364431E0
2.381892613E0,1.632845521E0,-8.739135742E0,-9.193734527E-1
2.391892346E0,2.080561161E0,-7.295432091E0,1.843535304E-1
2.401892346E0,1.510741234E0,-6.608295918E0,-1.508347094E-1
2.411892346E0,-9.720458984E-1,-5.806238174E0,-4.836287498E-1
2.421892346E0,-1.182735682E0,-5.813420773E0,-2.849099934E-1
2.431892346E0,-1.434126854E0,-6.426336765E0,2.394201700E-3
2.441892346E0,-1.278503656E0,-7.391200066E0,-4.070143029E-2
2.451892646E0,-1.642422318E0,-9.083900452E0,-1.963245422E-1
2.461892646E0,-1.266532660E0,-9.962572098E0,-4.453215301E-1
2.471892646E0,-1.903390408E0,-1.010143661E1,3.112462163E-1
2.481892646E0,-1.934514999E0,-9.897929192E0,6.631938815E-1
2.491892646E0,-1.912967205E0,-9.689633369E0,5.243301988E-1
2.501892346E0,-1.647210717E0,-9.615413666E0,7.398083210E-1
2.511892346E0,-2.068590164E0,-9.524434090E0,4.357447028E-1
2.521892346E0,-2.808398485E0,-9.359233856E0,-9.576806799E-3
2.531892346E0,-3.564966440E0,-9.203610420E0,-2.466027737E-1
2.541892346E0,-3.823540211E0,-9.189245224E0,-1.268926859E-1
2.551892346E0,-4.735731125E0,-9.081506729E0,2.729389966E-1
2.561892346E0,-5.095160484E0,-8.933065414E0,8.236053586E-1
2.571892346E0,-5.892429829E0,-8.444648743E0,1.419761658E0
2.581892346E0,-6.124667168E0,-7.910741806E0,2.286462545E0
