"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781440307476678E9,"2026-06-14 14:31:47.477 UTC+02:00"
"PAUSE",1.805396494583692E2,1.781440488019235E9,"2026-06-14 14:34:48.019 UTC+02:00"
