"Time (s)","X (hPa)"
-5.812501250E-1,1.016888733E3
4.199528750E-1,1.016906281E3
1.421141875E0,1.016923904E3
2.422278875E0,1.016951752E3
3.423411875E0,1.016981277E3
4.424527875E0,1.017021027E3
5.181719875E0,1.017052155E3
6.224574875E0,1.017114029E3
7.267454875E0,1.017196350E3
8.310259875E0,1.017196350E3
9.353079875E0,1.017126312E3
1.039584387E1,1.016931610E3
1.143865487E1,1.016833801E3
1.248149087E1,1.016757355E3
1.352430487E1,1.016757355E3
1.456714587E1,1.016866913E3
1.561001987E1,1.017085724E3
1.665293287E1,1.017170258E3
1.769585787E1,1.017177353E3
1.873877787E1,1.017177353E3
1.978166987E1,1.017134171E3
2.082452987E1,1.017088470E3
2.186742987E1,1.017042389E3
2.291035487E1,1.016992035E3
2.395325487E1,1.016942444E3
2.499613887E1,1.016890488E3
2.603904587E1,1.016834793E3
2.708195587E1,1.016785583E3
2.812485087E1,1.016748657E3
2.916775687E1,1.016719131E3
3.021063787E1,1.016698914E3
3.125352887E1,1.016679382E3
3.229639987E1,1.016663284E3
3.333923687E1,1.016654587E3
3.438215587E1,1.016647415E3
3.542506887E1,1.016644592E3
3.646794987E1,1.016644592E3
3.751086787E1,1.016649094E3
3.855374887E1,1.016649094E3
3.959662487E1,1.016647186E3
4.063951087E1,1.016641769E3
4.168237387E1,1.016635284E3
4.272520487E1,1.016630630E3
4.376803787E1,1.016628036E3
4.481090187E1,1.016628036E3
4.585374687E1,1.016629181E3
4.689662087E1,1.016644363E3
4.793949687E1,1.016657791E3
4.898237587E1,1.016672211E3
5.002528787E1,1.016688004E3
5.106817287E1,1.016699448E3
5.211105687E1,1.016702271E3
5.315391187E1,1.016706924E3
5.419674687E1,1.016708145E3
5.523960587E1,1.016710129E3
5.628245687E1,1.016710739E3
5.732535487E1,1.016711121E3
5.836824887E1,1.016711121E3
5.941112087E1,1.016709824E3
6.045399887E1,1.016709824E3
6.149689187E1,1.016718674E3
6.253977887E1,1.016730423E3
6.358271087E1,1.016736069E3
6.462556587E1,1.016742020E3
6.566841687E1,1.016743851E3
6.671130987E1,1.016743851E3
6.775423187E1,1.016736603E3
6.879715887E1,1.016736603E3
6.984010887E1,1.016736908E3
7.088305687E1,1.016745758E3
7.192596787E1,1.016766815E3
7.296891287E1,1.016783600E3
7.401187087E1,1.016791077E3
7.505478287E1,1.016797333E3
7.609762887E1,1.016797333E3
7.714047087E1,1.016785812E3
7.818334087E1,1.016782990E3
7.922619887E1,1.016781998E3
8.026901787E1,1.016770096E3
8.131176487E1,1.016757660E3
8.235457287E1,1.016757584E3
8.339743787E1,1.016755524E3
8.444028487E1,1.016755524E3
8.548312887E1,1.016767197E3
8.652601287E1,1.016775970E3
8.756889987E1,1.016799850E3
8.861180087E1,1.016808624E3
8.965466987E1,1.016813202E3
9.069755387E1,1.016826782E3
9.174043287E1,1.016860733E3
9.278328187E1,1.016875000E3
9.382614787E1,1.016893311E3
9.486901187E1,1.016916656E3
9.591187387E1,1.016931152E3
9.695469387E1,1.016931152E3
9.799755987E1,1.016921387E3
9.904046487E1,1.016909866E3
1.000833549E2,1.016896057E3
1.011262299E2,1.016884384E3
1.021690999E2,1.016870041E3
1.032119649E2,1.016857758E3
1.042548749E2,1.016851349E3
1.052977619E2,1.016847229E3
1.063406269E2,1.016832123E3
1.073834739E2,1.016819305E3
1.084263589E2,1.016797409E3
1.094692409E2,1.016768265E3
1.105121389E2,1.016739044E3
1.115550569E2,1.016721268E3
1.125979529E2,1.016702347E3
1.136408219E2,1.016675262E3
1.146837039E2,1.016653595E3
1.157265519E2,1.016626053E3
1.167694329E2,1.016599655E3
1.178123159E2,1.016583557E3
1.188551999E2,1.016583557E3
1.198981279E2,1.016602173E3
1.209409949E2,1.016617584E3
1.219838859E2,1.016621475E3
1.230267219E2,1.016623383E3
1.240696059E2,1.016623383E3
1.251125069E2,1.016613007E3
1.261553729E2,1.016613007E3
1.271982289E2,1.016620178E3
1.282410749E2,1.016626434E3
1.292839769E2,1.016631927E3
1.303268489E2,1.016640167E3
1.313697869E2,1.016653671E3
1.324127499E2,1.016668091E3
1.334556649E2,1.016697006E3
1.344985959E2,1.016732559E3
1.355415209E2,1.016776581E3
1.365844259E2,1.016822433E3
1.376273349E2,1.016869507E3
1.386702399E2,1.016912766E3
1.397131599E2,1.016957397E3
1.407560309E2,1.016998825E3
1.417989269E2,1.017038422E3
1.428418359E2,1.017082062E3
1.438847179E2,1.017145920E3
1.449276229E2,1.017215881E3
1.459705439E2,1.017215881E3
1.470134389E2,1.017149658E3
1.480563489E2,1.016985245E3
1.490992559E2,1.016846085E3
1.501421909E2,1.016759491E3
1.511851239E2,1.016754913E3
1.522280489E2,1.016754913E3
1.532709899E2,1.016868057E3
1.543139279E2,1.016954498E3
1.553568209E2,1.016954498E3
1.563996939E2,1.016939545E3
1.574425899E2,1.016908264E3
1.584854459E2,1.016858444E3
1.595283089E2,1.016795959E3
1.605711539E2,1.016735229E3
1.616140009E2,1.016667862E3
1.626568649E2,1.016598053E3
1.636996999E2,1.016545258E3
1.647425589E2,1.016488266E3
1.657854219E2,1.016422348E3
1.668282729E2,1.016365280E3
1.678711129E2,1.016315231E3
1.689139989E2,1.016269608E3
1.699568959E2,1.016246033E3
1.709997609E2,1.016245575E3
1.720426259E2,1.016242905E3
1.730855109E2,1.016235733E3
1.741284259E2,1.016235123E3
1.751713149E2,1.016235123E3
1.762141079E2,1.016232147E3
1.772569919E2,1.016232147E3
