"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781442846682399E9,"2026-06-14 15:14:06.682 UTC+02:00"
"PAUSE",1.805346195000457E2,1.781443027218310E9,"2026-06-14 15:17:07.218 UTC+02:00"
