"event","experiment time","system time","system time text"
"START",0.000000000E0,1781439051.221,"2026-06-14 14:10:51.221 UTC+02:00"
"PAUSE",1.800329040E2,1781439231.254,"2026-06-14 14:13:51.254 UTC+02:00"
