"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781443290547110E9,"2026-06-14 15:21:30.547 UTC+02:00"
"PAUSE",1.805448550833389E2,1.781443471091914E9,"2026-06-14 15:24:31.092 UTC+02:00"
