"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.408751667E-1,5.953549462E-1,1.514130646E-1,2.720534027E-2
7.508511667E-1,5.903068987E-1,1.339059893E-1,4.689233065E-2
7.608281667E-1,5.423815113E-1,1.171363941E-1,5.786287665E-2
7.708041667E-1,5.358987764E-1,1.722993920E-1,2.719598472E-2
7.807801667E-1,5.417450418E-1,2.301178298E-1,-2.396539807E-2
7.907571667E-1,5.099720029E-1,2.050997137E-1,-9.965994358E-3
8.007331667E-1,5.202229759E-1,1.993282194E-1,-7.041801810E-3
8.107091667E-1,5.499931242E-1,2.087180438E-1,-1.534660220E-2
8.206861667E-1,5.434571066E-1,1.860201028E-1,1.681717694E-2
8.306621667E-1,5.587499144E-1,1.642010714E-1,1.090447247E-2
8.406381667E-1,5.789166688E-1,1.649833558E-1,-1.535946608E-2
8.506151667E-1,5.542048006E-1,1.207336012E-1,-2.651712298E-2
8.605911667E-1,5.468643522E-1,5.738413587E-2,-1.457593918E-2
8.705671667E-1,5.716707261E-1,5.576124117E-3,2.181011438E-3
8.805441667E-1,5.487579730E-1,-3.010884829E-2,7.283876538E-3
8.905201667E-1,5.289785235E-1,-4.459466726E-2,1.789072573E-2
9.004961667E-1,5.221592814E-1,-2.019043565E-3,9.064938426E-3
9.104731667E-1,5.250197393E-1,1.649060994E-3,-1.669964790E-3
9.204491667E-1,5.151272006E-1,-5.173324049E-3,-2.486002207E-2
9.304251667E-1,5.258890010E-1,1.133555844E-3,-2.124585807E-2
9.404021667E-1,4.673688973E-1,-1.277002662E-2,2.806429625E-2
9.503781667E-1,3.754620693E-1,-5.706553571E-2,4.640116453E-2
9.603541667E-1,3.741358477E-1,-5.060999036E-2,6.575603306E-2
9.703301667E-1,3.965564114E-1,-4.550924487E-2,9.661179006E-2
9.803071667E-1,3.741354822E-1,-4.034008697E-2,1.024958432E-1
9.902831667E-1,3.734501886E-1,-4.161419526E-2,1.024303544E-1
1.000259167E0,4.069866016E-1,1.002107513E-1,1.970219314E-2
1.010236167E0,4.054023716E-1,9.892399840E-2,1.971973479E-2
1.020212167E0,4.064636412E-1,1.973072755E-1,-7.667161524E-2
1.030188167E0,4.159566689E-1,2.908953973E-1,-1.236838138E-1
1.040165167E0,3.849627715E-1,2.929506205E-1,-1.240796703E-1
1.050141167E0,3.516263332E-1,2.402004030E-1,-1.022660476E-1
1.060117167E0,3.424581914E-1,1.862676593E-1,-3.110134006E-2
1.070094167E0,3.205828806E-1,1.051659011E-1,3.137382030E-2
1.080070167E0,3.171377011E-1,4.230409361E-2,9.262983620E-2
1.090046167E0,3.915893479E-1,7.479984842E-2,8.302519977E-2
1.100023167E0,4.756369333E-1,1.654324219E-1,4.810504317E-2
1.109999167E0,5.328511345E-1,3.158194464E-1,-1.463791966E-2
1.119975167E0,5.682663310E-1,4.654342729E-1,-5.324006796E-2
1.129952167E0,5.809237256E-1,5.480561610E-1,-9.645274580E-2
1.139928167E0,6.001128256E-1,5.439039800E-1,-1.372370750E-1
1.149904167E0,6.153109816E-1,4.629891135E-1,-1.184248281E-1
1.159881167E0,6.381485248E-1,3.525507780E-1,-5.048485994E-2
1.169857167E0,6.499452824E-1,2.386945988E-1,3.274031460E-2
1.179833167E0,6.235282199E-1,1.760422678E-1,7.360942841E-2
1.189810167E0,5.979635353E-1,1.273127420E-1,8.105585754E-2
1.199786167E0,5.239969151E-1,7.919198446E-2,6.503390193E-2
1.209762167E0,4.907111283E-1,7.653990671E-2,6.017369628E-2
1.219739167E0,4.841827121E-1,1.075759041E-1,9.282630265E-2
1.229715167E0,4.748404694E-1,1.094304948E-1,7.796443462E-2
1.239691167E0,4.529805806E-1,7.317234904E-2,4.967852890E-2
1.249667167E0,4.627181681E-1,8.738327578E-2,3.268476605E-2
1.259644167E0,4.669181500E-1,7.324821666E-2,2.685860038E-2
1.269620167E0,4.902306334E-1,3.784551859E-2,-2.266965508E-3
1.279596167E0,5.540057029E-1,4.529647931E-2,7.922977209E-4
1.289573167E0,5.984476847E-1,-2.236450352E-2,1.279312313E-2
1.299549167E0,6.126437011E-1,-2.976035424E-2,-3.967335820E-3
1.309525167E0,6.299831805E-1,5.479535423E-2,2.537691593E-3
1.319502167E0,6.208383545E-1,8.593163140E-2,-2.825959325E-2
1.329478167E0,5.664400993E-1,9.559020840E-2,-9.944359660E-2
1.339454167E0,5.641508413E-1,9.580735937E-2,-9.918398023E-2
1.349431167E0,5.712244374E-1,1.800294111E-1,-8.382217526E-2
1.359407167E0,5.692546566E-1,1.180245131E-1,-3.749643981E-2
1.369383167E0,6.224782062E-1,7.814869501E-2,3.717893600E-2
1.379360167E0,6.545787623E-1,2.890541822E-2,7.720312715E-2
1.389336167E0,6.557387037E-1,2.795758456E-2,7.698619545E-2
1.399312167E0,6.597514285E-1,-4.474947229E-2,2.691765726E-2
1.409289167E0,6.520588316E-1,4.133396745E-3,-5.456504703E-2
1.419265167E0,5.898364902E-1,1.516204946E-2,-1.010568434E-1
1.429241167E0,5.939178468E-1,4.777321368E-2,-8.817542732E-2
1.439218167E0,5.946085491E-1,4.775881492E-2,-8.824910223E-2
1.449194167E0,6.176530838E-1,1.235599259E-1,-2.410807014E-3
1.459170167E0,6.504277508E-1,1.684309472E-1,1.126232207E-2
1.469147167E0,6.603117380E-1,1.888642616E-1,1.336673498E-3
1.479123167E0,6.540036155E-1,2.002713022E-1,-5.770500183E-2
1.489099167E0,6.565307090E-1,1.996840956E-1,-5.802484453E-2
1.499075167E0,5.996842977E-1,2.303277449E-1,-1.020888770E-1
1.509052167E0,5.539538088E-1,1.323496067E-1,-6.642436981E-4
1.519028167E0,5.550915308E-1,1.322078117E-1,-7.958060503E-4
1.529004167E0,4.650615129E-1,2.814754598E-2,7.493908525E-2
1.538981167E0,4.651905902E-1,2.754170135E-2,7.486541033E-2
1.548957167E0,4.251351895E-1,8.243141502E-2,-4.024638534E-3
1.558933167E0,4.916597660E-1,1.264108090E-1,-6.153609753E-3
1.568910167E0,5.317623098E-1,1.439268744E-1,1.574070454E-2
1.578886167E0,5.498472362E-1,9.613019876E-2,-1.745276928E-2
1.588862167E0,5.479720341E-1,9.680752560E-2,-1.718964458E-2
1.598839167E0,6.552560160E-1,1.006587942E-1,-3.829984725E-2
1.608815167E0,6.123232736E-1,7.376554906E-2,-1.140739149E-1
1.618791167E0,6.359238055E-1,1.365132628E-1,-1.386643803E-1
1.628768167E0,6.174879000E-1,1.077896199E-1,-7.051391244E-2
1.638744167E0,6.161917915E-1,1.076071867E-1,-7.039579868E-2
1.648719917E0,5.525582246E-1,8.059019990E-2,1.327902675E-3
1.658696917E0,5.516174807E-1,8.012761205E-2,1.381112337E-3
1.668672917E0,5.114349762E-1,1.001790302E-1,4.191810429E-2
1.678648917E0,5.446097390E-1,9.303263627E-2,4.892540753E-2
1.688624917E0,5.436998391E-1,9.314694934E-2,4.903299630E-2
1.698601917E0,5.263901073E-1,1.095761635E-1,-6.931464851E-2
1.708577917E0,5.229887089E-1,7.831314795E-2,-1.286013222E-1
1.718553917E0,5.340629699E-1,1.052009113E-1,-1.131500548E-1
1.728530917E0,5.080419832E-1,9.084212311E-2,-8.634758770E-2
1.738506917E0,5.051777246E-1,9.091353223E-2,-8.603242278E-2
1.748482917E0,5.033158249E-1,1.079448634E-1,-3.194626272E-2
1.758459917E0,5.097034695E-1,8.639728904E-2,4.437978208E-2
1.768435917E0,5.139673322E-1,3.202439614E-2,7.761126280E-2
1.778411917E0,5.600471923E-1,4.946846768E-2,1.162385541E-1
1.788388917E0,5.578552173E-1,4.944632135E-2,1.164759511E-1
1.798364917E0,5.625259001E-1,7.549069695E-2,3.363844693E-2
1.808340917E0,6.240396320E-1,8.726238459E-2,-3.914184630E-2
1.818317917E0,6.430513421E-1,5.134637408E-2,-6.352064252E-2
1.828293917E0,6.259005815E-1,1.256449699E-2,-6.467020512E-2
1.838269917E0,6.229648407E-1,1.313379653E-2,-6.428779721E-2
1.848246917E0,6.975313852E-1,-1.906148449E-2,1.940340042E-2
1.858222917E0,6.693711215E-1,-1.117914543E-3,-1.410933137E-3
1.868198917E0,6.593123757E-1,3.939298421E-2,-6.766456425E-2
1.878174917E0,6.459549963E-1,6.647860274E-2,-1.138745248E-1
1.888151917E0,6.451915692E-1,6.628739879E-2,-1.138078666E-1
1.898127917E0,6.000000474E-1,5.339786969E-2,-2.123357892E-2
1.908103917E0,5.943451320E-1,6.039245524E-2,4.971653581E-2
1.918080917E0,5.885391393E-1,1.190168586E-1,8.289889991E-2
1.928056917E0,5.844322743E-1,1.336175023E-1,3.403021038E-2
1.938032917E0,5.839032474E-1,1.329229993E-1,3.402085483E-2
1.948009917E0,6.275540279E-1,1.521403120E-1,-9.637088478E-2
1.957985917E0,5.920927846E-1,1.278291973E-1,-1.649347508E-1
1.967961917E0,5.982215437E-1,1.153262423E-1,-1.314337134E-1
1.977938917E0,6.334032901E-1,7.456471726E-2,-3.655971587E-2
1.987914917E0,6.314856957E-1,7.500764385E-2,-3.629717588E-2
1.997890917E0,6.261075729E-1,-2.637971342E-3,6.227810919E-2
2.007867917E0,6.775423861E-1,2.423619725E-2,8.177564979E-2
2.017843917E0,6.918421175E-1,-9.957808256E-3,5.743135214E-2
2.027819917E0,6.911269299E-1,-9.819229245E-3,5.752724648E-2
2.037795917E0,6.903536356E-1,7.203988954E-3,1.282294393E-2
2.047772917E0,6.705967710E-1,4.473529279E-2,-1.232628143E-1
2.057748917E0,6.698666731E-1,4.556230836E-2,-1.230961686E-1
2.067724917E0,6.987243634E-1,5.534828156E-2,-3.292391717E-2
2.077701917E0,6.594676924E-1,2.585565671E-2,-4.888740063E-2
2.087677917E0,6.602849869E-1,2.592472695E-2,-4.897452414E-2
2.097653917E0,6.176635357E-1,4.709040508E-2,1.025426209E-2
2.107630917E0,6.192573405E-1,4.685870916E-2,1.004785538E-2
2.117606917E0,5.176834571E-1,8.582594298E-2,1.559276998E-2
2.127582917E0,5.216160750E-1,8.928844482E-2,-3.082418203E-2
2.137559917E0,5.166737891E-1,1.055192191E-1,-7.444090247E-3
2.147535917E0,5.166495232E-1,1.056347016E-1,-7.430056930E-3
2.157511917E0,5.238063689E-1,7.928875588E-2,-4.032064497E-2
2.167488917E0,5.344558297E-1,9.336534284E-2,-4.827227354E-2
2.177464917E0,5.524998987E-1,4.732356280E-2,-5.274831712E-2
2.187440917E0,6.066966442E-1,3.044864461E-2,-8.603593111E-3
2.197417917E0,6.018805850E-1,2.577313788E-2,1.995596230E-2
2.207393917E0,5.796065672E-1,3.495882131E-2,-2.994709969E-2
2.217369917E0,5.795478027E-1,3.493689425E-2,-2.994242191E-2
2.227345917E0,5.855716042E-1,4.640299179E-2,-3.404658258E-2
2.237322917E0,5.600316972E-1,4.677794449E-2,-4.332786798E-2
2.247298917E0,5.360953159E-1,5.549753174E-2,-5.812600136E-2
2.257274917E0,5.617587454E-1,5.929047436E-2,-8.509452939E-3
2.267251917E0,5.615767508E-1,5.886596650E-2,-8.530502915E-3
2.277227917E0,5.496853414E-1,3.373134457E-2,4.457449436E-2
2.287203917E0,5.500471379E-1,3.294774458E-2,4.445404172E-2
2.297180917E0,5.313046921E-1,1.078160785E-1,-6.773823917E-2
2.307156917E0,5.253805125E-1,1.104949073E-1,-1.106702507E-1
2.317132917E0,5.245425334E-1,1.111886794E-1,-1.105018508E-1
2.327109917E0,5.107746794E-1,9.829936959E-2,-6.316747069E-3
2.337085917E0,5.097126058E-1,9.847719803E-2,-6.172320843E-3
2.347061917E0,5.425002828E-1,5.916168943E-2,7.080685794E-2
2.357038917E0,5.585829764E-1,5.274860948E-2,4.736595511E-2
2.367014917E0,5.587256484E-1,5.249118581E-2,4.732327044E-2
2.376990917E0,5.855547204E-1,8.787970439E-2,-6.065667629E-2
2.386966917E0,5.852785125E-1,8.829719558E-2,-6.058241665E-2
2.396943917E0,5.905236842E-1,4.305589937E-2,-7.929409146E-2
2.406919917E0,6.191756257E-1,4.325031929E-2,-4.602051079E-2
2.416895917E0,6.187384732E-1,4.330411367E-2,-4.596262336E-2
2.426872917E0,5.856218172E-1,-7.995628864E-3,-3.288474083E-3
2.436848917E0,5.861012889E-1,-8.269790187E-3,-3.373843431E-3
2.446824917E0,5.796529064E-1,4.015626512E-2,-1.149445653E-2
2.456801917E0,5.568398483E-1,7.789441422E-2,-3.091715276E-2
2.466777917E0,5.570036434E-1,7.779420756E-2,-3.094697356E-2
2.476753917E0,5.164898211E-1,5.815574907E-2,-1.533724666E-2
2.486730917E0,5.164340533E-1,5.818863966E-2,-1.532730639E-2
2.496706917E0,5.032466816E-1,8.510030352E-2,-3.043885052E-2
2.506682917E0,5.035819463E-1,7.833617136E-2,-3.482016921E-2
2.516659917E0,5.033009145E-1,7.833310157E-2,-3.478625536E-2
2.526635917E0,4.719058250E-1,7.534561291E-2,-6.331482053E-2
2.536611917E0,4.717866880E-1,7.576807424E-2,-6.325810254E-2
2.546587917E0,4.743111502E-1,7.603244148E-2,-1.053434372E-2
2.556564917E0,4.884785152E-1,7.878691860E-2,-1.665813267E-2
2.566540917E0,4.887822781E-1,7.876930386E-2,-1.669730902E-2
2.576516917E0,4.881156955E-1,7.058890298E-2,-2.303042829E-2
2.586493917E0,4.884307142E-1,7.073018633E-2,-2.305498660E-2
2.596469917E0,4.697342422E-1,8.077694535E-2,-4.519897699E-3
2.606445917E0,4.508740481E-1,6.034487352E-2,-4.101237059E-3
2.616422917E0,4.509511583E-1,6.024174325E-2,-4.121702313E-3
2.626398917E0,4.009799762E-1,3.861596234E-2,1.196925044E-3
2.636374917E0,4.013603376E-1,3.846181512E-2,1.132020950E-3
2.646351917E0,3.738203904E-1,2.697159782E-2,3.076512516E-2
2.656328042E0,3.740145180E-1,2.652779415E-2,3.069554329E-2
2.666304042E0,3.607771526E-1,6.201681174E-2,-3.171939075E-2
2.676280042E0,3.506190772E-1,7.228240281E-2,-3.992186487E-2
2.686257042E0,3.506752105E-1,7.232150607E-2,-3.992537320E-2
2.696233042E0,3.383255987E-1,8.280337103E-2,-8.367950320E-3
2.706209042E0,3.296321046E-1,6.190045215E-2,3.539787412E-2
2.716186042E0,3.261302072E-1,5.464720041E-2,7.498644769E-2
2.726162042E0,3.434837200E-1,8.609023713E-2,7.447832465E-2
2.736138042E0,3.439930125E-1,8.584268063E-2,7.438359976E-2
2.746115042E0,3.108438313E-1,9.152595498E-2,-2.392037451E-2
2.756091042E0,3.174615638E-1,6.530046187E-2,-5.128885210E-2
2.766067042E0,3.171806051E-1,6.572094977E-2,-5.120932996E-2
2.776044042E0,3.158032934E-1,3.267000183E-2,3.724910259E-2
2.786020042E0,3.158681975E-1,3.266744368E-2,3.724033177E-2
2.795996042E0,3.337478136E-1,3.893565886E-2,6.617235482E-2
2.805972042E0,2.966529313E-1,5.901002727E-2,-2.615459561E-3
2.815949042E0,2.980264422E-1,4.922003411E-2,-2.558390737E-2
2.825925042E0,2.846923055E-1,6.501826063E-2,-1.507529140E-2
2.835901042E0,2.847393756E-1,6.535469480E-2,-1.504956365E-2
2.845878042E0,2.757548364E-1,4.161361054E-2,2.913901448E-2
2.855854042E0,2.896071826E-1,3.277788296E-2,4.502239108E-2
2.865830042E0,2.631716283E-1,6.649387859E-2,3.544991434E-2
2.875807042E0,2.575536235E-1,8.686572410E-2,1.067760050E-2
2.885783042E0,2.578399909E-1,8.721363343E-2,1.067058384E-2
2.895759042E0,2.241252378E-1,7.842928827E-2,1.342696130E-2
2.905736042E0,2.071225579E-1,6.695588171E-2,3.188369751E-2
2.915712042E0,2.233770865E-1,7.678519741E-2,2.651946187E-2
2.925688042E0,2.060940327E-1,6.633176453E-2,1.359243751E-2
2.935664042E0,2.060302980E-1,6.646398470E-2,1.361407220E-2
2.945641042E0,2.039087820E-1,6.502586201E-2,1.868185401E-2
2.955617042E0,2.266591287E-1,6.792637333E-2,3.501546621E-2
2.965593042E0,2.344158988E-1,7.456252456E-2,3.358172894E-2
2.975570042E0,2.618045492E-1,8.564438693E-2,2.764271200E-2
2.985546042E0,2.622055221E-1,8.574291252E-2,2.759593427E-2
2.995522042E0,2.249773233E-1,8.918239094E-2,-3.277656734E-2
3.005499042E0,2.318589114E-1,5.891888380E-2,-2.454836547E-2
3.015475042E0,2.431294195E-1,4.627734974E-2,5.137772977E-2
3.025451042E0,2.524361403E-1,4.617538892E-2,8.796492755E-2
3.035428042E0,2.527289397E-1,4.564797007E-2,8.787312627E-2
3.045404042E0,2.401518711E-1,3.307331353E-2,5.302255154E-2
3.055380042E0,2.230147053E-1,8.615075581E-2,-2.388704538E-2
3.065357042E0,2.049302906E-1,6.358803168E-2,-3.117150664E-3
3.075333042E0,2.133002874E-1,5.179076247E-2,3.787241578E-2
3.085309042E0,2.132891777E-1,5.156505994E-2,3.785253525E-2
3.095285042E0,2.097517584E-1,3.522106893E-2,2.201535165E-2
3.105262042E0,2.180670838E-1,4.716400690E-2,-2.783859372E-3
3.115238042E0,2.176115857E-1,7.320611671E-2,-2.308422267E-2
3.125214042E0,2.052030632E-1,6.369788624E-2,-2.881800234E-2
3.135191042E0,2.050212148E-1,6.391525649E-2,-2.877180934E-2
3.145167042E0,2.453512153E-1,5.031952992E-2,1.051498944E-1
3.155143042E0,2.267412820E-1,2.090628102E-2,1.307039809E-1
3.165120042E0,2.352820176E-1,5.311625317E-2,5.655251563E-2
3.175096042E0,2.331352124E-1,8.443028569E-2,1.504196227E-2
3.185072042E0,2.334448224E-1,8.458136313E-2,1.501155674E-2
