"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.554342260E-1,1.072499994E-2,-7.809999585E-2,-1.237499993E-3
8.655191590E-1,2.997500077E-2,-1.057374999E-1,7.287499961E-3
8.756039920E-1,4.276249930E-2,-1.324124932E-1,9.349999949E-3
8.856889950E-1,4.276249930E-2,-1.685750037E-1,1.361249946E-2
8.957739250E-1,2.571249940E-2,-2.143625021E-1,1.581249945E-2
9.058588530E-1,1.374999993E-4,-2.622124851E-1,1.154999994E-2
9.159436990E-1,-2.433750033E-2,-3.005749881E-1,5.087499972E-3
9.260286200E-1,-5.733750015E-2,-3.282124996E-1,3.024999984E-3
9.361135440E-1,-9.033749998E-2,-3.526875079E-1,7.287499961E-3
9.461984670E-1,-1.116499975E-1,-3.708375096E-1,1.361249946E-2
9.562833940E-1,-1.264999956E-1,-3.740000129E-1,1.787500083E-2
9.663683170E-1,-1.285624951E-1,-3.675374985E-1,2.213750035E-2
9.764530110E-1,-1.201749966E-1,-3.708375096E-1,3.066249937E-2
9.865381590E-1,-1.020250022E-1,-3.718000054E-1,3.712499887E-2
9.966228330E-1,-7.644999772E-2,-3.643749952E-1,3.918749839E-2
1.006707764E0,-4.881250113E-2,-3.515875041E-1,3.602499887E-2
1.016792678E0,-2.543750033E-2,-3.271124959E-1,3.176249936E-2
1.026877601E0,-1.924999990E-3,-2.898499966E-1,2.639999986E-2
1.036962539E0,1.718750037E-2,-2.505249977E-1,2.323750034E-2
1.047047452E0,3.093750030E-2,-2.143625021E-1,2.529999986E-2
1.057132300E0,4.276249930E-2,-1.834249943E-1,3.176249936E-2
1.067217235E0,5.335000157E-2,-1.654125005E-1,4.028749838E-2
1.077302163E0,5.018749833E-2,-1.537249982E-1,5.197500065E-2
1.087387067E0,3.946249932E-2,-1.494625062E-1,6.792499870E-2
1.097471990E0,2.351249941E-2,-1.483625025E-1,8.071249723E-2
1.107556914E0,1.182499994E-2,-1.355749965E-1,8.813749999E-2
1.117641842E0,7.562499959E-3,-1.121999994E-1,9.033749998E-2
1.127726536E0,7.562499959E-3,-7.699999958E-2,8.181250095E-2
1.137811452E0,7.562499959E-3,-2.062499896E-2,6.586249918E-2
1.147896375E0,3.299999982E-3,3.891250119E-2,4.977500066E-2
1.157981269E0,-1.154999994E-2,7.617499679E-2,3.492499888E-2
1.168066173E0,-3.066249937E-2,9.102500230E-2,2.433750033E-2
1.178151026E0,-5.197500065E-2,9.528750181E-2,1.787500083E-2
1.188235947E0,-6.902500242E-2,8.153750002E-2,1.787500083E-2
1.198320866E0,-7.755000144E-2,5.279999971E-2,2.103750035E-2
1.208405789E0,-8.291249722E-2,4.537500069E-2,2.323750034E-2
1.218490702E0,-8.717499673E-2,4.853750020E-2,2.749999985E-2
1.228575615E0,-7.864999771E-2,3.781250119E-2,2.956249937E-2
1.238660543E0,-5.843750015E-2,1.127499994E-2,2.433750033E-2
1.248745452E0,-4.028749838E-2,-1.539999992E-2,1.154999994E-2
1.258830375E0,-3.066249937E-2,-4.936249927E-2,1.924999990E-3
1.268915055E0,-2.639999986E-2,-8.772499859E-2,-6.599999964E-3
1.278999986E0,-2.749999985E-2,-1.196250021E-1,-1.608750038E-2
1.289084899E0,-3.712499887E-2,-1.366750002E-1,-2.364999987E-2
1.299169812E0,-4.455000162E-2,-1.335124969E-1,-2.571249940E-2
1.309254735E0,-4.564999789E-2,-1.185249984E-1,-2.254999988E-2
1.319339654E0,-4.771250114E-2,-1.036750004E-1,-1.938750036E-2
1.329424497E0,-4.771250114E-2,-9.088750184E-2,-1.938750036E-2
1.339509418E0,-4.344999790E-2,-8.346249908E-2,-1.938750036E-2
1.349594346E0,-4.028749838E-2,-8.346249908E-2,-2.364999987E-2
1.359679050E0,-3.396249935E-2,-9.404999763E-2,-2.887500077E-2
1.369763976E0,-1.897500083E-2,-1.153625026E-1,-3.217500076E-2
1.379848889E0,1.374999993E-4,-1.430000067E-1,-3.217500076E-2
1.389933817E0,1.608750038E-2,-1.622499973E-1,-2.997500077E-2
1.400018740E0,1.828750037E-2,-1.824624985E-1,-2.034999989E-2
1.410103668E0,1.182499994E-2,-2.036374956E-1,-7.562499959E-3
1.420188517E0,4.399999976E-3,-2.239875048E-1,8.387500420E-3
1.430273419E0,1.237499993E-3,-2.345750034E-1,1.787500083E-2
1.440358342E0,-7.287499961E-3,-2.345750034E-1,2.213750035E-2
1.450443269E0,-1.691249944E-2,-2.186249942E-1,2.103750035E-2
1.460528202E0,-2.749999985E-2,-1.984124929E-1,1.897500083E-2
1.470613115E0,-3.918749839E-2,-1.898874938E-1,1.581249945E-2
1.480697809E0,-5.307500064E-2,-1.802625060E-1,1.581249945E-2
1.490782731E0,-6.049999967E-2,-1.748999953E-1,1.787500083E-2
1.500867654E0,-6.696250290E-2,-1.674750000E-1,2.103750035E-2
1.510952582E0,-6.792499870E-2,-1.494625062E-1,2.103750035E-2
1.521037485E0,-6.270000339E-2,-1.164624989E-1,1.691249944E-2
1.531122323E0,-5.623750016E-2,-9.088750184E-2,1.581249945E-2
1.541207244E0,-4.675000161E-2,-7.603749633E-2,1.044999994E-2
1.551292167E0,-3.602499887E-2,-6.957499683E-2,1.924999990E-3
1.561377095E0,-2.543750033E-2,-6.861250103E-2,-4.399999976E-3
1.571462027E0,-1.374999993E-2,-7.699999958E-2,-6.599999964E-3
1.581546975E0,-4.124999978E-3,-8.346249908E-2,-6.599999964E-3
1.591631898E0,3.299999982E-3,-8.346249908E-2,-3.437499981E-3
1.601716841E0,1.402499992E-2,-8.236250281E-2,-2.337499987E-3
1.611801530E0,2.254999988E-2,-7.493750006E-2,8.249999955E-4
1.621886470E0,2.351249941E-2,-6.104999781E-2,8.249999955E-4
1.631971393E0,1.924999990E-2,-4.936249927E-2,3.024999984E-3
1.642056321E0,1.718750037E-2,-3.657500073E-2,3.024999984E-3
1.652141155E0,9.762499481E-3,-3.341250122E-2,8.249999955E-4
1.662226057E0,1.237499993E-3,-3.561250120E-2,-1.374999993E-4
1.672310975E0,-1.924999990E-3,-3.657500073E-2,-2.337499987E-3
1.682395898E0,-6.187499966E-3,-3.231250122E-2,-4.399999976E-3
1.692480826E0,-9.487500414E-3,-1.746249944E-2,-6.599999964E-3
1.702565525E0,-6.187499966E-3,6.874999963E-4,-7.562499959E-3
1.712650451E0,1.374999993E-4,1.979999989E-2,-6.599999964E-3
1.722735388E0,7.562499959E-3,3.781250119E-2,-3.437499981E-3
1.732820326E0,1.608750038E-2,5.169999972E-2,3.024999984E-3
1.742905174E0,2.144999988E-2,6.655000150E-2,7.287499961E-3
1.752990086E0,1.924999990E-2,7.727500051E-2,7.287499961E-3
1.763075009E0,9.762499481E-3,8.153750002E-2,6.187499966E-3
1.773159932E0,1.374999993E-4,7.081250101E-2,5.087499972E-3
1.783244845E0,-9.487500414E-3,5.486249924E-2,7.287499961E-3
1.793329782E0,-1.691249944E-2,4.633750021E-2,6.187499966E-3
1.803414468E0,-2.323750034E-2,4.317500070E-2,4.124999978E-3
1.813499393E0,-2.323750034E-2,4.111250117E-2,4.124999978E-3
1.823584331E0,-2.323750034E-2,3.355000168E-2,3.024999984E-3
1.833669188E0,-2.007500082E-2,2.722499892E-2,-1.374999993E-4
1.843754100E0,-1.471249945E-2,1.979999989E-2,1.924999990E-3
1.853839018E0,-9.487500414E-3,1.237499993E-2,6.187499966E-3
1.863923941E0,-3.024999984E-3,1.127499994E-2,6.187499966E-3
1.874008864E0,1.237499993E-3,1.237499993E-2,-1.374999993E-4
1.884093564E0,1.374999993E-4,8.112499490E-3,-6.599999964E-3
1.894178485E0,1.237499993E-3,-3.574999981E-3,-1.292499993E-2
1.904263422E0,-9.624999948E-4,-1.952499896E-2,-1.608750038E-2
1.914348345E0,-1.924999990E-3,-3.451250121E-2,-1.402499992E-2
1.924433239E0,1.237499993E-3,-4.509999976E-2,-4.399999976E-3
1.934518167E0,-1.924999990E-3,-5.788749829E-2,5.087499972E-3
1.944603005E0,-1.044999994E-2,-6.957499683E-2,1.471249945E-2
1.954687927E0,-2.117500082E-2,-7.383749634E-2,2.007500082E-2
1.964772846E0,-2.639999986E-2,-6.215000153E-2,1.897500083E-2
1.974857526E0,-2.969999984E-2,-4.193750024E-2,1.361249946E-2
1.984942437E0,-3.066249937E-2,-3.024999984E-2,3.024999984E-3
1.995027360E0,-2.969999984E-2,-2.488750033E-2,-3.437499981E-3
2.005112269E0,-2.749999985E-2,-1.856249943E-2,-5.499999970E-3
2.015197187E0,-2.433750033E-2,-1.539999992E-2,-5.499999970E-3
2.025282110E0,-1.897500083E-2,-1.209999993E-2,-2.337499987E-3
2.035366973E0,-8.387500420E-3,-4.674999975E-3,4.124999978E-3
2.045451665E0,-9.624999948E-4,9.074999951E-3,1.044999994E-2
2.055536808E0,2.199999988E-3,1.979999989E-2,1.264999993E-2
2.065621502E0,6.462499965E-3,3.464999795E-2,1.264999993E-2
2.075706428E0,2.199999988E-3,5.706249923E-2,1.471249945E-2
2.085791276E0,-6.187499966E-3,7.301250100E-2,1.897500083E-2
2.095876198E0,-1.044999994E-2,7.411249727E-2,2.323750034E-2
2.105961121E0,-8.387500420E-3,7.301250100E-2,2.213750035E-2
2.116046034E0,-1.924999990E-3,8.896250278E-2,1.787500083E-2
2.126130946E0,2.199999988E-3,1.197625026E-1,1.264999993E-2
2.136215860E0,3.299999982E-3,1.570249945E-1,9.349999949E-3
2.146300554E0,2.199999988E-3,1.740749925E-1,8.387500420E-3
2.156385489E0,3.299999982E-3,1.687124968E-1,3.024999984E-3
2.166470417E0,8.662499487E-3,1.495999992E-1,-3.437499981E-3
2.176555271E0,1.498750038E-2,1.219625026E-1,-8.662499487E-3
2.186640187E0,2.034999989E-2,8.676250279E-2,-3.437499981E-3
2.196725115E0,2.461249940E-2,6.022499874E-2,8.249999955E-4
2.206809818E0,3.093750030E-2,5.059999973E-2,-3.437499981E-3
2.216894754E0,4.056249931E-2,5.169999972E-2,-1.292499993E-2
2.226979677E0,5.018749833E-2,5.279999971E-2,-2.364999987E-2
2.237064525E0,5.128749833E-2,4.111250117E-2,-2.997500077E-2
2.247149446E0,4.056249931E-2,1.663750038E-2,-2.997500077E-2
2.257234370E0,2.777500078E-2,-1.003750041E-2,-2.144999988E-2
2.267319297E0,7.562499959E-3,-3.341250122E-2,-1.182499994E-2
2.277404220E0,-1.264999993E-2,-5.252499878E-2,-1.237499993E-3
2.287488909E0,-2.859999985E-2,-6.435000151E-2,8.387500420E-3
2.297573854E0,-3.066249937E-2,-6.751249731E-2,1.471249945E-2
2.307658793E0,-2.323750034E-2,-6.531249732E-2,1.361249946E-2
2.317743637E0,-9.487500414E-3,-6.435000151E-2,5.087499972E-3
2.327828544E0,2.199999988E-3,-6.008749828E-2,-5.499999970E-3
2.337913471E0,1.292499993E-2,-5.582499877E-2,-1.828750037E-2
2.347998394E0,1.828750037E-2,-5.252499878E-2,-2.461249940E-2
2.358083083E0,1.924999990E-2,-5.046249926E-2,-2.364999987E-2
2.368168014E0,1.718750037E-2,-4.936249927E-2,-1.828750037E-2
2.378252933E0,1.402499992E-2,-5.156249925E-2,-9.762499481E-3
2.388337791E0,8.662499487E-3,-5.362499878E-2,8.249999955E-4
2.398422688E0,3.299999982E-3,-4.826249927E-2,9.349999949E-3
2.408507611E0,-1.924999990E-3,-4.083750024E-2,1.897500083E-2
2.418592305E0,-1.924999990E-3,-3.561250120E-2,2.213750035E-2
2.428677197E0,1.374999993E-4,-3.341250122E-2,2.213750035E-2
2.438762134E0,1.072499994E-2,-3.341250122E-2,2.007500082E-2
2.448846983E0,2.667500079E-2,-3.024999984E-2,1.361249946E-2
2.458931996E0,3.629999980E-2,-2.282499894E-2,5.087499972E-3
2.469016839E0,3.946249932E-2,-2.062499896E-2,1.924999990E-3
2.479101745E0,4.056249931E-2,-1.539999992E-2,-2.337499987E-3
2.489186449E0,3.313750029E-2,-4.674999975E-3,-9.762499481E-3
2.499271283E0,2.254999988E-2,7.012499962E-3,-2.144999988E-2
2.509356207E0,1.924999990E-2,1.017499994E-2,-2.791249938E-2
2.519441149E0,2.254999988E-2,8.112499490E-3,-3.217500076E-2
2.529526058E0,2.461249940E-2,8.112499490E-3,-3.217500076E-2
2.539610752E0,2.571249940E-2,1.759999990E-2,-2.997500077E-2
2.549695673E0,2.667500079E-2,2.942499891E-2,-2.887500077E-2
2.559780577E0,2.777500078E-2,3.464999795E-2,-2.887500077E-2
2.569865425E0,2.997500077E-2,3.038750030E-2,-2.254999988E-2
2.579950356E0,3.313750029E-2,2.089999989E-2,-1.608750038E-2
2.590035294E0,3.629999980E-2,5.912499968E-3,-3.437499981E-3
2.600119973E0,4.592499882E-2,-5.774999969E-3,7.287499961E-3
2.610204889E0,5.444999784E-2,-6.874999963E-3,7.287499961E-3
2.620289737E0,5.967500061E-2,-4.124999978E-4,8.387500420E-3
2.630374673E0,5.128749833E-2,-5.774999969E-3,1.361249946E-2
2.640459586E0,3.629999980E-2,-1.113750041E-2,2.103750035E-2
2.650544481E0,1.608750038E-2,-1.429999992E-2,2.529999986E-2
2.660629195E0,-1.154999994E-2,-1.319999993E-2,2.859999985E-2
2.670714120E0,-3.286249936E-2,-6.874999963E-3,2.639999986E-2
2.680799013E0,-4.028749838E-2,-1.512499992E-3,2.213750035E-2
2.690883861E0,-4.455000162E-2,-3.574999981E-3,2.007500082E-2
2.700968579E0,-4.564999789E-2,-3.574999981E-3,1.471249945E-2
2.711053495E0,-3.286249936E-2,4.949999973E-3,4.124999978E-3
2.721138427E0,-1.581249945E-2,1.443750039E-2,-3.437499981E-3
2.731223369E0,-3.024999984E-3,1.979999989E-2,-7.562499959E-3
2.741308217E0,7.562499959E-3,2.186249942E-2,-1.086249948E-2
2.751392924E0,8.662499487E-3,2.296249941E-2,-1.182499994E-2
2.761477860E0,5.499999970E-3,2.186249942E-2,-4.399999976E-3
2.771562759E0,5.499999970E-3,2.089999989E-2,6.187499966E-3
2.781647592E0,1.402499992E-2,2.516249940E-2,1.044999994E-2
2.791732518E0,3.203750029E-2,4.317500070E-2,6.187499966E-3
2.801817446E0,4.482499883E-2,6.338749826E-2,8.249999955E-4
2.811902369E0,4.592499882E-2,7.191249728E-2,-3.437499981E-3
2.821987292E0,4.372499883E-2,8.043749630E-2,-8.662499487E-3
2.832071910E0,3.629999980E-2,9.638749808E-2,-1.086249948E-2
2.842156816E0,2.887500077E-2,1.091749966E-1,-8.662499487E-3
2.852241739E0,2.667500079E-2,1.134374961E-1,-6.599999964E-3
2.862326658E0,2.667500079E-2,1.176999956E-1,-1.374999993E-4
2.872411381E0,2.667500079E-2,1.262249947E-1,3.024999984E-3
2.882496302E0,2.777500078E-2,1.442375034E-1,1.924999990E-3
2.892581137E0,2.667500079E-2,1.592250019E-1,-1.237499993E-3
2.902666044E0,1.718750037E-2,1.720124930E-1,-1.374999993E-4
2.912750738E0,6.462499965E-3,1.825999916E-1,1.924999990E-3
2.922835659E0,1.374999993E-4,1.911250055E-1,5.087499972E-3
2.932920572E0,-5.224999972E-3,2.059749961E-1,7.287499961E-3
2.943005406E0,-9.487500414E-3,2.230249941E-1,7.287499961E-3
2.953090099E0,-1.471249945E-2,2.389750034E-1,7.287499961E-3
2.963175048E0,-2.117500082E-2,2.539624870E-1,6.187499966E-3
2.973259976E0,-2.117500082E-2,2.582249939E-1,-1.374999993E-4
2.983344824E0,-1.374999993E-2,2.699125111E-1,-9.762499481E-3
2.993429760E0,-9.624999948E-4,2.847625017E-1,-1.718750037E-2
3.003514668E0,1.828750037E-2,2.847625017E-1,-2.144999988E-2
3.013599358E0,3.739999980E-2,2.793999910E-1,-2.034999989E-2
3.023684279E0,5.018749833E-2,2.666125000E-1,-1.512499992E-2
3.033769212E0,5.335000157E-2,2.443374991E-1,-5.499999970E-3
3.043854055E0,4.908749834E-2,2.176624984E-1,3.024999984E-3
3.053938967E0,4.276249930E-2,1.889249980E-1,9.349999949E-3
3.064023646E0,3.093750030E-2,1.570249945E-1,1.264999993E-2
3.074108562E0,2.034999989E-2,1.208624989E-1,1.264999993E-2
3.084193486E0,7.562499959E-3,8.579999954E-2,1.044999994E-2
3.094278320E0,-8.387500420E-3,5.389999971E-2,1.044999994E-2
3.104363012E0,-2.433750033E-2,2.296249941E-2,9.349999949E-3
3.114447923E0,-3.822499886E-2,2.749999985E-3,8.387500420E-3
3.124532776E0,-4.675000161E-2,-3.574999981E-3,9.349999949E-3
3.134617697E0,-4.881250113E-2,2.749999985E-3,9.349999949E-3
3.144702601E0,-5.087500066E-2,5.912499968E-3,1.044999994E-2
3.154787291E0,-4.881250113E-2,8.112499490E-3,1.264999993E-2
3.164872120E0,-4.344999790E-2,7.012499962E-3,1.264999993E-2
3.174957048E0,-4.455000162E-2,1.649999991E-3,7.287499961E-3
3.185041985E0,-4.138749838E-2,-3.574999981E-3,5.087499972E-3
3.195126680E0,-3.176249936E-2,-8.937500417E-3,5.087499972E-3
3.205211606E0,-1.581249945E-2,-1.539999992E-2,6.187499966E-3
3.215296463E0,7.562499959E-3,-1.429999992E-2,7.287499961E-3
3.225381413E0,2.887500077E-2,-8.937500417E-3,8.387500420E-3
3.235466112E0,4.798749834E-2,-1.003750041E-2,9.349999949E-3
3.245551048E0,5.651250109E-2,-1.429999992E-2,1.044999994E-2
3.255635901E0,5.651250109E-2,-1.746249944E-2,1.154999994E-2
3.265720832E0,4.908749834E-2,-2.378750034E-2,1.691249944E-2
3.275805521E0,3.739999980E-2,-3.231250122E-2,2.213750035E-2
3.285890442E0,3.093750030E-2,-4.399999976E-2,2.529999986E-2
3.295975285E0,2.571249940E-2,-5.252499878E-2,2.529999986E-2
3.306060206E0,1.924999990E-2,-5.582499877E-2,2.433750033E-2
3.316144921E0,1.182499994E-2,-4.936249927E-2,2.007500082E-2
3.326229856E0,1.374999993E-4,-3.877500072E-2,1.154999994E-2
3.336314803E0,-1.044999994E-2,-2.598750032E-2,4.124999978E-3
3.346399651E0,-1.897500083E-2,-1.539999992E-2,-4.399999976E-3
3.356484353E0,-2.433750033E-2,-1.113750041E-2,-1.182499994E-2
3.366569188E0,-2.117500082E-2,2.749999985E-3,-1.828750037E-2
3.376654111E0,-1.154999994E-2,2.186249942E-2,-2.364999987E-2
3.386739024E0,9.762499481E-3,3.781250119E-2,-2.681249939E-2
3.396823709E0,3.313750029E-2,4.963750020E-2,-2.791249938E-2
3.406908562E0,5.224999785E-2,6.338749826E-2,-2.997500077E-2
3.416993485E0,6.077500060E-2,7.191249728E-2,-3.217500076E-2
3.427078394E0,6.393750012E-2,6.764999777E-2,-2.681249939E-2
