"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.652379190E-1,1.146899462E-1,-8.693376184E-1,-4.046982229E-1
7.752379190E-1,-3.019201458E-1,-1.089859962E0,-2.843577862E-1
7.852381520E-1,-6.831000447E-1,-1.355586290E0,-1.939497143E-1
7.952381520E-1,-9.225592613E-1,-1.747761846E0,-1.285871267E-1
8.052381520E-1,-1.143692493E0,-2.125887394E0,-2.229658142E-2
8.152381520E-1,-1.356273532E0,-2.144824266E0,-8.521570265E-2
8.252381520E-1,-1.467450976E0,-2.150321960E0,-2.031126916E-1
8.352379180E-1,-1.507768154E0,-1.903532505E0,-1.896736622E-1
8.452379180E-1,-1.497994304E0,-1.659797192E0,-8.949175477E-2
8.552379180E-1,-1.361160517E0,-1.442329168E0,-4.673119262E-2
8.652379180E-1,-1.392314553E0,-1.100855589E0,-1.157589629E-1
8.752379180E-1,-1.386816859E0,-9.279806614E-1,-1.304197311E-1
8.852379180E-1,-1.493107319E0,-6.842454076E-1,-2.831360400E-1
8.952379180E-1,-1.468061924E0,-7.325037718E-1,-3.552181423E-1
9.052379180E-1,-1.427133918E0,-9.646325707E-1,-3.778201640E-1
9.152379180E-1,-1.384373307E0,-1.030606031E0,-4.114177525E-1
9.252379180E-1,-1.212109327E0,-1.281060815E0,-4.352414906E-1
9.352379180E-1,-1.081995010E0,-1.378188372E0,-3.295617998E-1
9.452379180E-1,-9.763153791E-1,-1.355586290E0,-2.257147133E-1
9.552379180E-1,-8.895725012E-1,-1.350088596E0,-1.010981947E-1
9.652379180E-1,-6.879869699E-1,-1.364138484E0,-4.001167417E-2
9.752379180E-1,-4.637994468E-1,-1.186987519E0,4.428773001E-2
9.852379180E-1,-2.243402600E-1,-1.011058331E0,1.420261711E-1
9.952379180E-1,4.749477282E-2,-9.401979446E-1,1.976149082E-1
1.005237918E0,2.826778889E-1,-8.595637679E-1,2.397646159E-1
1.015237918E0,5.459607840E-1,-8.296313882E-1,2.868012190E-1
