"Time (s)","Pressure (hPa)"
1.701590138E1,1.017788086E3
1.711590138E1,1.017778809E3
1.721590138E1,1.017759521E3
1.731590138E1,1.017754639E3
1.741590138E1,1.017768555E3
1.751590138E1,1.017761475E3
1.761590138E1,1.017749756E3
1.771590138E1,1.017749756E3
1.781590138E1,1.017744385E3
1.791590134E1,1.017767090E3
1.801590134E1,1.017767090E3
1.811590134E1,1.017764648E3
1.821590135E1,1.017778564E3
1.831590134E1,1.017778564E3
1.841590134E1,1.017810059E3
1.851590134E1,1.017806885E3
1.861590134E1,1.017806885E3
1.871590135E1,1.017787598E3
1.881590134E1,1.017788574E3
1.891590134E1,1.017788574E3
1.901590134E1,1.017756348E3
1.911590134E1,1.017770752E3
1.921590135E1,1.017770752E3
1.931590134E1,1.017761230E3
1.941590134E1,1.017788574E3
1.951590134E1,1.017788574E3
1.961590134E1,1.017798096E3
1.971590135E1,1.017781982E3
1.981590134E1,1.017793213E3
1.991590134E1,1.017794189E3
2.001590161E1,1.017781982E3
2.011590161E1,1.017782227E3
2.021590161E1,1.017782471E3
2.031590161E1,1.017784668E3
2.041590161E1,1.017788574E3
2.051590161E1,1.017779785E3
2.061590161E1,1.017775879E3
2.071590161E1,1.017784424E3
2.081590161E1,1.017769775E3
2.091590188E1,1.017774170E3
2.101590188E1,1.017773682E3
2.111590188E1,1.017787842E3
2.121590278E1,1.017796387E3
2.131590278E1,1.017802490E3
2.141590278E1,1.017783447E3
2.151590304E1,1.017763672E3
2.161590304E1,1.017754639E3
2.171590304E1,1.017767090E3
2.181590304E1,1.017762939E3
2.191590304E1,1.017776611E3
2.201590304E1,1.017779785E3
2.211590304E1,1.017801758E3
2.221590304E1,1.017804199E3
2.231590304E1,1.017812744E3
2.241590304E1,1.017787598E3
2.251590304E1,1.017756592E3
2.261590304E1,1.017748291E3
2.271590304E1,1.017755615E3
2.281590304E1,1.017755615E3
2.291590304E1,1.017751953E3
2.301590278E1,1.017779541E3
2.311590278E1,1.017779541E3
2.321590278E1,1.017752686E3
2.331590278E1,1.017778564E3
2.341590278E1,1.017778564E3
2.351590278E1,1.017781006E3
2.361590278E1,1.017793701E3
2.371590278E1,1.017793701E3
2.381590278E1,1.017786865E3
2.391590251E1,1.017789551E3
2.401590251E1,1.017789551E3
2.411590251E1,1.017798340E3
2.421590161E1,1.017781250E3
2.431590161E1,1.017781250E3
2.441590161E1,1.017783447E3
2.451590134E1,1.017788818E3
2.461590134E1,1.017788818E3
2.471590134E1,1.017782471E3
2.481590134E1,1.017749756E3
2.491590134E1,1.017740234E3
2.501590134E1,1.017759033E3
2.511590134E1,1.017752930E3
2.521590134E1,1.017765869E3
2.531590134E1,1.017754150E3
2.541590134E1,1.017740967E3
2.551590134E1,1.017757324E3
2.561590134E1,1.017747803E3
2.571590134E1,1.017754150E3
2.581590134E1,1.017751953E3
2.591590134E1,1.017757568E3
2.601590134E1,1.017769775E3
2.611590134E1,1.017756348E3
2.621590134E1,1.017739014E3
2.631590134E1,1.017716797E3
2.641590134E1,1.017759521E3
2.651590134E1,1.017754150E3
2.661590134E1,1.017757812E3
2.671590134E1,1.017762207E3
2.681590134E1,1.017753906E3
2.691590134E1,1.017755371E3
2.701590134E1,1.017741943E3
2.711590134E1,1.017767090E3
2.721590134E1,1.017762695E3
2.731590134E1,1.017755371E3
2.741590134E1,1.017763184E3
2.751590134E1,1.017774170E3
2.761590134E1,1.017768066E3
2.771590134E1,1.017753906E3
2.781590134E1,1.017766846E3
2.791590134E1,1.017766846E3
2.801590134E1,1.017760498E3
2.811590134E1,1.017740967E3
2.821590134E1,1.017740967E3
2.831590134E1,1.017713135E3
2.841590134E1,1.017721191E3
2.851590134E1,1.017721191E3
2.861590134E1,1.017733154E3
2.871590134E1,1.017739502E3
2.881590134E1,1.017739502E3
2.891590134E1,1.017742188E3
2.901590134E1,1.017770020E3
2.911590134E1,1.017770020E3
2.921590134E1,1.017730225E3
2.931590134E1,1.017722900E3
2.941590134E1,1.017722900E3
2.951590134E1,1.017731689E3
2.961590134E1,1.017747559E3
2.971590134E1,1.017747559E3
2.981590134E1,1.017732910E3
2.991590134E1,1.017730469E3
3.001590134E1,1.017729736E3
3.011590134E1,1.017700439E3
3.021590134E1,1.017705322E3
3.031590134E1,1.017704834E3
3.041590134E1,1.017722656E3
3.051590134E1,1.017750488E3
3.061590134E1,1.017770264E3
3.071590134E1,1.017751221E3
3.081590134E1,1.017750244E3
3.091590134E1,1.017774170E3
3.101590134E1,1.017779053E3
3.111590134E1,1.017756348E3
3.121590134E1,1.017739746E3
3.131590134E1,1.017702881E3
3.141590161E1,1.017719238E3
3.151590161E1,1.017725830E3
3.161590161E1,1.017722168E3
3.171590161E1,1.017739014E3
3.181590161E1,1.017766357E3
3.191590161E1,1.017756836E3
3.201590161E1,1.017746094E3
3.211590161E1,1.017748047E3
3.221590161E1,1.017745605E3
3.231590161E1,1.017734863E3
3.241590161E1,1.017736084E3
3.251590161E1,1.017728516E3
3.261590161E1,1.017733154E3
3.271590161E1,1.017732422E3
3.281590161E1,1.017763672E3
3.291590161E1,1.017743408E3
3.301590161E1,1.017750732E3
3.311590161E1,1.017751221E3
3.321590161E1,1.017768799E3
3.331590161E1,1.017768799E3
3.341590161E1,1.017783447E3
3.351590161E1,1.017785400E3
3.361590161E1,1.017785400E3
3.371590161E1,1.017774658E3
3.381590161E1,1.017793701E3
3.391590161E1,1.017793701E3
3.401590161E1,1.017758545E3
3.411590161E1,1.017754883E3
3.421590161E1,1.017754883E3
3.431590161E1,1.017773438E3
3.441590134E1,1.017778320E3
3.451590134E1,1.017778320E3
3.461590134E1,1.017781982E3
3.471590161E1,1.017761963E3
3.481590161E1,1.017761963E3
3.491590161E1,1.017770020E3
3.501590161E1,1.017767090E3
3.511590161E1,1.017765625E3
3.521590161E1,1.017766846E3
3.531590161E1,1.017786865E3
3.541590161E1,1.017773438E3
3.551590161E1,1.017755859E3
3.561590161E1,1.017760010E3
