"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.624126250E-1,2.567589879E-1,1.580601782E-1,8.352593780E-1
8.723876250E-1,-2.255951464E-1,1.525000334E-1,5.828425884E-1
8.823626250E-1,-3.263424933E-1,4.865233600E-1,3.769095242E-1
8.923376250E-1,-1.538088173E-1,7.375904322E-1,3.734615445E-1
9.023136250E-1,4.846811667E-2,5.380083323E-1,3.613353670E-1
9.122886250E-1,3.838926256E-1,3.493590355E-1,-7.622382045E-2
9.222636250E-1,9.643993974E-1,5.575100780E-1,-6.707302332E-1
9.322386250E-1,1.702136040E0,1.300649285E0,-1.214691281E0
9.422136250E-1,2.243211269E0,1.719422579E0,-1.682504892E0
9.521896250E-1,2.098482609E0,1.570437551E0,-1.387248158E0
9.621646250E-1,1.244750261E0,1.802882671E0,-1.767556369E-1
9.721396250E-1,1.876740158E-1,1.234302044E0,1.127259016E0
9.821146250E-1,-1.951657236E-1,3.011224568E-1,1.581983566E0
9.920896250E-1,-1.948275119E-1,2.366656959E-1,1.812278032E0
1.002064625E0,-2.446056157E-1,8.554594517E-1,1.949170947E0
1.012040625E0,-3.546799421E-1,1.497648001E0,2.090326786E0
1.022015625E0,-3.669975102E-1,1.777533889E0,2.187138319E0
1.031990625E0,-9.026074409E-2,1.730650544E0,2.245180845E0
1.041965625E0,-1.745911241E-1,2.094298124E0,2.402106047E0
1.051940625E0,-9.409199953E-1,2.400367975E0,2.678460360E0
1.061916625E0,-1.267091990E0,1.554199934E0,2.727361679E0
1.071891625E0,-9.153432846E-1,3.867366910E-1,2.034559965E0
1.081866625E0,-3.692080081E-1,-2.856674194E-1,5.053149462E-1
1.091841625E0,-9.889076650E-2,-1.086164713E-1,-6.330534816E-1
1.101816625E0,-1.620082110E-1,4.603923857E-1,-5.426769853E-1
1.111792625E0,-8.812088519E-2,5.690945983E-1,-4.764104187E-1
1.121767625E0,1.072186977E-2,3.633436561E-1,-4.200341702E-1
1.131742625E0,5.134557374E-3,1.528902501E-1,-3.371957242E-1
1.141717625E0,-2.222187258E-2,-2.280463651E-2,-2.518243492E-1
1.151692625E0,-3.042920306E-2,-9.772628546E-2,-1.217693985E-1
1.161668625E0,-1.014663489E-3,-1.531420499E-1,3.203800647E-3
1.171643625E0,1.643724293E-1,-2.062635869E-1,3.978924453E-2
1.181618625E0,2.601753175E-1,-6.374874711E-2,1.815982349E-2
1.191593625E0,1.803539693E-1,-1.168988296E-3,1.688972348E-3
1.201568625E0,8.399269730E-2,1.949403062E-2,-1.170349028E-2
1.211544625E0,3.876821138E-3,7.589418441E-2,-2.270580642E-2
1.221519625E0,-4.110847786E-2,1.486198455E-1,-2.229954116E-2
1.231494625E0,-5.209082365E-2,2.084312439E-1,-1.839428209E-2
1.241469625E0,-5.454214290E-2,2.346679270E-1,-1.582323387E-2
1.251444625E0,-6.280966103E-2,2.157120854E-1,-2.620450221E-2
1.261419875E0,-7.172030210E-2,1.563086361E-1,-4.205090925E-2
1.271395875E0,-7.786528021E-2,7.533389330E-2,-5.504580215E-2
1.281370875E0,-6.989478320E-2,4.144230857E-3,-6.533348560E-2
1.291345875E0,-4.706989229E-2,-2.730663680E-2,-7.433363795E-2
1.301320875E0,-2.396929450E-2,-1.694437303E-2,-7.647839189E-2
1.311295875E0,-1.501974091E-2,1.211763825E-2,-7.749119401E-2
1.321271875E0,-1.927280053E-2,4.500038549E-2,-7.982458174E-2
1.331246875E0,-2.888361551E-2,7.169777900E-2,-7.549881190E-2
1.341221875E0,-4.275831580E-2,9.880179912E-2,-7.163333148E-2
1.351196875E0,-5.443228409E-2,1.171871945E-1,-6.997684389E-2
1.361171875E0,-6.049877033E-2,1.242792830E-1,-6.448902935E-2
1.371147875E0,-5.720444024E-2,1.162184328E-1,-6.078776717E-2
1.381122875E0,-5.728016049E-2,9.970249981E-2,-5.314338580E-2
1.391097875E0,-5.087206140E-2,8.151497692E-2,-4.851161316E-2
1.401072875E0,-3.685210645E-2,6.387915462E-2,-4.520336539E-2
1.411047875E0,-1.992611960E-2,5.235885084E-2,-4.557834193E-2
1.421023875E0,-8.211139590E-3,4.176719114E-2,-4.455142468E-2
1.430998875E0,3.170677461E-3,2.789851464E-2,-4.589099437E-2
1.440973875E0,7.499544881E-3,1.473544445E-2,-4.668577015E-2
1.450948875E0,5.476607941E-3,1.432345342E-2,-4.376028851E-2
1.460923875E0,-3.214864526E-3,2.882852592E-2,-3.740151972E-2
1.470899875E0,-1.221768092E-2,3.353699297E-2,-3.328027576E-2
1.480874875E0,-2.073649131E-2,1.095953304E-2,-2.589996718E-2
1.490849875E0,-3.089805134E-2,-7.271668874E-3,-3.112136200E-2
1.500824875E0,-3.386089951E-2,-1.895049773E-2,-3.374479711E-2
1.510799875E0,-3.479167446E-2,-1.642076112E-2,-3.898722678E-2
1.520775875E0,-3.445312008E-2,-6.715490948E-3,-4.346239194E-2
1.530750875E0,-3.746249527E-2,3.152543504E-4,-4.361179844E-2
1.540725875E0,-3.782347962E-2,5.815396085E-3,-4.387360811E-2
1.550700875E0,-3.584341705E-2,2.227239870E-2,-4.472501948E-2
1.560675875E0,-3.725816309E-2,3.636860102E-2,-4.429454356E-2
1.570650875E0,-3.295928985E-2,4.640472308E-2,-4.475606978E-2
1.580626875E0,-2.152139880E-2,4.681989178E-2,-3.307494521E-2
1.590601875E0,-1.383684855E-2,8.007611334E-2,-3.204776347E-2
1.600576875E0,-1.442035474E-2,1.079890728E-1,-2.466394939E-2
1.610551875E0,-9.626931511E-3,1.302357912E-1,-1.938982494E-2
1.620526875E0,-6.236194633E-3,1.455788016E-1,-2.401067689E-2
1.630502875E0,-7.240472361E-3,1.451572180E-1,-3.409260511E-2
1.640477875E0,-1.260068081E-2,1.345635206E-1,-4.887662083E-2
1.650452875E0,-2.578466013E-2,1.216650307E-1,-6.145419925E-2
1.660427875E0,-3.832233697E-2,1.135741323E-1,-6.616555154E-2
1.670402875E0,-4.112664238E-2,1.122777089E-1,-6.217507273E-2
1.680378875E0,-3.252798691E-2,1.006832272E-1,-5.197945982E-2
1.690353875E0,-2.244153060E-2,1.239611134E-1,-4.813864827E-2
1.700328875E0,-1.259988267E-2,1.430397332E-1,-3.825068474E-2
1.710303875E0,-6.072209217E-3,1.524739712E-1,-2.978796139E-2
1.720278875E0,1.155463513E-3,1.548905522E-1,-2.292815782E-2
1.730254875E0,1.954145497E-3,1.509733051E-1,-2.375027537E-2
1.740229875E0,2.451872453E-3,1.507311612E-1,-2.857046388E-2
1.750204875E0,-2.774314955E-3,1.531351954E-1,-3.346455470E-2
1.760179875E0,-8.947558701E-3,1.653125584E-1,-3.674591333E-2
1.770154875E0,-1.028633025E-2,1.729481071E-1,-3.635256365E-2
1.780130875E0,-1.051586680E-2,1.760848314E-1,-3.371655568E-2
1.790105875E0,-1.040960662E-2,1.824013144E-1,-3.188776597E-2
1.800080875E0,-8.321724832E-3,1.905495673E-1,-2.842546441E-2
1.810055875E0,-6.727557164E-3,1.947147548E-1,-2.378064580E-2
1.820030875E0,-4.788620397E-3,1.954938769E-1,-1.873578690E-2
1.830006875E0,3.307389561E-3,1.912312210E-1,-1.320679672E-2
1.839981875E0,1.180072501E-2,1.704204082E-1,-6.822002586E-3
1.849956875E0,1.639361307E-2,1.710617095E-1,-6.355416961E-3
1.859931875E0,1.687444188E-2,1.583692580E-1,-4.618403502E-3
1.869906875E0,1.910057850E-2,1.339624524E-1,-7.770521101E-3
1.879881875E0,2.123453096E-2,1.275205910E-1,-9.855320677E-3
1.889857875E0,1.913596131E-2,1.330900490E-1,-1.150275208E-2
1.899832875E0,2.132643946E-2,1.389855444E-1,-1.205667946E-2
1.909807875E0,2.440398932E-2,1.459939331E-1,-9.741860442E-3
1.919782875E0,3.169446439E-2,1.635138690E-1,-4.630908370E-3
1.929757875E0,4.884921387E-2,1.751825064E-1,-6.934247212E-4
1.939733875E0,5.942738429E-2,1.740445048E-1,3.249141155E-3
1.949708875E0,6.986591220E-2,1.573930979E-1,1.796386787E-3
1.959683875E0,7.334007323E-2,1.434854418E-1,-4.940457176E-3
1.969658875E0,6.850323826E-2,1.353755742E-1,-1.233738661E-2
1.979633875E0,5.908370018E-2,1.304684430E-1,-2.312031388E-2
1.989609875E0,4.520729929E-2,1.325156242E-1,-3.375058994E-2
1.999584875E0,2.981649525E-2,1.352752745E-1,-3.491395712E-2
2.009559875E0,1.794545539E-2,1.446847469E-1,-3.215465695E-2
2.019534875E0,9.002834558E-3,1.546528488E-1,-3.375221789E-2
2.029509875E0,1.249307534E-3,1.594910175E-1,-3.556609899E-2
2.039485875E0,-8.721539751E-3,1.635374874E-1,-3.573866189E-2
2.049460875E0,-1.305583399E-2,1.585187614E-1,-3.678874299E-2
2.059435875E0,-1.097065303E-2,1.477375776E-1,-3.657531738E-2
2.069410875E0,-1.380798500E-2,1.371411234E-1,-4.163079336E-2
2.079385875E0,-1.454188768E-2,1.295900196E-1,-4.367734492E-2
2.089361875E0,-1.666815393E-2,1.172023118E-1,-4.666940868E-2
2.099336875E0,-1.958060637E-2,9.743867069E-2,-3.965903446E-2
2.109311875E0,-4.655230045E-2,1.037833914E-1,-5.016600341E-2
2.119286875E0,-5.862841383E-2,1.127222925E-1,-5.131663382E-2
2.129261875E0,-5.518947542E-2,1.437318772E-1,-4.934988916E-2
2.139237875E0,-4.534184933E-2,1.641711146E-1,-4.456796870E-2
2.149212875E0,-4.456500709E-2,1.664363891E-1,-4.514667392E-2
2.159187875E0,-4.293099418E-2,1.641486138E-1,-4.184311256E-2
2.169162875E0,-4.343459755E-2,1.727042794E-1,-4.353075847E-2
2.179137875E0,-4.561036825E-2,1.852603406E-1,-4.922964796E-2
2.189112875E0,-5.257586762E-2,1.886558831E-1,-5.929133669E-2
2.199088875E0,-5.952958390E-2,1.812492758E-1,-6.754819304E-2
2.209063875E0,-6.353284419E-2,1.708677411E-1,-7.791054994E-2
2.219038875E0,-5.316949636E-2,1.419995278E-1,-7.055124640E-2
2.229013875E0,-4.564207047E-2,1.675264537E-1,-7.261200249E-2
2.238988875E0,-4.002105445E-2,2.198477089E-1,-5.971381068E-2
2.248964875E0,-3.205181286E-2,2.594478428E-1,-4.256065935E-2
2.258939958E0,-1.892659813E-2,2.720261812E-1,-3.145445883E-2
2.268914958E0,-7.402834482E-3,2.641288340E-1,-2.488097548E-2
2.278889958E0,-1.337787951E-3,2.414454222E-1,-2.297529578E-2
2.288864958E0,-3.530635033E-3,2.099183798E-1,-2.491061389E-2
2.298840958E0,-8.807825856E-3,1.733352542E-1,-2.994921431E-2
2.308815958E0,-1.032715943E-2,1.367053390E-1,-3.602974489E-2
2.318790958E0,-7.105138153E-3,1.164836064E-1,-4.195331410E-2
2.328765958E0,-4.665683024E-3,1.080416590E-1,-4.425268620E-2
2.338740958E0,-3.168408060E-3,1.228327006E-1,-4.364853725E-2
2.348716958E0,-4.421300255E-4,1.510124058E-1,-3.962024301E-2
2.358691958E0,3.440531436E-4,1.708934903E-1,-3.642750904E-2
2.368666958E0,-1.481810235E-3,1.758147478E-1,-3.227297962E-2
2.378641958E0,1.719199936E-3,1.558237225E-1,-3.123609722E-2
2.388616958E0,6.830871571E-3,1.268490553E-1,-2.815775014E-2
2.398592958E0,1.268465538E-2,9.845590591E-2,-2.878382616E-2
2.408567958E0,1.158663351E-2,8.605729043E-2,-2.635582164E-2
2.418542958E0,1.233959198E-2,7.764735818E-2,-2.465144359E-2
2.428517958E0,1.453030854E-2,7.899571955E-2,-2.306952700E-2
2.438492958E0,1.475577801E-2,8.559144288E-2,-2.084134892E-2
2.448467958E0,1.752519794E-2,1.033235639E-1,-1.441354211E-2
2.458443958E0,1.857320592E-2,1.167267337E-1,-1.169877220E-2
2.468418958E0,1.931942441E-2,1.236743852E-1,-1.556514855E-2
2.478393958E0,1.758318208E-2,1.217175797E-1,-1.686567068E-2
2.488368958E0,1.515491121E-2,1.157076284E-1,-1.845025085E-2
2.498343958E0,1.349576376E-2,1.073190421E-1,-1.930238679E-2
2.508319958E0,1.006934047E-2,1.026909947E-1,-1.517528575E-2
2.518294958E0,1.114027854E-2,1.080252752E-1,-1.329095289E-2
2.528269958E0,1.036556531E-2,1.164507195E-1,-1.219293196E-2
2.538244958E0,9.774674661E-3,1.262698025E-1,-9.842338040E-3
2.548219958E0,1.377820503E-2,1.363807470E-1,-1.573489397E-3
2.558195958E0,2.487095818E-2,1.510328203E-1,6.246118341E-3
2.568170958E0,3.194697574E-2,1.573655456E-1,1.281347405E-2
2.578145958E0,3.493964300E-2,1.566738337E-1,1.531593502E-2
2.588120958E0,3.430874273E-2,1.516814679E-1,1.391378045E-2
2.598095958E0,3.517146036E-2,1.430588663E-1,7.662231568E-3
2.608071958E0,3.353468329E-2,1.300218999E-1,1.799548976E-3
2.618046958E0,3.110817261E-2,1.258182377E-1,2.333690645E-3
2.628021958E0,3.201258555E-2,1.236695945E-1,1.988545060E-3
2.637996958E0,3.051841073E-2,1.249843240E-1,4.247271456E-3
2.647971958E0,2.603497915E-2,1.240479499E-1,8.777042851E-3
2.657946958E0,1.360765193E-2,1.175669953E-1,1.121051703E-2
2.667922958E0,2.164826728E-2,1.083844155E-1,1.667532325E-2
2.677897958E0,3.383013606E-2,1.110027954E-1,1.944135875E-2
2.687872958E0,2.894216962E-2,1.094214097E-1,2.110077441E-2
2.697847958E0,2.120829560E-2,1.091066077E-1,2.014289238E-2
2.707822958E0,1.988603547E-2,1.062189415E-1,2.079962753E-2
2.717798958E0,2.460547909E-2,9.525711834E-2,1.879367791E-2
2.727773958E0,2.924204245E-2,8.437784016E-2,1.541013364E-2
2.737748958E0,3.161500022E-2,7.283576578E-2,1.409182418E-2
