"event","experiment time","system time","system time text"
"START",0.000000000E0,1781425986.576,"2026-06-14 10:33:06.576 UTC+02:00"
"PAUSE",1.800353637E2,1781426166.612,"2026-06-14 10:36:06.612 UTC+02:00"
