"Time (s)","X (hPa)"
-5.811955833E-1,1.018753586E3
4.199474166E-1,1.018750153E3
1.421052417E0,1.018746796E3
2.422191417E0,1.018732147E3
3.423353417E0,1.018714294E3
4.424519417E0,1.018669281E3
5.181803417E0,1.018612442E3
6.224651417E0,1.018592072E3
7.267527417E0,1.018543625E3
8.310394417E0,1.018497467E3
9.353283417E0,1.018469543E3
1.039618142E1,1.018468781E3
1.143902642E1,1.018468781E3
1.248191542E1,1.018479919E3
1.352480342E1,1.018479919E3
1.456770542E1,1.018449554E3
1.561056242E1,1.018350372E3
1.665344542E1,1.018216171E3
1.769634242E1,1.018061829E3
1.873922542E1,1.017899628E3
1.978211042E1,1.017778015E3
2.082502142E1,1.017764511E3
2.186791342E1,1.017778015E3
2.291079742E1,1.017807770E3
2.395366942E1,1.017934113E3
2.499658042E1,1.018007889E3
2.603949342E1,1.018007889E3
2.708245642E1,1.017994766E3
2.812536042E1,1.017728043E3
2.916831742E1,1.017265320E3
3.021130042E1,1.016736221E3
3.125423942E1,1.016154022E3
3.229717642E1,1.015691223E3
3.334011542E1,1.015563660E3
3.438297642E1,1.015563660E3
3.542581142E1,1.015861511E3
3.646861142E1,1.016247482E3
3.751142942E1,1.016577682E3
3.855424242E1,1.016880035E3
3.959706142E1,1.016976471E3
4.063989442E1,1.016976471E3
4.168270242E1,1.016949158E3
4.272547742E1,1.016905365E3
4.376826242E1,1.016868973E3
4.481105942E1,1.016836624E3
4.585382042E1,1.016809540E3
4.689661042E1,1.016790466E3
4.793943142E1,1.016783371E3
4.898225942E1,1.016774521E3
5.002506642E1,1.016767731E3
5.106788742E1,1.016764755E3
5.211070742E1,1.016764297E3
5.315353342E1,1.016762848E3
5.419634542E1,1.016762848E3
5.523917542E1,1.016763840E3
5.628202842E1,1.016764908E3
5.732486242E1,1.016768265E3
5.836771042E1,1.016773300E3
5.941058642E1,1.016779175E3
6.045343242E1,1.016786804E3
6.149632442E1,1.016795807E3
6.253919242E1,1.016803741E3
6.358203842E1,1.016809082E3
6.462487442E1,1.016813736E3
6.566776442E1,1.016817551E3
6.671071042E1,1.016820145E3
6.775361542E1,1.016820374E3
6.879653842E1,1.016820374E3
6.983944842E1,1.016819000E3
7.088236842E1,1.016818848E3
7.192526942E1,1.016818848E3
7.296814942E1,1.016820221E3
7.401103242E1,1.016820221E3
7.505392042E1,1.016816101E3
7.609680642E1,1.016811600E3
7.713968742E1,1.016804733E3
7.818258642E1,1.016795959E3
7.922547442E1,1.016790466E3
8.026837342E1,1.016789627E3
8.131125842E1,1.016788788E3
8.235416342E1,1.016787949E3
8.339707542E1,1.016787186E3
8.443999842E1,1.016786041E3
8.548291942E1,1.016785431E3
8.652584342E1,1.016784973E3
8.756877842E1,1.016784821E3
8.861171242E1,1.016784744E3
8.965465342E1,1.016784668E3
9.069757342E1,1.016784668E3
9.174052642E1,1.016784668E3
9.278345842E1,1.016785126E3
9.382634742E1,1.016785583E3
9.486925842E1,1.016786880E3
9.591217542E1,1.016787720E3
9.695507642E1,1.016788254E3
9.799797742E1,1.016788406E3
9.904086342E1,1.016788406E3
1.000837764E2,1.016788406E3
1.011266464E2,1.016794891E3
1.021695344E2,1.016802979E3
1.032124324E2,1.016812897E3
1.042553034E2,1.016852417E3
1.052982014E2,1.016900635E3
1.063411164E2,1.016941299E3
1.073840114E2,1.016979904E3
1.084269124E2,1.017018890E3
1.094698244E2,1.017022552E3
1.105127314E2,1.017022552E3
1.115556504E2,1.017010498E3
1.125985714E2,1.016997681E3
1.136414994E2,1.016976089E3
1.146843724E2,1.016950607E3
1.157272294E2,1.016921082E3
1.167700504E2,1.016895599E3
1.178128844E2,1.016866608E3
1.188557184E2,1.016839371E3
1.198985744E2,1.016808701E3
1.209414644E2,1.016779556E3
1.219843744E2,1.016753311E3
1.230272524E2,1.016729202E3
1.240701334E2,1.016707230E3
1.251129814E2,1.016690750E3
1.261558294E2,1.016673584E3
1.271986214E2,1.016652985E3
1.282414524E2,1.016638107E3
1.292843524E2,1.016625900E3
1.303272744E2,1.016624146E3
1.313702444E2,1.016624146E3
1.324132024E2,1.016632385E3
1.334561704E2,1.016639328E3
1.344991294E2,1.016642532E3
1.355421014E2,1.016650085E3
1.365850844E2,1.016655426E3
1.376280334E2,1.016655426E3
1.386709934E2,1.016655426E3
1.397139664E2,1.016662140E3
1.407569104E2,1.016676025E3
1.417997854E2,1.016692810E3
1.428427194E2,1.016710892E3
1.438856724E2,1.016736603E3
1.449286454E2,1.016759796E3
1.459716244E2,1.016774750E3
1.470146054E2,1.016786118E3
1.480575944E2,1.016798630E3
1.491005694E2,1.016803513E3
1.501435824E2,1.016803513E3
1.511865774E2,1.016800995E3
1.522294934E2,1.016795197E3
1.532723884E2,1.016790009E3
1.543153164E2,1.016789017E3
1.553582574E2,1.016786880E3
1.564011724E2,1.016786804E3
1.574440934E2,1.016786804E3
1.584870394E2,1.016790543E3
1.595299844E2,1.016795502E3
1.605729204E2,1.016801529E3
1.616158704E2,1.016808472E3
1.626588064E2,1.016817245E3
1.637017434E2,1.016824493E3
1.647446514E2,1.016832428E3
1.657875354E2,1.016839142E3
1.668304404E2,1.016844254E3
1.678733344E2,1.016846619E3
1.689162124E2,1.016847839E3
1.699590444E2,1.016847839E3
1.710018914E2,1.016846085E3
1.720447434E2,1.016845779E3
1.730875994E2,1.016845779E3
1.741304734E2,1.016845932E3
1.751733374E2,1.016847610E3
1.762162824E2,1.016847610E3
1.772591774E2,1.016840668E3
