"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.591291665E-3,-9.269881873E-1,3.617242554E-1,2.369934976E-2
1.356829167E-2,-7.444607726E-1,2.970588377E-1,-1.711936104E-1
2.354429167E-2,-5.128771554E-1,5.129305478E-2,-1.775699991E-1
3.352029168E-2,-3.511803003E-1,-2.380487373E-1,-1.760245800E-1
4.349629168E-2,-2.278038125E-1,-5.437647067E-1,-1.207251227E-1
5.347329169E-2,-3.144718824E-1,-4.550574751E-1,-7.816733301E-2
6.344929169E-2,-4.404479510E-1,-5.008326952E-1,4.619592726E-2
7.342529169E-2,-5.972483477E-1,-4.051622703E-1,1.859888202E-1
8.340229170E-2,-7.159562541E-1,-3.305986859E-1,2.314900982E-1
9.337829170E-2,-7.404234894E-1,-3.927094551E-1,2.970525885E-1
1.033542917E-1,-7.418211932E-1,-3.627704684E-1,3.442793798E-1
1.133302917E-1,-7.839791796E-1,-6.679237895E-2,1.559364706E-1
1.233072917E-1,-7.817199616E-1,7.956817970E-3,4.559892654E-2
1.332832917E-1,-7.765017602E-1,4.164979018E-2,-2.283337712E-2
1.432592917E-1,-7.829590597E-1,6.163224768E-2,-1.150784665E-1
1.532352917E-1,-7.770819502E-1,-2.043871573E-1,-2.038795459E-1
1.632122917E-1,-7.838024475E-1,-1.579209425E-1,-6.814345121E-2
1.731882917E-1,-8.962535407E-1,-2.031473649E-1,-2.966000140E-2
1.831642917E-1,-9.888216888E-1,-4.250803353E-1,9.517512918E-3
1.931412917E-1,-1.058001924E0,-8.968130462E-2,9.908106923E-3
2.031176667E-1,-1.227936191E0,2.207405039E-1,-2.387944400E-2
2.130936667E-1,-1.293706696E0,2.151907288E-1,7.120271444E-2
2.230696667E-1,-1.240409764E0,1.862645530E-1,1.914243919E-1
2.330466667E-1,-1.214413628E0,-1.444503464E-2,2.274210209E-1
2.430226667E-1,-1.232185362E0,-8.502297409E-2,2.250616693E-1
2.529986667E-1,-1.352619732E0,2.068960148E-1,3.942309737E-2
