"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.218836667E-1,-2.135964856E-2,5.811687559E-2,2.516545355E-2
7.318596667E-1,-1.844561659E-2,5.571496859E-2,3.385082260E-2
7.418356667E-1,-1.122102328E-2,5.138350278E-2,4.010033980E-2
7.518126667E-1,-3.750589676E-3,5.220695212E-2,3.929819539E-2
7.617886667E-1,-6.052580662E-3,4.643649980E-2,3.831936792E-2
7.717646667E-1,-1.108515635E-2,3.382457048E-2,4.065575823E-2
7.817416667E-1,-1.558643579E-2,3.029908240E-2,3.651657328E-2
7.917176667E-1,-1.945893839E-2,3.800386935E-2,2.943762578E-2
8.016936667E-1,-2.456891723E-2,4.781113565E-2,2.138089761E-2
8.116696667E-1,-1.921356656E-2,4.648621380E-2,1.524390839E-2
8.216466667E-1,-7.974621840E-3,4.509044811E-2,6.617412437E-3
8.316226667E-1,3.032222856E-3,3.339304402E-2,6.993450690E-3
8.415986667E-1,1.158490684E-2,1.330713928E-2,1.175287366E-2
8.515746667E-1,1.639910229E-2,1.880313619E-3,1.513588708E-2
8.615516667E-1,1.639248990E-2,4.957418423E-3,1.491552591E-2
8.715276667E-1,8.148143068E-3,1.831476949E-2,7.304744795E-3
8.815036667E-1,-6.218673661E-4,2.993928827E-2,-3.455341794E-3
8.914806667E-1,-5.892263260E-3,3.501926735E-2,-8.512950502E-3
9.014566667E-1,-2.995814197E-3,3.039229661E-2,-1.138926297E-2
9.114326667E-1,-1.496454817E-3,2.707719430E-2,-1.082440652E-2
9.214086667E-1,4.311145749E-3,2.846745215E-2,-5.302192178E-3
9.313856667E-1,1.231820602E-2,3.896536678E-2,6.747399457E-4
9.413616667E-1,1.629421487E-2,5.319179967E-2,2.121602884E-3
9.513376667E-1,1.380868722E-2,7.114310563E-2,2.970885020E-3
9.613136667E-1,7.872343063E-3,7.942155749E-2,5.014920607E-3
9.712906667E-1,7.463547867E-3,7.566836476E-2,4.860191606E-3
9.812666667E-1,4.183007404E-3,6.048840657E-2,5.978639703E-3
9.912426667E-1,2.778456546E-3,5.211915821E-2,8.650589734E-3
1.001218667E0,3.172785044E-3,4.929522797E-2,8.592864498E-3
1.011195667E0,2.022299450E-3,6.019048765E-2,1.178759243E-2
1.021171667E0,-7.619549520E-3,6.784921139E-2,1.099235844E-2
1.031147667E0,-1.518239360E-2,7.651460916E-2,8.503101766E-3
1.041124667E0,-2.123153396E-2,7.831800729E-2,3.054587636E-3
1.051100667E0,-2.243075520E-2,7.290433347E-2,-1.822193037E-3
1.061076667E0,-1.997341029E-2,6.279372424E-2,1.747657545E-3
1.071052667E0,-2.113161981E-2,5.289395899E-2,7.607144769E-3
1.081029667E0,-1.826100424E-2,4.813915491E-2,1.102654450E-2
1.091005667E0,-1.055567898E-2,4.955196008E-2,9.120520204E-3
1.100981667E0,-1.083298703E-3,4.490056634E-2,9.417445399E-3
1.110957667E0,-3.472008975E-4,3.789219260E-2,4.555045161E-3
1.120934667E0,-2.858344931E-3,2.353287674E-2,1.301479759E-3
1.130910667E0,-9.950609878E-3,1.638496644E-3,-2.214691835E-3
1.140886667E0,-1.995361410E-2,-1.544311270E-2,-2.450250555E-3
1.150862667E0,-2.472440153E-2,-1.947540417E-2,-4.923528060E-3
1.160839667E0,-2.655336261E-2,-2.109869383E-2,-9.524706751E-3
1.170815667E0,-2.561779507E-2,-1.904806122E-2,-1.353329606E-2
1.180791667E0,-2.518055961E-2,-1.157957315E-2,-1.358807180E-2
1.190768667E0,-2.160579897E-2,4.300590605E-3,-1.134915184E-2
1.200744583E0,-1.657495648E-2,1.509012375E-2,-8.339696564E-3
1.210720583E0,-1.313681528E-2,1.601850055E-2,-3.236813005E-3
1.220696583E0,-7.490703836E-3,1.595290937E-2,1.357355359E-4
1.230673583E0,-9.880632861E-4,2.183529921E-2,3.596246941E-3
1.240649583E0,4.937309772E-3,3.025051951E-2,5.153989885E-3
1.250625583E0,9.124863893E-3,4.118652269E-2,5.993684754E-3
1.260601583E0,1.232193410E-2,5.095784739E-2,1.697393833E-3
1.270578583E0,1.342581492E-2,5.236160010E-2,2.901795087E-4
1.280554583E0,1.448812149E-2,5.037477985E-2,-1.096018008E-3
1.290530583E0,1.981843822E-2,5.378921703E-2,5.753819132E-4
1.300506583E0,2.006166428E-2,5.143996328E-2,2.379410435E-3
1.310483583E0,1.270201802E-2,3.864640370E-2,1.934396336E-3
1.320459583E0,1.102361549E-2,1.886266097E-2,-1.961358357E-4
1.330435583E0,8.243008517E-3,-1.332356245E-3,1.523733605E-3
1.340412583E0,9.282167070E-3,-1.844555885E-2,4.800555762E-3
1.350388583E0,1.242176723E-2,-1.496613864E-2,9.285851382E-3
1.360364583E0,1.228035707E-2,-1.265509054E-3,1.469136775E-2
1.370340583E0,1.427906007E-2,1.522021601E-3,2.130612731E-2
1.380317583E0,9.381904267E-3,1.594993751E-3,2.263060212E-2
1.390293583E0,3.830012400E-3,1.830366626E-2,1.848112978E-2
1.400269583E0,-1.431618584E-4,3.112252802E-2,1.449294761E-2
1.410245583E0,1.058988972E-3,1.500667632E-2,1.563437842E-2
1.420222583E0,4.636850208E-3,-4.855084233E-3,2.112968080E-2
1.430198583E0,3.343086690E-3,-7.414914668E-3,2.868640050E-2
1.440174583E0,1.844449551E-3,-8.149602450E-3,3.432111070E-2
1.450151583E0,4.154475406E-3,-3.460841253E-3,3.864688426E-2
1.460127583E0,1.194056473E-3,8.949403651E-3,4.164988548E-2
1.470103583E0,-2.564729191E-3,2.357948013E-2,4.327840731E-2
1.480079583E0,-5.770516582E-3,2.636275627E-2,4.436256737E-2
1.490056583E0,-3.793918528E-3,2.223432437E-2,4.589734599E-2
1.500032583E0,-8.770194836E-3,1.590202376E-2,4.410360008E-2
1.510008583E0,-1.385576744E-2,9.313629009E-3,4.232434183E-2
1.519984583E0,-1.527040917E-2,-2.274857252E-6,3.995095566E-2
1.529961583E0,-9.572575800E-3,-7.435956504E-3,3.784732521E-2
1.539937583E0,-9.015209042E-3,-4.391313705E-4,3.427297622E-2
1.549913583E0,-8.922796696E-3,1.301036496E-2,3.310890868E-2
1.559889583E0,-9.872213937E-3,1.926346682E-2,3.112352081E-2
1.569866583E0,-1.159341447E-2,1.254457794E-2,3.110487759E-2
1.579842583E0,-1.883992180E-2,8.001136594E-3,2.822718397E-2
1.589818583E0,-2.536200173E-2,6.481803488E-3,2.537866682E-2
1.599795583E0,-2.922194265E-2,1.483404543E-3,2.234867029E-2
1.609771583E0,-2.806906030E-2,-1.467644237E-3,2.076222561E-2
1.619747583E0,-2.021544240E-2,-2.143644495E-3,2.042821608E-2
1.629723583E0,-1.894032024E-2,3.383480012E-3,1.738715172E-2
1.639700583E0,-1.859212480E-2,1.273704413E-2,1.651874930E-2
1.649676583E0,-1.924912632E-2,1.869932935E-2,1.951081119E-2
1.659652583E0,-2.301700413E-2,3.262330592E-2,1.955932938E-2
1.669628583E0,-2.222418040E-2,3.513519838E-2,2.339800820E-2
1.679605583E0,-2.157654427E-2,2.715441585E-2,3.065869957E-2
1.689581583E0,-1.606593095E-2,1.999930106E-2,3.980186582E-2
1.699557583E0,-7.655004971E-3,1.494302507E-2,4.880023748E-2
1.709533583E0,-1.114015118E-3,3.169377521E-2,5.512364581E-2
1.719510583E0,-5.190068856E-3,4.986407608E-2,5.761643127E-2
1.729486583E0,-1.481473446E-2,6.335884333E-2,6.156377122E-2
1.739462583E0,-1.976244338E-2,7.470240444E-2,5.992003158E-2
1.749438583E0,-2.237953246E-2,7.265549898E-2,6.379200518E-2
1.759415583E0,-2.229690552E-2,5.817795172E-2,6.782153994E-2
1.769391583E0,-1.920976862E-2,5.474780127E-2,7.492578775E-2
1.779367583E0,-1.255203038E-2,5.347044393E-2,7.793192565E-2
1.789344583E0,-9.720823728E-3,4.769218341E-2,7.909706235E-2
1.799320583E0,-1.590960473E-2,4.093201458E-2,7.901744545E-2
1.809296583E0,-2.159039304E-2,3.180269524E-2,7.643844187E-2
1.819272583E0,-1.928458735E-2,2.235628851E-2,7.578735054E-2
1.829249583E0,-1.804461889E-2,1.258994546E-2,7.427680492E-2
1.839225583E0,-2.204610407E-2,1.980264671E-3,7.736027241E-2
1.849201583E0,-2.440193668E-2,-3.171087708E-3,7.745002210E-2
1.859177583E0,-2.419878170E-2,5.926715210E-3,7.127134502E-2
1.869154583E0,-2.127303369E-2,3.472878365E-3,6.419159472E-2
1.879130583E0,-1.497413497E-2,3.913906403E-3,5.441626534E-2
1.889106583E0,-1.975504309E-2,1.739701373E-3,4.324563593E-2
1.899082583E0,-2.278525569E-2,2.728341846E-3,3.446512297E-2
1.909059583E0,-2.150134556E-2,-9.509681724E-3,2.880989760E-2
1.919035583E0,-2.119224705E-2,-2.585154586E-2,2.332658321E-2
1.929011583E0,-2.478484996E-2,-3.625199199E-2,2.183334902E-2
1.938988583E0,-3.085948154E-2,-2.383517660E-2,1.811456308E-2
1.948964583E0,-3.394368663E-2,2.073385753E-3,1.855851337E-2
1.958940583E0,-4.097856209E-2,3.219027817E-2,1.612713002E-2
1.968916583E0,-4.283318669E-2,5.116370320E-2,1.418461930E-2
1.978893583E0,-3.285884857E-2,6.780312210E-2,9.331373498E-3
1.988869583E0,-2.343072183E-2,8.392776549E-2,1.134696417E-3
1.998845583E0,-2.400752530E-2,1.048874706E-1,-1.104744803E-2
2.008821583E0,-3.336001560E-2,1.254564077E-1,-2.047397383E-2
2.018798583E0,-4.426915944E-2,1.379502565E-1,-2.485429496E-2
2.028774583E0,-5.274893343E-2,1.318915635E-1,-2.891135402E-2
2.038750583E0,-4.872978479E-2,1.152660847E-1,-3.121415339E-2
2.048726583E0,-4.074403271E-2,1.005385369E-1,-2.991852351E-2
2.058703583E0,-4.011170939E-2,8.650384843E-2,-2.571548894E-2
2.068679583E0,-3.437978774E-2,7.301973552E-2,-1.927436888E-2
2.078655583E0,-3.368754312E-2,7.554139942E-2,-2.313388884E-2
2.088631583E0,-4.299449176E-2,9.713031352E-2,-3.131458536E-2
2.098608583E0,-5.278515071E-2,1.125455648E-1,-4.463545233E-2
2.108584583E0,-5.167754367E-2,1.054234728E-1,-5.535787344E-2
2.118560583E0,-4.207551479E-2,7.704748958E-2,-6.750961393E-2
2.128537583E0,-3.248951212E-2,6.472229958E-2,-6.530582160E-2
2.138513583E0,-2.717557363E-2,6.735190004E-2,-7.111772150E-2
2.148489583E0,-2.492706664E-2,7.220737636E-2,-7.021384686E-2
2.158465583E0,-1.712502167E-2,5.895264447E-2,-6.960800290E-2
2.168442583E0,-7.245493121E-3,3.529019281E-2,-7.173133641E-2
2.178418583E0,-3.351869062E-3,1.992127113E-2,-7.568043470E-2
2.188394583E0,8.545936435E-4,1.998996828E-3,-7.672306150E-2
2.198370583E0,6.496308837E-3,-1.948240213E-2,-7.365243882E-2
2.208347792E0,-2.167220227E-3,-1.864350773E-2,-6.864169985E-2
2.218323792E0,-1.320627332E-2,-1.572125824E-3,-6.299656630E-2
2.228299792E0,-1.279055420E-2,2.268740721E-2,-4.868767038E-2
2.238275792E0,-2.282561269E-3,2.382422052E-2,-3.599189967E-2
2.248252792E0,7.403888274E-3,2.997665480E-2,-1.997964457E-2
2.258228792E0,2.623690292E-3,4.652562365E-2,-8.399186656E-3
2.268204792E0,-3.629944520E-3,6.166116893E-2,3.206336638E-3
2.278180792E0,-9.690098464E-3,7.615356147E-2,1.065458171E-2
2.288157792E0,-1.615518890E-2,9.581088275E-2,1.376035996E-2
2.298133792E0,-2.420814335E-2,1.128261760E-1,1.995563880E-2
2.308109792E0,-2.689846978E-2,1.070369929E-1,2.872809023E-2
2.318085792E0,-2.853719331E-2,1.070594564E-1,4.789219424E-2
2.328062792E0,-2.930125594E-2,1.153171211E-1,6.432629377E-2
2.338038792E0,-3.038379550E-2,1.273568273E-1,7.661743462E-2
2.348014792E0,-4.495980963E-2,1.439251453E-1,8.214056492E-2
2.357991792E0,-5.743804947E-2,1.808783710E-1,8.144281805E-2
2.367967792E0,-6.543525308E-2,2.109654397E-1,7.971628755E-2
2.377943792E0,-5.524373055E-2,2.071219683E-1,7.538919896E-2
2.387919792E0,-4.376790300E-2,1.770767123E-1,6.624683738E-2
2.397896792E0,-4.284804687E-2,1.580508202E-1,5.644853413E-2
2.407872792E0,-4.052470624E-2,1.491486728E-1,5.061514676E-2
2.417848792E0,-2.811362594E-2,1.417447329E-1,5.065031722E-2
2.427824792E0,-1.469129417E-2,1.400517523E-1,4.055427387E-2
2.437801792E0,-6.970298942E-3,1.276642531E-1,2.462878637E-2
2.447777792E0,4.655130906E-4,9.247536212E-2,7.860459387E-3
2.457753792E0,1.536771841E-2,5.735750124E-2,-4.705283325E-3
2.467729792E0,2.840442397E-2,2.372257411E-2,-1.336135622E-2
2.477706792E0,3.565118462E-2,-7.421132643E-3,-1.720364578E-2
2.487682792E0,4.126033559E-2,-3.774495050E-2,-2.219014801E-2
2.497658792E0,4.433958977E-2,-6.098485738E-2,-3.883294761E-2
2.507634792E0,4.719742760E-2,-6.300033629E-2,-5.773340166E-2
2.517611792E0,5.338319391E-2,-7.671073079E-2,-7.765682042E-2
2.527587792E0,5.583676323E-2,-1.064968556E-1,-9.717965871E-2
2.537563792E0,3.761870041E-2,-1.402596980E-1,-1.115415841E-1
2.547539792E0,6.562423706E-2,-1.402996480E-1,-1.022117287E-1
2.557516792E0,9.317170084E-2,-1.308651417E-1,-9.055690467E-2
