"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780849532557429E9,"2026-06-07 18:25:32.557 UTC+02:00"
"PAUSE",1.800162263333332E2,1.780849712570927E9,"2026-06-07 18:28:32.571 UTC+02:00"
