"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780846621402098E9,"2026-06-07 17:37:01.402 UTC+02:00"
"PAUSE",1.800199180833297E2,1.780846801421190E9,"2026-06-07 17:40:01.421 UTC+02:00"
