"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.784382920E-1,-3.701435804E0,1.589749932E0,9.227552414E0
9.884382920E-1,-3.720589399E0,1.661576033E0,9.289801598E0
9.984382920E-1,-3.651157618E0,1.745373011E0,9.407117844E0
1.008438292E0,-3.517082214E0,1.726219416E0,9.421483040E0
1.018438292E0,-3.318363667E0,1.637633920E0,9.136572838E0
1.028438292E0,-3.234566450E0,1.630451322E0,9.059958458E0
1.038438292E0,-3.136404276E0,1.640028119E0,8.832509041E0
1.048438292E0,-3.208230257E0,1.656787634E0,8.722375870E0
1.058438292E0,-3.438073635E0,1.795651317E0,8.827720642E0
1.068438292E0,-3.521870613E0,1.881842494E0,8.964190483E0
1.078438292E0,-3.299209833E0,2.030282974E0,8.952219009E0
1.088438292E0,-3.541024208E0,1.740584612E0,9.186851501E0
1.098438292E0,-3.418920040E0,1.539471745E0,9.138967514E0
1.108438525E0,-3.411737442E0,1.446097851E0,8.772654533E0
1.118438525E0,-3.090914488E0,1.525106430E0,8.087912560E0
1.128438525E0,-2.999934673E0,1.539471745E0,8.052000046E0
1.138438525E0,-3.064578056E0,1.419761658E0,8.624214172E0
1.148438525E0,-3.217807055E0,1.424550056E0,8.909123421E0
1.158438291E0,-3.543418407E0,1.482010841E0,9.526827812E0
1.168438291E0,-3.576937437E0,1.580173135E0,9.826103210E0
1.178438291E0,-3.380612850E0,1.570596337E0,9.318531990E0
1.188438291E0,-3.224989653E0,1.570596337E0,8.904335022E0
1.198438291E0,-3.011905670E0,1.556231141E0,8.674491882E0
1.208438291E0,-3.071760893E0,1.582567334E0,8.794201851E0
1.218438291E0,-3.114856482E0,1.544260144E0,9.162909508E0
1.228438291E0,-3.114856482E0,1.546654344E0,9.548376083E0
1.238438291E0,-3.323152065E0,1.685518026E0,9.816526413E0
1.248438291E0,-3.301604033E0,1.714248419E0,9.646537781E0
1.258438291E0,-3.155557871E0,1.692700624E0,9.177274704E0
1.268438291E0,-3.155557871E0,1.661576033E0,8.983344078E0
1.278438291E0,-3.002328873E0,1.563413739E0,8.753500938E0
1.288438291E0,-2.961627483E0,1.563413739E0,8.640973091E0
1.298438291E0,-2.923320293E0,1.455674648E0,8.746317863E0
1.308438291E0,-3.040636063E0,1.482010841E0,8.899546623E0
1.318438291E0,-3.107673883E0,1.434126854E0,8.976161003E0
1.328438291E0,-3.028665066E0,1.388636947E0,8.866027832E0
1.338438291E0,-2.882618904E0,1.391031146E0,8.595483780E0
1.348438291E0,-2.849100113E0,1.283292055E0,8.430283546E0
1.358438524E0,-3.155557871E0,1.424550056E0,8.499714851E0
1.368438524E0,-3.339911461E0,1.532289028E0,8.765471458E0
1.378438524E0,-3.629609823E0,1.608903527E0,9.328108788E0
1.388438524E0,-3.770867586E0,1.769315004E0,9.926659584E0
