"Time (s)","X (hPa)"
-5.681922500E-1,1.017641754E3
4.340267500E-1,1.017644043E3
1.436272750E0,1.017644043E3
2.438491750E0,1.017644043E3
3.440664750E0,1.017639618E3
3.796171750E0,1.017635651E3
4.865210750E0,1.017634201E3
5.934269750E0,1.017625427E3
7.003294750E0,1.017618179E3
8.072312750E0,1.017613373E3
9.141379750E0,1.017612076E3
1.021038275E1,1.017612076E3
1.127939075E1,1.017618637E3
1.234840275E1,1.017630234E3
1.341743175E1,1.017641754E3
1.448642175E1,1.017653580E3
1.555546375E1,1.017667465E3
1.662453275E1,1.017677460E3
1.769357175E1,1.017677612E3
1.876261475E1,1.017677612E3
1.983166175E1,1.017672501E3
2.090068875E1,1.017662811E3
2.196971175E1,1.017652130E3
2.303875975E1,1.017644272E3
2.410779475E1,1.017636261E3
2.517685875E1,1.017636261E3
2.624596275E1,1.017637329E3
2.731503775E1,1.017645340E3
2.838414075E1,1.017651901E3
2.945319475E1,1.017659302E3
3.052226375E1,1.017664719E3
3.159134975E1,1.017669144E3
3.266040775E1,1.017676086E3
3.372940975E1,1.017681580E3
3.479839575E1,1.017687836E3
3.586744875E1,1.017691498E3
3.693648475E1,1.017692490E3
3.800551875E1,1.017692490E3
3.907455375E1,1.017687836E3
4.014354875E1,1.017681122E3
4.121251375E1,1.017675934E3
4.228151775E1,1.017671890E3
4.335055275E1,1.017670212E3
4.441954775E1,1.017670212E3
4.548859375E1,1.017669525E3
4.655755575E1,1.017669144E3
4.762645175E1,1.017667236E3
4.869536075E1,1.017664261E3
4.976425775E1,1.017660980E3
5.083319575E1,1.017659531E3
5.190212275E1,1.017659073E3
5.297102675E1,1.017659073E3
5.403998575E1,1.017660904E3
5.510891875E1,1.017664948E3
5.617786375E1,1.017669144E3
5.724680875E1,1.017672119E3
5.831575275E1,1.017672806E3
5.938471275E1,1.017672806E3
6.045372575E1,1.017671738E3
6.152266975E1,1.017670670E3
6.259161275E1,1.017670670E3
6.366057875E1,1.017674255E3
6.472955275E1,1.017679214E3
6.579847175E1,1.017685165E3
6.686742175E1,1.017686157E3
6.793638575E1,1.017686157E3
6.900536775E1,1.017676468E3
7.007431775E1,1.017664261E3
7.114323675E1,1.017650375E3
7.221217575E1,1.017638702E3
7.328114075E1,1.017638702E3
7.435010975E1,1.017640991E3
7.541903675E1,1.017652130E3
7.648797075E1,1.017661819E3
7.755694475E1,1.017662048E3
7.862592775E1,1.017662048E3
7.969483175E1,1.017656784E3
8.076378075E1,1.017647095E3
8.183272175E1,1.017638855E3
8.290167475E1,1.017635727E3
8.397062175E1,1.017635651E3
8.503961275E1,1.017635651E3
8.610854375E1,1.017637787E3
8.717753075E1,1.017639542E3
8.824647675E1,1.017639847E3
8.931539275E1,1.017639847E3
9.038437175E1,1.017641220E3
9.145335175E1,1.017644043E3
9.252233375E1,1.017647247E3
9.359129675E1,1.017651062E3
9.466026175E1,1.017654572E3
9.572921575E1,1.017660904E3
9.679816975E1,1.017664948E3
9.786709675E1,1.017666473E3
9.893602975E1,1.017669144E3
1.000050237E2,1.017671432E3
1.010739967E2,1.017671432E3
1.021430027E2,1.017669830E3
1.032119717E2,1.017666168E3
1.042809317E2,1.017662811E3
1.053498867E2,1.017660980E3
1.064188807E2,1.017660522E3
1.074878097E2,1.017660522E3
1.085567267E2,1.017660904E3
1.096256867E2,1.017661972E3
1.106946927E2,1.017662582E3
1.117636947E2,1.017662888E3
1.128327097E2,1.017666779E3
1.139016757E2,1.017668686E3
1.149705977E2,1.017668915E3
1.160395827E2,1.017668915E3
1.171085547E2,1.017668076E3
1.181775157E2,1.017664795E3
1.192464367E2,1.017662888E3
1.203154177E2,1.017659302E3
1.213843397E2,1.017656326E3
1.224532597E2,1.017654572E3
1.235221707E2,1.017654190E3
1.245911297E2,1.017652283E3
1.256600797E2,1.017651443E3
1.267290437E2,1.017651443E3
1.277979637E2,1.017652512E3
1.288668587E2,1.017653732E3
1.299358247E2,1.017656174E3
1.310047807E2,1.017658691E3
1.320737137E2,1.017660904E3
1.331426867E2,1.017664337E3
1.342116307E2,1.017671432E3
1.352804937E2,1.017680359E3
1.363494467E2,1.017692795E3
1.374183317E2,1.017702255E3
1.384872797E2,1.017710876E3
1.395562297E2,1.017718430E3
1.406251547E2,1.017725601E3
1.416940877E2,1.017727280E3
1.427630087E2,1.017730865E3
1.438319077E2,1.017730865E3
1.449008027E2,1.017729187E3
1.459697017E2,1.017726440E3
1.470386087E2,1.017725754E3
1.481075047E2,1.017725754E3
1.491764047E2,1.017727051E3
1.502453527E2,1.017727051E3
1.513142727E2,1.017722931E3
1.523832377E2,1.017721100E3
1.534521597E2,1.017720566E3
1.545210997E2,1.017710266E3
1.555900257E2,1.017703934E3
1.566589927E2,1.017698898E3
1.577279837E2,1.017694473E3
1.587968507E2,1.017687836E3
1.598657157E2,1.017687836E3
1.609346307E2,1.017687836E3
1.620035337E2,1.017685547E3
1.630724337E2,1.017682419E3
1.641414017E2,1.017682266E3
1.652103767E2,1.017678909E3
1.662792877E2,1.017676163E3
1.673482187E2,1.017676163E3
1.684171107E2,1.017677765E3
1.694860457E2,1.017680283E3
1.705549687E2,1.017682800E3
1.716238977E2,1.017685394E3
1.726928247E2,1.017690659E3
1.737617467E2,1.017693405E3
1.748307077E2,1.017693405E3
1.758996747E2,1.017692337E3
1.769686137E2,1.017690506E3
