"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.615916250E-1,-1.935463905E0,-8.041554093E-1,-1.273830533E0
7.715666250E-1,-1.867742062E0,-1.039984584E0,-1.156733751E0
7.815426250E-1,-1.765589833E0,-1.216107130E0,-9.438921213E-1
7.915176250E-1,-1.624775648E0,-1.283254504E0,-6.427227259E-1
8.014936250E-1,-1.397242308E0,-1.083535552E0,-2.658188343E-1
8.114686250E-1,-9.511551261E-1,-2.265201956E-1,7.565866411E-2
8.214436250E-1,-2.952246964E-1,1.057227254E0,1.167485714E-1
8.314196250E-1,2.704663873E-1,1.762679696E0,7.560754661E-3
8.413946250E-1,4.870005548E-1,2.013259411E0,-2.001200020E-1
8.513706250E-1,4.445180595E-1,1.500311017E0,-4.145920575E-1
8.613456250E-1,2.993904054E-1,5.599371195E-1,-5.187578797E-1
8.713216250E-1,2.259967476E-1,3.308146819E-2,-4.705708921E-1
8.812966250E-1,2.477020472E-1,1.164517254E-1,-2.850764096E-1
8.912726250E-1,2.617975175E-1,2.798041999E-1,-7.131067663E-2
9.012476250E-1,6.009126455E-2,2.307141572E-1,2.150489241E-1
9.112226250E-1,-2.132242918E-1,-2.916072011E-1,3.878931403E-1
9.211986250E-1,-2.982006967E-1,-1.311897278E0,5.338564515E-1
9.311736250E-1,-1.367886215E-1,-2.466516495E0,5.110737085E-1
9.411496250E-1,-3.580395877E-2,-3.108705997E0,2.674975395E-1
9.511246250E-1,1.382440329E-1,-2.219623089E0,-1.637085378E-1
9.611006250E-1,2.926807702E-1,-1.236303329E0,-4.185490906E-1
9.710756250E-1,2.193048829E-3,-1.386047721E0,-3.357438445E-1
9.810506250E-1,-5.444849133E-1,-1.781155586E0,-2.238697410E-1
9.910266250E-1,-1.019219756E0,-1.707879543E0,-3.899674630E-3
1.001001625E0,-1.247006655E0,-1.276324511E0,2.768291831E-1
1.010977625E0,-1.291237473E0,-1.057699919E0,6.094037294E-1
1.020952625E0,-1.260815620E0,-1.633883834E0,1.096845865E0
1.030928625E0,-1.172303081E0,-2.653652191E0,1.544895291E0
1.040903625E0,-1.003873110E0,-3.525918007E0,1.752611756E0
1.050878625E0,-1.030907154E0,-3.606879473E0,1.622925878E0
1.060854625E0,-1.428287268E0,-2.585501671E0,1.026957273E0
1.070829625E0,-1.917466164E0,-1.400406241E0,9.412382543E-2
1.080805625E0,-2.225234747E0,-8.138253093E-1,-6.875733733E-1
1.090780625E0,-2.354301453E0,-8.386150002E-1,-1.248971939E0
1.100756625E0,-2.493636847E0,-1.136229634E0,-1.533885956E0
1.110731625E0,-2.402490854E0,-1.675238252E0,-1.647730112E0
1.120706625E0,-2.218129158E0,-1.983008385E0,-1.755204439E0
1.130682625E0,-2.086143970E0,-2.063046217E0,-1.761058807E0
1.140657625E0,-1.931162715E0,-1.978324652E0,-1.668623090E0
1.150633625E0,-1.686730862E0,-1.891748071E0,-1.519489646E0
1.160608625E0,-1.356655955E0,-1.928537011E0,-1.219783068E0
1.170584625E0,-9.718514681E-1,-2.070596218E0,-7.079867721E-1
1.180559625E0,-6.762890816E-1,-2.105379105E0,-2.337353081E-1
1.190534625E0,-4.799987376E-1,-1.739621162E0,3.833405208E-5
1.200510625E0,-4.607816339E-1,-1.599293351E0,8.255265653E-2
1.210485625E0,-6.723873019E-1,-1.909870625E0,1.039345190E-1
1.220461625E0,-1.001470447E0,-2.288576603E0,8.345613629E-2
1.230436625E0,-1.282500505E0,-2.463685989E0,8.890451491E-2
1.240412625E0,-1.395221949E0,-2.270488262E0,1.705011129E-1
