"event","experiment time","system time","system time text"
"START",0.000000000E0,1781426443.518,"2026-06-14 10:40:43.518 UTC+02:00"
"PAUSE",1.800210131E2,1781426623.539,"2026-06-14 10:43:43.539 UTC+02:00"
