"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781437561536290E9,"2026-06-14 13:46:01.536 UTC+02:00"
"PAUSE",1.800187401250005E2,1.781437741556975E9,"2026-06-14 13:49:01.557 UTC+02:00"
