"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.402137500E-2,-1.249247684E0,5.829528921E-1,-3.071523086E0
2.405837500E-2,-1.113758926E0,6.890179123E-1,-2.475167901E0
3.409537500E-2,-9.497556370E-1,6.420790963E-1,-1.932715858E0
4.413237500E-2,-7.208769053E-1,5.286403352E-1,-1.481975638E0
5.416937500E-2,-5.267230332E-1,4.828168025E-1,-1.090227976E0
6.420637500E-2,-3.138504696E-1,4.896213535E-1,-7.001058412E-1
7.424237500E-2,-2.367093229E-1,4.474135928E-1,-4.860205650E-1
8.427937500E-2,-5.462761223E-2,5.926951574E-1,-3.172096950E-1
9.431637500E-2,1.035641295E-1,7.651949993E-1,-3.799848175E-1
1.043533750E-1,2.062166780E-1,8.686619188E-1,-6.402385390E-1
1.143903750E-1,2.025259155E-1,9.143429987E-1,-9.166539645E-1
1.244273750E-1,1.186166167E-1,9.305443177E-1,-1.057940821E0
1.344643750E-1,-2.822450995E-3,9.973062911E-1,-1.051822295E0
1.445013750E-1,1.441186631E-1,9.418181880E-1,-1.005653849E0
1.545373750E-1,1.529742712E-1,7.805851632E-1,-7.150255966E-1
1.645743750E-1,1.775150353E-1,5.315094908E-1,-3.783411652E-1
1.746113750E-1,3.610544568E-1,2.371456166E-1,-4.657424212E-2
1.846483750E-1,6.747096294E-1,9.090266006E-2,4.850002259E-1
1.946853750E-1,1.153295460E0,5.264624666E-2,9.123667860E-1
2.047223750E-1,1.917849312E0,2.690768730E-3,1.114986842E0
2.147593750E-1,2.623650341E0,7.200567420E-2,1.252360157E0
2.247963750E-1,3.325347794E0,1.314438364E-1,1.165253600E0
2.348323750E-1,3.868592135E0,5.896802782E-2,7.378034252E-1
2.448693750E-1,4.107149763E0,5.964865286E-1,4.719170809E-2
2.549063750E-1,3.887730657E0,1.752119815E-1,-4.220438397E-1
2.649433750E-1,4.069102516E0,1.115336925E-1,-7.978613466E-1
2.749803750E-1,4.424178779E0,5.390176446E-1,-7.837683874E-1
2.850173750E-1,4.612367907E0,7.134260908E-1,-3.291923940E-1
2.950543750E-1,4.505552140E0,7.779096235E-1,4.335266018E-1
3.050913750E-1,3.707160451E0,6.719497436E-1,1.669059057E0
3.151273750E-1,2.741872855E0,7.603523353E-1,2.829295746E0
3.251643750E-1,1.944887422E0,6.392513828E-1,3.826971654E0
3.352013750E-1,1.087566909E0,1.520753166E-1,4.281188044E0
3.452383750E-1,6.273577076E-1,-7.440146300E-1,4.176072063E0
3.552753750E-1,-2.071440464E-1,-9.981327950E-1,3.784497480E0
3.653123750E-1,-1.159723304E0,-8.464040539E-1,3.091518810E0
3.753493750E-1,-1.806213101E0,-8.239709917E-1,2.123432736E0
3.853863750E-1,-2.145174438E0,-8.238528049E-1,1.118144923E0
3.954223750E-1,-2.237119566E0,-7.744427363E-1,2.230689383E-1
4.054593750E-1,-2.262219324E0,-7.542700616E-1,-4.159674132E-1
4.154963750E-1,-2.382053331E0,-8.783732669E-1,-7.619372231E-1
4.255333750E-1,-2.507239879E0,-1.053557163E0,-6.988340718E-1
4.355703750E-1,-2.590887807E0,-1.151524338E0,-3.532782447E-1
4.456073750E-1,-2.806720231E0,-1.329724813E0,1.334299529E-1
4.556443750E-1,-2.967260799E0,-1.503993328E0,6.021655637E-1
4.656803750E-1,-3.117988570E0,-1.711068231E0,1.022110253E0
4.757173750E-1,-3.280163435E0,-1.851490138E0,1.332884502E0
4.857543750E-1,-3.485590739E0,-1.836445837E0,1.458288567E0
4.957913750E-1,-3.615917575E0,-1.738563447E0,1.265266131E0
5.058283750E-1,-3.507769228E0,-1.610444813E0,8.328031379E-1
5.158653750E-1,-3.310190057E0,-1.300882545E0,2.263270068E-1
5.259023750E-1,-3.065209263E0,-9.736003632E-1,-3.294648743E-1
5.359393750E-1,-2.739428135E0,-6.401386978E-1,-7.999259984E-1
5.459753750E-1,-2.469241163E0,-3.104373402E-1,-1.270839697E0
5.560123750E-1,-2.330212501E0,-1.511150759E-1,-1.657952271E0
5.660493750E-1,-2.122292529E0,-1.218439143E-2,-1.798912268E0
5.760863750E-1,-1.882561365E0,1.404175948E-2,-1.753959458E0
5.861233750E-1,-1.581643183E0,3.636339560E-2,-1.531877530E0
5.961603750E-1,-1.166332412E0,1.658701957E-1,-1.315014242E0
6.061973750E-1,-8.022467583E-1,3.442840576E-1,-1.013863925E0
6.162333750E-1,-5.668723547E-1,5.708111123E-1,-6.493601954E-1
6.262703750E-1,-3.674138886E-1,7.542878225E-1,-3.015385723E-1
6.363073750E-1,-8.348186731E-2,1.034339924E0,-9.352504492E-2
6.463443750E-1,1.444402599E-1,1.294967502E0,1.656796861E-1
6.563813750E-1,2.280718160E-1,1.450311795E0,4.043150818E-1
6.664183750E-1,2.257756144E-1,1.504921720E0,6.397479576E-1
6.764553750E-1,2.350691789E-1,1.475399567E0,7.774376070E-1
6.864913750E-1,2.710973829E-1,1.378953253E0,9.148155999E-1
6.965283750E-1,2.897383064E-1,1.303651640E0,9.838267779E-1
7.065653750E-1,3.297373545E-1,1.353105051E0,9.978647733E-1
7.166023750E-1,4.426734012E-1,1.464152447E0,9.645701426E-1
7.266393750E-1,5.844379753E-1,1.587608658E0,8.598728228E-1
7.366763750E-1,8.272389275E-1,1.658721179E0,7.555929941E-1
7.467133750E-1,1.132777580E0,1.723671466E0,7.790988010E-1
7.567493750E-1,1.326202889E0,1.818430274E0,8.494922608E-1
7.667863750E-1,1.481589137E0,1.787279671E0,9.664424211E-1
7.768233750E-1,1.724316999E0,1.557533943E0,1.118643690E0
7.868603750E-1,1.768733618E0,1.245077596E0,1.429819059E0
7.968973750E-1,1.683518052E0,1.031757647E0,1.824613704E0
8.069343750E-1,1.557161475E0,8.161560418E-1,2.210654483E0
8.169713750E-1,1.480277606E0,5.577324258E-1,2.563048629E0
8.270073750E-1,1.395398254E0,3.980836310E-1,2.889218597E0
8.370443750E-1,1.399500076E0,2.677926828E-1,2.961138180E0
8.470813750E-1,1.504420760E0,9.981518716E-2,2.651949695E0
8.571183750E-1,1.536708500E0,-5.087859683E-2,2.121108468E0
8.671553750E-1,1.581091790E0,9.785863571E-2,1.812738594E0
8.771916250E-1,1.883916750E0,6.560793040E-1,1.964108974E0
8.872286250E-1,2.200420101E0,7.908769206E-1,2.104540383E0
8.972646250E-1,2.537164174E0,7.334070499E-1,2.148058870E0
9.073016250E-1,2.696470980E0,7.915082737E-1,2.206769008E0
9.173386250E-1,2.671717377E0,8.178793625E-1,2.410251528E0
9.273756250E-1,2.491743588E0,7.160864277E-1,2.653927224E0
9.374126250E-1,2.229155658E0,6.068375621E-1,2.895293269E0
9.474496250E-1,2.011302436E0,5.397418223E-1,3.041969504E0
9.574856250E-1,1.804099333E0,2.624594739E-1,2.874667216E0
9.675226250E-1,1.600979340E0,-2.145465849E-1,2.197282485E0
9.775596250E-1,1.283950909E0,-5.910915951E-1,1.297935110E0
9.875966250E-1,9.434119928E-1,-8.447938769E-1,3.612515080E-1
9.976336250E-1,7.934274030E-1,-1.204613694E0,-3.991894126E-1
1.007670625E0,7.744251215E-1,-1.756434000E0,-1.161908993E0
1.017706625E0,6.427621973E-1,-2.261665446E0,-1.899460988E0
1.027743625E0,4.404140371E-1,-2.645759540E0,-2.357549989E0
1.037780625E0,1.525947869E-1,-3.077673188E0,-2.751611393E0
1.047817625E0,-3.279621398E-1,-3.320609211E0,-2.993279155E0
1.057854625E0,-8.359430927E-1,-3.311908261E0,-2.981335047E0
1.067891625E0,-1.255117119E0,-3.234250221E0,-2.941598539E0
1.077928625E0,-1.665058392E0,-3.503394049E0,-2.811929516E0
1.087964625E0,-2.068110475E0,-3.564090779E0,-2.617386804E0
1.098001625E0,-2.442291931E0,-3.436391974E0,-2.551001610E0
1.108038625E0,-2.669290198E0,-3.213598440E0,-2.617962170E0
1.118075625E0,-2.590933415E0,-2.755755900E0,-2.854375623E0
1.128112625E0,-2.203129701E0,-2.120054508E0,-3.165738688E0
1.138149625E0,-1.804558924E0,-1.533497794E0,-3.351324635E0
1.148185625E0,-1.465820366E0,-9.661627049E-1,-3.487175335E0
1.158222625E0,-1.232439862E0,-3.746465289E-1,-3.672953070E0
1.168259625E0,-9.355305308E-1,-4.004615474E-2,-3.915238883E0
1.178296625E0,-6.063469076E-1,2.285235134E-1,-4.001616291E0
1.188333625E0,-4.014663184E-1,4.503250676E-1,-3.880276626E0
1.198370625E0,-3.652024716E-1,6.537875609E-1,-3.569860811E0
1.208406625E0,-4.409397018E-1,8.740514436E-1,-2.980892998E0
1.218443625E0,-4.201253682E-1,1.054733477E0,-2.310455929E0
1.228480625E0,-1.295257670E-1,1.096875895E0,-1.627247372E0
1.238517625E0,2.336752027E-1,1.089041211E0,-8.730512774E-1
1.248554625E0,4.933371860E-1,1.197787508E0,2.191711843E-2
1.258591625E0,7.150957632E-1,1.103045366E0,7.395377094E-1
1.268627625E0,8.359939635E-1,9.689364047E-1,1.161424259E0
1.278664625E0,7.791882634E-1,1.116494254E0,1.530030395E0
1.288701625E0,5.620864087E-1,1.313285513E0,1.544881153E0
1.298738625E0,2.427980286E-1,1.445295469E0,1.637067186E0
1.308775625E0,1.279727465E-1,1.593035459E0,1.572503400E0
1.318812625E0,1.303578258E-1,1.653236637E0,1.221744136E0
1.328848625E0,1.470738459E-1,1.562542083E0,7.021558750E-1
1.338885625E0,9.928806067E-2,1.402061157E0,1.962196934E-1
1.348922625E0,2.756541181E-1,1.158056555E0,-5.993162155E-2
1.358959625E0,2.690368241E-1,7.831553800E-1,-3.974235535E-2
1.368996625E0,-1.201234442E-1,3.876087827E-1,1.855052555E-1
1.379033625E0,-3.837024772E-1,4.019239909E-2,7.016343033E-1
1.389069625E0,-3.227247888E-1,-3.221007264E-2,1.155015126E0
1.399106625E0,3.646510792E-1,6.578813793E-2,1.830145755E0
1.409143625E0,1.422701828E0,3.028888771E-1,2.592920884E0
1.419180625E0,2.621699125E0,6.155999802E-1,3.021841634E0
1.429217625E0,3.332883686E0,9.175974128E-1,3.192435905E0
1.439254625E0,3.716238838E0,1.132806378E0,2.817015424E0
1.449290625E0,3.668579353E0,9.634851918E-1,1.925405669E0
1.459327625E0,3.199965364E0,5.679732393E-1,8.669456148E-1
1.469364625E0,2.674591869E0,2.446983006E-1,-1.319283879E-1
1.479401625E0,2.192159740E0,2.031150590E-1,-3.918312764E-1
1.489438625E0,1.655926210E0,4.539550922E-1,-1.244497991E-1
1.499475625E0,1.149792978E0,1.258491547E0,2.898359549E-1
1.509511625E0,1.170350034E0,8.454628714E-1,9.260486859E-1
1.519548625E0,1.205225751E0,8.291600302E-2,1.645729251E0
1.529585625E0,9.119305837E-1,-4.053585906E-1,2.351000522E0
1.539622625E0,5.928778464E-1,-5.415614758E-1,2.743929906E0
1.549659625E0,4.162527573E-1,-7.661168128E-1,2.293474445E0
1.559696625E0,4.182250232E-1,-9.135723357E-1,1.586217459E0
1.569732625E0,6.545648021E-1,-8.637072806E-1,6.566206831E-1
1.579769625E0,4.365542901E-1,-6.360785374E-1,-6.105013543E-1
1.589806625E0,1.288609385E-2,-5.119224147E-1,-1.644733470E0
1.599843625E0,-2.897935626E-1,-5.822627380E-1,-2.492755741E0
1.609880625E0,-6.392658547E-1,-7.036034994E-1,-2.936765231E0
1.619916625E0,-1.246642457E0,-1.013143255E0,-2.835994316E0
1.629953625E0,-1.791848831E0,-1.364135385E0,-2.424770749E0
1.639990625E0,-1.972899385E0,-1.653990343E0,-1.871746355E0
1.650027625E0,-2.137029559E0,-2.020215054E0,-1.257879928E0
1.660064625E0,-2.382981576E0,-2.314145814E0,-5.590329927E-1
1.670101625E0,-2.486461798E0,-2.544110082E0,-3.149310350E-2
1.680137625E0,-2.619379242E0,-2.861022153E0,9.536107063E-2
1.690174625E0,-2.770683549E0,-3.019637818E0,3.285994864E-1
1.700211625E0,-2.909769806E0,-3.009455185E0,4.169380510E-1
1.710248625E0,-2.836197215E0,-2.776824587E0,3.128272069E-1
1.720285625E0,-2.651319366E0,-2.485218972E0,5.884813249E-2
1.730321625E0,-2.657422397E0,-2.230626233E0,-4.560114849E-1
1.740358625E0,-2.538567798E0,-1.878470946E0,-1.037092574E0
1.750395625E0,-2.337416563E0,-1.581148801E0,-1.625238268E0
1.760432625E0,-1.998879149E0,-1.346736556E0,-2.036724375E0
1.770469625E0,-1.590122815E0,-1.124397789E0,-2.165649049E0
1.780505625E0,-1.187238547E0,-8.951253936E-1,-2.313921574E0
1.790542625E0,-7.453244063E-1,-7.000084850E-1,-2.487235385E0
1.800579625E0,-5.191672611E-1,-5.437116066E-1,-2.759375911E0
1.810616625E0,-5.208226079E-1,-4.142125907E-1,-3.104213115E0
1.820653625E0,-3.918052563E-1,-2.796995142E-1,-3.166689445E0
1.830690625E0,-3.101167300E-1,-1.277645856E-2,-2.541054912E0
1.840726625E0,-2.906262061E-1,1.699698613E-1,-1.929442002E0
1.850763625E0,-2.071335214E-1,3.549713060E-1,-1.349102924E0
1.860800625E0,-8.019456267E-4,6.798400495E-1,-6.152370143E-1
1.870837625E0,4.587725401E-2,1.161078762E0,-1.292702436E-1
1.880874750E0,1.086871675E-1,1.563358062E0,1.971020383E-1
1.890910750E0,2.048174393E-1,1.930870769E0,4.645998752E-1
1.900947750E0,2.858534163E-1,2.271559666E0,7.847355169E-1
1.910984750E0,5.067173696E-1,2.559049425E0,1.197011583E0
1.921021750E0,8.306449306E-1,2.656493274E0,1.469228708E0
1.931058750E0,1.277662521E0,2.394684924E0,1.509087422E0
1.941094750E0,1.551560428E0,2.344034734E0,1.366612412E0
1.951131750E0,1.655786754E0,2.490011350E0,1.389472686E0
1.961168750E0,1.649155135E0,2.520923533E0,1.544895771E0
1.971205750E0,1.790666232E0,2.630923693E0,1.716320931E0
1.981242750E0,1.884308806E0,2.708264522E0,1.746043498E0
1.991279750E0,1.758831651E0,2.620390518E0,1.595934362E0
2.001315750E0,1.493083593E0,2.343102688E0,1.464760265E0
2.011352750E0,1.064308147E0,1.970966881E0,1.514268056E0
2.021389750E0,7.718766126E-1,1.612161555E0,1.694896148E0
2.031426750E0,6.665530559E-1,1.259547554E0,1.891750265E0
2.041463750E0,7.850524360E-1,1.034409944E0,1.941812371E0
2.051499750E0,1.039772937E0,9.076743954E-1,1.684482257E0
2.061536750E0,1.155337892E0,8.559936337E-1,1.646337361E0
2.071573750E0,1.226526573E0,8.393592554E-1,2.040646688E0
2.081610750E0,1.364435786E0,8.146928492E-1,2.802994385E0
2.091647750E0,1.462754378E0,6.386391062E-1,3.484060523E0
2.101683750E0,1.502236825E0,4.344514120E-1,3.754901798E0
2.111720750E0,1.422500976E0,2.654005138E-1,3.770371776E0
2.121757750E0,1.531607681E0,1.389839306E-1,3.634628665E0
2.131794750E0,1.453173715E0,-3.658683233E-2,3.156790693E0
2.141831750E0,1.209246005E0,-1.287990312E-1,2.435543075E0
2.151867750E0,1.004366292E0,-1.076299909E-1,1.623692849E0
2.161904750E0,9.434833288E-1,-1.226989234E-1,8.648072881E-1
2.171941750E0,9.300016961E-1,-2.289070176E-1,2.317731035E-1
2.181978750E0,9.986588252E-1,-5.101708813E-1,-3.920710123E-1
2.192015750E0,1.111124756E0,-8.947179888E-1,-1.011195256E0
2.202051750E0,1.215912123E0,-1.327261235E0,-1.702821465E0
2.212088750E0,1.232915241E0,-1.696894873E0,-2.412399210E0
2.222125750E0,1.231322752E0,-2.035163169E0,-2.940851265E0
2.232162750E0,1.214457628E0,-2.351630121E0,-3.041230416E0
2.242199750E0,1.090230023E0,-2.560030296E0,-2.969849946E0
2.252235750E0,1.162829345E0,-2.792255974E0,-3.049560360E0
2.262272750E0,1.310024520E0,-3.070261257E0,-2.647024586E0
2.272309750E0,1.059925366E0,-3.221917274E0,-1.778837022E0
2.282346750E0,5.068743673E-1,-3.218065128E0,-1.076616243E0
2.292383750E0,1.858157426E-2,-3.088886393E0,-7.134743303E-1
2.302419750E0,-5.693623915E-1,-2.770195599E0,-5.172254008E-1
2.312456750E0,-9.954551357E-1,-2.400345468E0,-7.604643095E-1
2.322493750E0,-1.095002520E0,-1.882086279E0,-1.303251983E0
2.332530750E0,-9.809543332E-1,-1.305025005E0,-1.851630764E0
2.342567750E0,-8.123381755E-1,-4.360505524E-1,-2.234777171E0
2.352603750E0,-4.459975433E-1,1.388750263E-1,-2.543223644E0
2.362640750E0,-4.293464273E-1,6.764465448E-1,-2.523163016E0
2.372677750E0,5.634026170E-2,7.022272110E-1,-2.761388522E0
2.382714750E0,6.253275543E-1,1.009048158E0,-2.099898278E0
2.392751750E0,3.597233382E-1,1.341709997E0,-1.421356384E0
2.402787750E0,-1.450723439E-2,1.299345166E0,-1.264066867E0
2.412824750E0,-1.759003267E-1,1.260938022E0,-1.265453242E0
2.422861750E0,-3.573312423E-1,1.289514681E0,-1.357363871E0
2.432898750E0,-5.899203247E-1,1.392566009E0,-1.263699077E0
2.442935750E0,-9.166036785E-1,1.342050744E0,-8.557780176E-1
2.452971750E0,-5.351178807E-1,8.369055444E-1,-7.838742220E-1
2.463008750E0,7.814511359E-3,6.589850047E-1,-6.146821135E-1
2.473045750E0,3.523263180E-1,8.300258566E-1,-5.757490128E-1
2.483082750E0,5.404438171E-1,9.522272551E-1,-4.389896554E-1
2.493118750E0,4.131250817E-1,9.773857775E-1,-2.793782097E-1
2.503155750E0,1.414233890E-1,8.273815995E-1,-2.155622828E-1
2.513192750E0,-1.640231699E-2,6.126304717E-1,-2.762873715E-1
2.523229750E0,-1.033077291E-1,4.077767797E-1,-3.343022758E-1
2.533266750E0,-2.322715786E-1,2.663710785E-1,-3.850718951E-1
2.543302750E0,-4.006344058E-1,1.949976254E-1,-4.043127429E-1
2.553339750E0,-5.044129819E-1,5.497464448E-2,-4.406730688E-1
2.563376750E0,-5.711149482E-1,-1.916066788E-1,-6.740009469E-1
2.573413750E0,-5.595881858E-1,-4.322273505E-1,-9.143109852E-1
2.583450750E0,-4.280904454E-1,-5.811522786E-1,-9.336570829E-1
2.593486750E0,-1.769580880E-1,-6.317495513E-1,-7.013711786E-1
2.603523750E0,1.618474209E-1,-5.717484941E-1,-3.678383964E-1
2.613560750E0,6.105243047E-1,-2.781038091E-1,-1.350192261E-1
2.623597750E0,1.134016605E0,1.659793559E-1,1.790130919E-1
2.633634750E0,1.739355306E0,5.823034492E-1,6.783261323E-1
2.643670750E0,2.487744092E0,7.262686229E-1,7.914726788E-1
2.653707750E0,3.112631351E0,8.495758760E-1,3.643294823E-1
2.663744750E0,2.910093741E0,1.165501961E0,-8.239954770E-2
2.673781750E0,2.420324526E0,1.791055510E0,7.524197102E-2
2.683817750E0,2.092639545E0,2.312677579E0,9.796664840E-1
2.693854750E0,1.713466613E0,2.451279686E0,2.181886182E0
2.703891750E0,1.324303129E0,1.921871027E0,3.115647345E0
2.713928750E0,1.017210286E0,7.762061103E-1,4.195394188E0
2.723965750E0,4.355111468E-1,-1.683141491E-1,4.914429805E0
2.734001750E0,-2.319461811E-1,-9.331549533E-1,5.155385960E0
2.744038750E0,-7.042053241E-1,-1.532177054E0,4.561215295E0
2.754075750E0,-8.854693016E-1,-1.828813321E0,3.386259994E0
2.764112750E0,-7.838639894E-1,-1.660198186E0,1.860286397E0
2.774149750E0,-5.555044904E-1,-1.431121526E0,9.189601064E-2
2.784185750E0,-3.870970783E-1,-1.347569054E0,-1.568015077E0
2.794222750E0,-4.046524662E-1,-1.261019737E0,-2.681762894E0
2.804259750E0,-6.595030680E-1,-1.203216794E0,-3.243780890E0
2.814296750E0,-1.051384631E0,-1.287726017E0,-3.361199412E0
2.824332750E0,-1.403160726E0,-1.740181372E0,-2.886483854E0
2.834369750E0,-1.814650926E0,-2.279655136E0,-2.130708427E0
2.844406750E0,-2.137344432E0,-2.641122406E0,-1.464321139E0
2.854443750E0,-2.371559917E0,-2.777283593E0,-7.618144315E-1
2.864480750E0,-2.453900408E0,-2.792498926E0,-4.037122339E-1
2.874517125E0,-2.195971832E0,-2.815878725E0,-2.221795768E-1
2.884554125E0,-1.879463511E0,-2.642234254E0,-2.027171195E-2
2.894591125E0,-1.623372714E0,-2.377093722E0,2.209779739E-1
2.904628125E0,-1.379163752E0,-1.912235692E0,4.026164657E-1
2.914664125E0,-1.265390969E0,-1.289152299E0,4.399304724E-1
2.924701125E0,-9.012477207E-1,-7.214439391E-1,5.357534730E-1
2.934738125E0,-5.935552463E-1,-3.138593866E-1,4.763100940E-1
2.944775125E0,-5.524124828E-1,-2.079915272E-1,2.962117589E-1
2.954812125E0,-7.650017488E-1,-2.415592229E-1,2.587743759E-2
2.964848125E0,-9.834800380E-1,-2.227211020E-1,-1.920284092E-1
2.974885125E0,-1.036043583E0,-1.616819447E-1,-2.839121407E-1
2.984922125E0,-8.655899379E-1,-1.904635482E-2,-1.991444707E-1
2.994959125E0,-6.514584687E-1,1.698510897E-1,-8.110672832E-2
3.004995125E0,-5.438392952E-1,3.308249366E-1,-1.466236103E-1
3.015032125E0,-4.387010953E-1,5.300159658E-1,-3.338894624E-1
3.025069125E0,-3.530262297E-1,8.157342383E-1,-6.574416322E-1
3.035106125E0,-2.689330360E-1,1.082179284E0,-8.285820329E-1
3.045142125E0,-1.786385778E-1,1.372040090E0,-6.556365967E-1
3.055179125E0,-1.377925605E-2,1.359357771E0,-4.076509184E-1
3.065216125E0,-3.339537817E-1,1.123476341E0,3.264459568E-1
3.075253125E0,-3.186475253E-1,1.016083235E0,1.796077538E-1
3.085290125E0,-4.647317299E-1,9.732439023E-1,-3.532946169E-2
3.095326125E0,-3.768445703E-1,1.048638120E0,-4.119456983E-1
3.105363125E0,-2.462549025E-1,1.247636484E0,-6.771976197E-1
3.115400125E0,-1.104354849E-1,1.450511478E0,-5.891712964E-1
3.125437125E0,2.463019726E-1,1.677315033E0,-3.457271504E-1
3.135473125E0,7.124653932E-1,1.824280120E0,-2.628206491E-2
3.145510125E0,8.329276836E-1,2.060079617E0,-8.213934660E-2
3.155547125E0,8.240855241E-1,2.095843234E0,-7.783930421E-2
3.165584125E0,8.069853419E-1,2.121338702E0,9.855481982E-2
3.175620125E0,7.976944086E-1,2.011577840E0,5.423608267E-1
3.185657125E0,9.646976119E-1,1.693595582E0,1.167226451E0
3.195694125E0,9.822521228E-1,1.245034473E0,1.729581247E0
3.205731125E0,8.468171597E-1,7.851606826E-1,2.109027536E0
3.215768125E0,5.461433905E-1,4.447597609E-1,2.270007230E0
3.225804125E0,1.612472042E-1,2.731206657E-1,2.300212777E0
3.235841125E0,-1.496995381E-1,2.063011703E-1,2.246413715E0
3.245878125E0,-1.854961923E-1,2.598824233E-1,2.090407662E0
3.255915125E0,-2.234484226E-2,3.618285551E-1,1.855071266E0
3.265951125E0,1.350066546E-1,5.810520720E-1,1.686561527E0
