"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781443067336049E9,"2026-06-14 15:17:47.336 UTC+02:00"
"PAUSE",1.805407728750142E2,1.781443247878114E9,"2026-06-14 15:20:47.878 UTC+02:00"
