,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,bar_pressure,labelcycling,labelmetro,labeltram,labelwalking,labelbus,person,session
2026-06-07 13:50:02.554542991,-0.23183250945573655,0.20521386162418961,0.42602467342050165,0.21220939575276648,-0.7022673052586923,0.009456313502944373,1021.620941,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:02.804542991,1.3281342522814696,-0.3552420606165426,-1.1006724137741437,-0.11994397519665032,-1.2981922744436019,-0.07166973691126455,1021.620941,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:03.054542991,0.3424374300824569,0.33777700822735257,-0.24117516325236746,-0.2770043188966279,-1.6079428452849944,-0.1437373341020373,1021.62086475,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:03.304542991,0.02220140198851728,1.4038777360117496,0.4410505399054575,-1.590327105598497,-0.8366041510976413,-0.6809907666960604,1021.6207885,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:03.554542991,0.7478315708222023,0.31544433273274,-0.21561313189430223,-2.145444942948535,0.6660465617264488,-1.2465895389952355,1021.62071225,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:03.804542991,0.7908608432206633,-1.2716966154876426,-0.23999192815980114,-1.3237044182612299,0.9617318647723451,-0.2715435667515823,1021.620636,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:04.054542991,1.1144289503841125,-0.785569166843324,0.01575780846041478,-1.0718526244073403,0.32925709577063,1.2076108324741301,1021.61691675,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:04.304542991,0.9791999548275165,-0.17190932470382028,-0.1063271240020301,-0.7542522144676006,0.3569834379851953,1.0029840454382308,1021.6131975000001,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:04.554542991,-0.04539379321796636,-0.1634178760329227,0.1781263714205403,-0.19667508760377123,-0.13990183894280356,0.4567509785266844,1021.60947825,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:04.804542991,-0.014913233678149458,0.3170331191797298,0.043246399940183235,0.07611385759770141,-1.3996870440275808,0.5465513696913211,1021.605759,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:05.054542991,0.4188519126025869,0.499162668657968,-0.3483363745389992,0.6292855777144261,-1.3188179658518553,0.080166582860647,1021.60558725,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:05.304542991,0.24971638756677897,0.2309674639974795,0.19201539699680237,0.33521707958772556,-0.41001528287212874,-0.2525748051926952,1021.6054154999999,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:05.554542991,0.3264597940275767,-0.3272300255930415,0.49764816429789965,-0.7481464139714976,-0.2163888450876588,-0.03440130270964767,1021.60524375,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:05.804542991,0.49787554968952713,-1.1097254878337892,0.2649894538831132,-0.6447616980442283,-0.2048766002002667,-0.03392524085059666,1021.605072,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:06.054542991,0.5068032767928927,-0.9239309125471924,0.27018378721422404,-0.05686438028647378,0.11927433489699246,0.27615259567406586,1021.602173,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:06.304542991,0.39873132472708334,-0.11844208992672056,-0.02788824741321848,-0.19747809898764435,0.4708757080724213,0.5434358463536983,1021.599274,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:06.554542991,0.08876382296273207,0.1827991281448108,-0.2550297653607187,-0.35205223049679457,0.44301717690284936,0.18699046381539483,1021.5976527500001,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:06.804542991,-0.06485202320065639,0.1877633271635038,-0.08802393997124046,-0.10648100264068333,-0.024493762421527274,0.06746474584980255,1021.5960315,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:07.054542991,-0.013953438904934303,-0.10138077987539264,-0.1547897309750588,0.20469768334191646,-0.2797563104866483,0.0069744491883259995,1021.59441025,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:07.304542991,0.08789001081438645,-0.45608900887291487,-0.04721851861903281,0.4413749534887434,-0.18844660999536733,-0.2355420657158356,1021.592789,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:07.554542991,0.014175610721433318,-0.40997301128157243,0.23663339264724187,0.7119751968132813,-0.12689472966577395,-0.1672192037877845,1021.592789,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:07.804542991,-0.16298720229029828,-0.0703852465552287,0.27889873904999946,0.6139747138012797,-0.12201043122195399,-0.2030843909324433,1021.592789,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:08.054542991,-0.07498752037766969,0.3428931845944833,0.27137413081084893,-0.032634358963901045,-0.19953733262745582,-0.37918720415516294,1021.592789,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:08.304542991,0.13554173985154203,0.14666900726032223,0.01953992366545731,-0.32374620376902324,-0.10972374472192306,-0.28324160125165404,1021.592789,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:08.554542991,0.7706583228872579,-0.3598791285966583,-0.200488898331718,-0.20134656702980366,0.25974399456160707,0.03647354194825225,1021.5925296,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:08.804542991,1.435462089373689,-0.24943806792532838,-0.25816944180248064,-0.15836727963736183,0.4898938875986842,0.5015250026658374,1021.5922702,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:09.054542991,1.4176608391241141,-0.02366533943039501,-0.6047169566699797,-0.03108283416193688,0.656185569921073,0.7846206776316844,1021.5920108,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:09.304542991,1.5870926255365392,0.2823774734097526,-0.7114211008163207,-0.19898542857465823,0.7385577689018749,1.0022511722179959,1021.5917514,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:09.554542991,1.407721204828056,0.4466125268526252,-0.6892843587244832,-0.2676790040578193,0.36995597307993894,1.1950114477244536,1021.591492,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:09.804542991,1.083636229519122,-0.17773688980394498,-0.6739787764180727,0.5614089682891441,-0.05671792946098469,0.7430936544403082,1021.5898515,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:10.054542991,2.0281459938639164,-0.32734765236125773,-0.10170480503184424,1.0263928564778286,-0.07877526379717087,0.23464279256952564,1021.588211,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:10.304542991,1.5591597050053279,-0.13033778800369045,-0.426185677803203,0.6453615789927998,0.21249045313615345,0.28300398527055126,1021.5865705,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:10.554542991,-0.03497992509131111,-0.4018667364838853,-1.333402004676693,0.4574103634535368,0.35555081383413034,0.3546543532645715,1021.58493,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:10.804542991,0.8913990239137453,0.03987848735840633,-0.3421047452802078,0.22235073240570424,0.02132559333214628,0.4365080987242813,1021.5847965,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:11.054542991,1.4598118107280036,0.19104231522258894,0.6934473777404162,-0.23141923084783286,-0.021050151466151242,0.4694194767237772,1021.584663,1,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:11.304542991,0.11302476930992095,-0.5018978488901542,-0.006295733028441604,-0.5287652574715245,0.506195412695968,0.3230534357492995,1021.5845294999999,1,0,0,0,0,giray,giray_cycling_s1
