"event","experiment time","system time","system time text"
"START",0.000000000E0,1781509096.501,"2026-06-15 09:38:16.501 UTC+02:00"
"PAUSE",1.800463748E2,1781509276.547,"2026-06-15 09:41:16.547 UTC+02:00"
