"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.532168333E-1,-9.883018732E-1,-3.906865716E-1,8.733224869E-2
8.632528333E-1,-9.394424558E-1,-6.109299660E-1,4.736939445E-2
8.732888334E-1,-8.309201002E-1,-6.588436961E-1,2.899854630E-2
8.833248334E-1,-6.479340792E-1,-4.823961854E-1,5.303384364E-2
8.933608333E-1,-4.122320116E-1,-1.395933181E-1,1.303965747E-1
9.033968333E-1,-1.768219024E-1,2.168566883E-1,2.586581707E-1
9.134318333E-1,5.410403945E-3,4.430911541E-1,4.167914391E-1
9.234678333E-1,1.075090766E-1,4.891580045E-1,5.559674501E-1
9.335038334E-1,1.253828406E-1,3.858153522E-1,6.336200833E-1
9.435398334E-1,8.207185566E-2,2.008335143E-1,6.429321170E-1
9.535758334E-1,1.302904543E-2,1.172869839E-2,5.902692080E-1
9.636118333E-1,-2.491061389E-2,-1.363382638E-1,4.889074862E-1
9.736478333E-1,-3.939877264E-3,-1.976320744E-1,3.830729723E-1
9.836838333E-1,9.839101881E-2,-9.611956775E-2,3.678855002E-1
9.937198333E-1,2.740628123E-1,5.862149596E-2,4.466431141E-1
1.003755833E0,4.893841743E-1,1.842436045E-1,5.838438869E-1
1.013791833E0,7.164930701E-1,2.795492709E-1,7.697962523E-1
1.023827833E0,9.313273430E-1,3.166526854E-1,9.783041477E-1
1.033863833E0,1.125378370E0,2.417133898E-1,1.180885792E0
1.043899833E0,1.281785607E0,3.435061872E-2,1.348195195E0
1.053935833E0,1.386346936E0,-2.392052412E-1,1.437730074E0
1.063971833E0,1.427400112E0,-5.465268493E-1,1.422761559E0
1.074006833E0,1.408114433E0,-8.467820287E-1,1.305822611E0
1.084042833E0,1.342186809E0,-1.069978952E0,1.105053544E0
1.094078833E0,1.245608687E0,-1.176426411E0,8.661518693E-1
1.104114833E0,1.145775318E0,-1.131534576E0,6.355002522E-1
1.114150833E0,1.067801356E0,-9.450876713E-1,4.565395713E-1
1.124186833E0,1.026486754E0,-6.735919714E-1,3.508136868E-1
1.134222833E0,1.018985271E0,-3.493003547E-1,3.129622936E-1
1.144258833E0,1.039948940E0,-1.576235332E-2,3.309439719E-1
1.154294833E0,1.074715734E0,3.065990806E-1,4.099597931E-1
1.164330833E0,1.105672002E0,5.546581745E-1,5.332457423E-1
1.174366833E0,1.124796987E0,7.155825496E-1,6.797082424E-1
1.184402833E0,1.136991858E0,7.966880798E-1,8.298053145E-1
1.194438833E0,1.144038081E0,8.220389485E-1,9.610112906E-1
1.204474833E0,1.143849254E0,8.057425618E-1,1.055396914E0
1.214510833E0,1.140942097E0,7.460312247E-1,1.117328763E0
1.224545833E0,1.126200438E0,6.585162878E-1,1.136290193E0
1.234581833E0,1.093951106E0,5.497924685E-1,1.113285065E0
1.244617833E0,1.036935210E0,4.302820861E-1,1.046591163E0
1.254653833E0,9.476813674E-1,3.141513169E-1,9.457191229E-1
1.264689833E0,8.276599050E-1,2.053118944E-1,8.140260577E-1
1.274725833E0,6.791940928E-1,1.205363050E-1,6.589542627E-1
1.284761833E0,5.083762407E-1,6.020159647E-2,4.904286563E-1
1.294797833E0,3.225688934E-1,1.636680961E-2,3.113142848E-1
1.304833833E0,1.352421343E-1,-1.365848118E-3,1.347008795E-1
1.314869833E0,-5.167224258E-2,-1.278331783E-2,-4.120236635E-2
1.324905833E0,-2.358490080E-1,-2.769489028E-2,-1.889167279E-1
1.334941833E0,-4.081665874E-1,-5.169301480E-2,-2.973939776E-1
1.344977833E0,-5.710700154E-1,-1.160344481E-1,-3.649077713E-1
1.355013833E0,-7.190145850E-1,-2.365220934E-1,-4.003791809E-1
1.365048833E0,-8.558073044E-1,-3.890794218E-1,-4.205425084E-1
1.375084833E0,-9.715548158E-1,-5.411417484E-1,-4.392537475E-1
1.385120833E0,-1.065154791E0,-6.854656339E-1,-4.720737338E-1
1.395156833E0,-1.146268725E0,-8.155458570E-1,-5.210396051E-1
1.405192833E0,-1.215247035E0,-9.307640791E-1,-5.900426507E-1
1.415228833E0,-1.280058980E0,-1.013665080E0,-6.693941355E-1
1.425264833E0,-1.332476735E0,-1.049788237E0,-7.457176447E-1
1.435300833E0,-1.360353589E0,-9.876331687E-1,-8.049953580E-1
1.445337083E0,-1.353196621E0,-7.817510962E-1,-8.239509463E-1
1.455373083E0,-1.309821129E0,-4.602043331E-1,-7.809463739E-1
1.465409083E0,-1.243136287E0,-1.248540282E-1,-6.702067852E-1
1.475445083E0,-1.167418718E0,1.017778888E-1,-4.959765077E-1
1.485481083E0,-1.094286203E0,1.674761921E-1,-3.067834377E-1
1.495516083E0,-1.042469621E0,1.107570827E-1,-1.456902027E-1
1.505552083E0,-1.009492993E0,-6.041066349E-2,-3.158707544E-2
1.515588083E0,-9.869217277E-1,-2.959440351E-1,5.456608254E-3
1.525624083E0,-9.641836882E-1,-5.539561510E-1,-6.749456376E-2
1.535660083E0,-9.328964949E-1,-7.788538337E-1,-2.442042083E-1
1.545696083E0,-8.851172924E-1,-8.265457153E-1,-4.718650579E-1
1.555732083E0,-7.959374189E-1,-6.626322865E-1,-6.867901683E-1
1.565768083E0,-6.553930640E-1,-3.101756871E-1,-8.331574798E-1
1.575804083E0,-4.589991868E-1,1.464087814E-1,-8.656059504E-1
1.585840083E0,-2.332520932E-1,5.865331292E-1,-7.526804209E-1
1.595876083E0,-6.452306174E-3,9.575510025E-1,-5.139055252E-1
1.605912083E0,1.953191608E-1,1.192642808E0,-1.902778894E-1
